policy_variant,scenario_seed,identical_across_algorithms,fields_checked
random_candidate_beam,31260711,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260712,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260713,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260714,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260715,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260716,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260717,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260718,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260719,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
random_candidate_beam,31260720,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260711,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260712,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260713,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260714,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260715,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260716,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260717,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260718,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260719,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_argmax,31260720,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_proportional,31260711,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_proportional,31260712,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_proportional,31260713,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_proportional,31260714,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_proportional,31260715,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_proportional,31260716,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_proportional,31260717,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
candidate_score_proportional,31260718,True,discovery_rate|neighbor_knowledge_recall|mean_delay_censored|empty_scan_ratio|tx_actions|rx_actions|role_sequence_hash|beam_sequence_hash|candidate_mask_sequence_hash
