comparison,paired_scenarios,mean_discovery_difference,ci95_low,ci95_high,exact_sign_flip_p,holm_adjusted_p
shared_idqn:pure_learned_beam - random_candidate_beam,10,-0.0022222222222222088,-0.12198635758218095,0.11754191313773653,1.0,1.0
shared_idqn:pure_learned_beam - candidate_score_argmax,10,0.04,-0.06296149144698543,0.14296149144698544,0.421875,1.0
shared_idqn:pure_learned_beam - candidate_score_proportional,10,-0.015555555555555545,-0.09487501764820132,0.06376390653709023,0.7109375,1.0
vdn:pure_learned_beam - random_candidate_beam,10,0.04666666666666666,-0.03659006861865648,0.12992340195198981,0.255859375,1.0
vdn:pure_learned_beam - candidate_score_argmax,10,0.08888888888888888,0.005784035886235703,0.17199374189154204,0.0546875,0.65625
vdn:pure_learned_beam - candidate_score_proportional,10,0.033333333333333326,-0.03379352942446062,0.10046019609112727,0.31640625,1.0
qmix:pure_learned_beam - random_candidate_beam,10,0.03777777777777778,-0.054316828329605486,0.12987238388516104,0.39453125,1.0
qmix:pure_learned_beam - candidate_score_argmax,10,0.07999999999999999,-0.0031723904806854053,0.16317239048068538,0.068359375,0.751953125
qmix:pure_learned_beam - candidate_score_proportional,10,0.024444444444444442,-0.02321325706937437,0.07210214595826325,0.3359375,1.0
mappo:pure_learned_beam - random_candidate_beam,10,-0.03555555555555554,-0.1318672118120243,0.06075610070091322,0.478515625,1.0
mappo:pure_learned_beam - candidate_score_argmax,10,0.0066666666666666706,-0.06638832415497821,0.07972165748831155,0.90234375,1.0
mappo:pure_learned_beam - candidate_score_proportional,10,-0.048888888888888885,-0.15239429057294485,0.05461651279516709,0.34375,1.0
