episode,identical_role_sequence_across_algorithms,role_sequence_hash
0,True,efdfe552f3b1af9ee19e78f7
1,True,86f2d548b50943073fc82803
2,True,527e8ed9b046c43e66d9ef3c
3,True,fe6406de23f4d642d897a910
4,True,eb09c97621e0a227c4009fe2
5,True,84efe1add812eb875ae75f02
6,True,dccdca125d891a66a144f107
7,True,1e2bd537eff2b5e8215c9af5
8,True,40f723180f8fee7766f50ff2
9,True,12a7d4ffe10a3a76afeb0be8
10,True,a8140c75b9c381cd1f3bc295
11,True,acc1701e804f80bc2dcd2817
12,True,309f907c95e337f498b8e4b3
13,True,105aacf6ecc3adb21efbdd8a
14,True,3d02df362897103abc079163
15,True,7a70e601c7c820611cfce75e
16,True,7dc8f70856d1fbb8e37d453a
17,True,c09ecb2bb8a3bb36a7da2a85
18,True,0199cc75fed020b79a910720
19,True,eabacd4287f51ca871da0005
20,True,07f694c77792f11bc8f15cbb
21,True,cbdf582c84c8494080e71e40
22,True,7152aedc8816968297108f5d
23,True,9ddec8f52a76cc2ce4754590
24,True,ec5d3d3e31ee1e08f95babb6
25,True,810b520f66220d9bf87ad1d5
26,True,2c5e979c991d88080dd28f78
27,True,d02713e9bde0bb3cb8e88f86
28,True,d42545516e36ca2b1f1fd180
29,True,e53c1d8e4582a233424a0298
