training_regime,evaluation_variant,episodes,discovery_rate,neighbor_knowledge_recall,mean_delay_censored,empty_scan_ratio,aligned_handshake_opportunities,tx_fraction,evaluation_beam_random_mixture
standard_epsilon,candidate_score_argmax,10,0.47333333333333333,0.7522222222222222,221.34222222222223,0.39716666666666667,25.6,0.49993333333333334,0.0
standard_epsilon,candidate_score_proportional,10,0.5288888888888889,0.8422222222222222,217.43555555555554,0.45346666666666663,30.2,0.49993333333333334,0.0
standard_epsilon,learned_beam_random_mix_0.2,10,0.5133333333333333,0.8344444444444445,209.55555555555557,0.42300000000000004,27.8,0.49993333333333334,0.2
standard_epsilon,learned_beam_random_mix_0.5,10,0.5555555555555556,0.8855555555555557,200.11111111111111,0.4404,31.1,0.49993333333333334,0.5
standard_epsilon,learned_beam_random_mix_0.8,10,0.5733333333333334,0.8711111111111111,204.00444444444446,0.4452,31.6,0.49993333333333334,0.8
standard_epsilon,pure_learned_beam,10,0.5133333333333333,0.8,219.20444444444442,0.3979666666666667,28.6,0.49993333333333334,0.0
standard_epsilon,random_candidate_beam,10,0.5155555555555555,0.828888888888889,214.2488888888889,0.4576666666666666,28.6,0.49993333333333334,1.0
persistent_mix_0.8,candidate_score_argmax,10,0.47333333333333333,0.7522222222222222,221.34222222222223,0.39716666666666667,25.6,0.49993333333333334,0.0
persistent_mix_0.8,candidate_score_proportional,10,0.5288888888888889,0.8422222222222222,217.43555555555554,0.45346666666666663,30.2,0.49993333333333334,0.0
persistent_mix_0.8,learned_beam_random_mix_0.2,10,0.5044444444444445,0.8088888888888889,213.92888888888888,0.43,29.0,0.49993333333333334,0.2
persistent_mix_0.8,learned_beam_random_mix_0.5,10,0.6022222222222222,0.9122222222222222,198.76222222222222,0.44386666666666663,33.0,0.49993333333333334,0.5
persistent_mix_0.8,learned_beam_random_mix_0.8,10,0.5333333333333333,0.8577777777777778,213.9,0.44223333333333337,32.4,0.49993333333333334,0.8
persistent_mix_0.8,pure_learned_beam,10,0.5466666666666666,0.8455555555555556,207.6,0.43306666666666666,28.8,0.49993333333333334,0.0
persistent_mix_0.8,random_candidate_beam,10,0.5155555555555555,0.828888888888889,214.2488888888889,0.4576666666666666,28.6,0.49993333333333334,1.0
