training_regime,scenario_seed,variant_count,identical_tx_count_across_variants,identical_rx_count_across_variants,counts_match_seeded_reconstruction,all_role_hashes_recorded,identical_role_sequence_across_variants,recorded_hash_matches_reconstruction,role_sequence_proof,expected_role_sequence_hash,tx_actions,rx_actions,expected_tx_actions,expected_rx_actions
standard_epsilon,31260711,7,True,True,True,True,True,True,recorded_hash,cea3fac9dd554585300a0fc7,1543,1457,1543,1457
standard_epsilon,31260712,7,True,True,True,True,True,True,recorded_hash,6983a6ddaebd3a7834924e0d,1481,1519,1481,1519
standard_epsilon,31260713,7,True,True,True,True,True,True,recorded_hash,0b1252f4501cd4396c8da821,1542,1458,1542,1458
standard_epsilon,31260714,7,True,True,True,True,True,True,recorded_hash,941669b18b7b8e1bc20233bb,1491,1509,1491,1509
standard_epsilon,31260715,7,True,True,True,True,True,True,recorded_hash,bf8337e7ef3c6fca9ea35ab8,1509,1491,1509,1491
standard_epsilon,31260716,7,True,True,True,True,True,True,recorded_hash,3d65c66ed32588926305e194,1493,1507,1493,1507
standard_epsilon,31260717,7,True,True,True,True,True,True,recorded_hash,a19c3d9b02bbc6c949597c58,1499,1501,1499,1501
standard_epsilon,31260718,7,True,True,True,True,True,True,recorded_hash,1fb66e1129055dc7b615fd5e,1492,1508,1492,1508
standard_epsilon,31260719,7,True,True,True,True,True,True,recorded_hash,d8999c29e833f874e53f47ca,1503,1497,1503,1497
standard_epsilon,31260720,7,True,True,True,True,True,True,recorded_hash,4df7200c054c9028d9568227,1445,1555,1445,1555
persistent_mix_0.8,31260711,7,True,True,True,True,True,True,recorded_hash,cea3fac9dd554585300a0fc7,1543,1457,1543,1457
persistent_mix_0.8,31260712,7,True,True,True,True,True,True,recorded_hash,6983a6ddaebd3a7834924e0d,1481,1519,1481,1519
persistent_mix_0.8,31260713,7,True,True,True,True,True,True,recorded_hash,0b1252f4501cd4396c8da821,1542,1458,1542,1458
persistent_mix_0.8,31260714,7,True,True,True,True,True,True,recorded_hash,941669b18b7b8e1bc20233bb,1491,1509,1491,1509
persistent_mix_0.8,31260715,7,True,True,True,True,True,True,recorded_hash,bf8337e7ef3c6fca9ea35ab8,1509,1491,1509,1491
persistent_mix_0.8,31260716,7,True,True,True,True,True,True,recorded_hash,3d65c66ed32588926305e194,1493,1507,1493,1507
persistent_mix_0.8,31260717,7,True,True,True,True,True,True,recorded_hash,a19c3d9b02bbc6c949597c58,1499,1501,1499,1501
persistent_mix_0.8,31260718,7,True,True,True,True,True,True,recorded_hash,1fb66e1129055dc7b615fd5e,1492,1508,1492,1508
persistent_mix_0.8,31260719,7,True,True,True,True,True,True,recorded_hash,d8999c29e833f874e53f47ca,1503,1497,1503,1497
persistent_mix_0.8,31260720,7,True,True,True,True,True,True,recorded_hash,4df7200c054c9028d9568227,1445,1555,1445,1555
