active_count,belief_max,belief_mean,candidate_count,discovered_edges_before,method,node,positive_count,score_max,slot
,0.5,0.5,105,0,ours_marl,0,,0.5,0
,0.5,0.5,105,0,ours_marl,1,,0.5,0
,0.5,0.5,105,0,ours_marl,2,,0.5,0
,0.5,0.5,105,0,ours_marl,3,,0.5,0
,0.5,0.5,105,0,ours_marl,4,,0.5,0
,0.5,0.5,105,0,ours_marl,5,,0.5,0
,0.5,0.5,105,0,ours_marl,6,,0.5,0
,0.5,0.5,105,0,ours_marl,7,,0.5,0
,0.5,0.5,105,0,ours_marl,8,,0.5,0
,0.5,0.5,105,0,ours_marl,9,,0.5,0
,0.49000000953674316,0.4745999276638031,100,0,ours_marl,0,,1.0,1
,0.49000000953674316,0.489999920129776,105,0,ours_marl,1,,0.5,1
,0.49000000953674316,0.489999920129776,105,0,ours_marl,2,,0.5,1
,0.49000000953674316,0.489999920129776,105,0,ours_marl,3,,0.5,1
,0.49000000953674316,0.46689993143081665,97,0,ours_marl,4,,1.0,1
,0.49000000953674316,0.489999920129776,105,0,ours_marl,5,,0.5,1
,0.7705000042915344,0.4878523349761963,101,0,ours_marl,6,,1.0,1
,0.49000000953674316,0.489999920129776,105,0,ours_marl,7,,0.5,1
,0.49000000953674316,0.4745999276638031,100,0,ours_marl,8,,1.0,1
,0.49000000953674316,0.489999920129776,105,0,ours_marl,9,,0.5,1
,0.48019999265670776,0.4651079773902893,99,0,ours_marl,0,,1.0,2
,0.48019999265670776,0.4575619697570801,97,0,ours_marl,1,,1.0,2
,0.48019999265670776,0.4801999628543854,105,0,ours_marl,2,,0.5,2
,0.48019999265670776,0.4651079773902893,100,0,ours_marl,3,,1.0,2
,0.48019999265670776,0.4575619697570801,96,0,ours_marl,4,,1.0,2
,0.48019999265670776,0.4801999628543854,105,0,ours_marl,5,,0.5,2
,0.7550899982452393,0.45540085434913635,93,0,ours_marl,6,,1.0,2
,0.48019999265670776,0.4575619697570801,97,0,ours_marl,7,,1.0,2
,0.48019999265670776,0.4651079773902893,99,0,ours_marl,8,,1.0,2
,0.48019999265670776,0.4651079773902893,100,0,ours_marl,9,,1.0,2
,0.47059598565101624,0.45580583810806274,99,0,ours_marl,0,,1.0,3
,0.47059598565101624,0.4262255132198334,88,0,ours_marl,1,,1.0,3
,0.47059598565101624,0.47059595584869385,105,0,ours_marl,2,,0.5,3
,0.7617682218551636,0.43885868787765503,92,0,ours_marl,3,,1.0,3
,0.47059598565101624,0.4484107196331024,96,0,ours_marl,4,,1.0,3
,0.47059598565101624,0.4484107196331024,97,0,ours_marl,5,,1.0,3
,0.7617682218551636,0.4293456971645355,85,0,ours_marl,6,,1.0,3
,0.47059598565101624,0.4262255132198334,88,0,ours_marl,7,,1.0,3
,0.47059598565101624,0.45580583810806274,99,0,ours_marl,8,,1.0,3
,0.47059598565101624,0.45580583810806274,99,0,ours_marl,9,,1.0,3
,0.4611840844154358,0.4466896653175354,99,0,ours_marl,0,,1.0,4
,0.4611840844154358,0.39595943689346313,79,0,ours_marl,1,,1.0,4
,0.4611840844154358,0.4611840844154358,105,0,ours_marl,2,,0.5,4
,0.7465328574180603,0.4300815165042877,91,0,ours_marl,3,,1.0,4
,0.4611840844154358,0.43944254517555237,96,0,ours_marl,4,,1.0,4
,0.4611840844154358,0.42168694734573364,91,0,ours_marl,5,,1.0,4
,0.7465328574180603,0.42075878381729126,84,0,ours_marl,6,,1.0,4
,0.4611840844154358,0.3959594666957855,79,0,ours_marl,7,,1.0,4
,0.4611840844154358,0.4466897249221802,99,0,ours_marl,8,,1.0,4
,0.7575328350067139,0.43018627166748047,92,0,ours_marl,9,,1.0,4
,0.7533822059631348,0.4216872751712799,92,0,ours_marl,0,,1.0,5
,0.45196038484573364,0.3880402743816376,78,0,ours_marl,1,,1.0,5
,0.45196038484573364,0.45196041464805603,105,0,ours_marl,2,,0.5,5
,0.7316021919250488,0.4214799106121063,91,0,ours_marl,3,,1.0,5
,0.45196038484573364,0.4093470275402069,88,0,ours_marl,4,,1.0,5
,0.45196038484573364,0.4132532477378845,90,0,ours_marl,5,,1.0,5
,0.7316021919250488,0.4123436212539673,84,0,ours_marl,6,,1.0,5
,0.45196038484573364,0.3880402743816376,78,0,ours_marl,7,,1.0,5
,0.45196038484573364,0.42615562677383423,96,0,ours_marl,8,,1.0,5
,0.7423821687698364,0.42158257961273193,91,0,ours_marl,9,,1.0,5
,0.7383145093917847,0.4132536053657532,91,0,ours_marl,0,,1.0,6
,0.6396915316581726,0.3684651255607605,74,0,ours_marl,1,,1.0,6
,0.4429211914539337,0.4429211914539337,105,0,ours_marl,2,,0.5,6
,0.8726365566253662,0.40107646584510803,88,0,ours_marl,3,,1.0,6
,0.4429211914539337,0.4011600613594055,87,0,ours_marl,4,,1.0,6
,0.4429211914539337,0.4049881398677826,90,0,ours_marl,5,,1.0,6
,0.7169701457023621,0.384440153837204,78,0,ours_marl,6,,1.0,6
,0.4429211914539337,0.3663591146469116,73,0,ours_marl,7,,1.0,6
,0.4429211914539337,0.40371212363243103,90,0,ours_marl,8,,1.0,6
,0.7275345325469971,0.41315093636512756,91,0,ours_marl,9,,1.0,6
,0.7453282475471497,0.3897636830806732,84,0,ours_marl,0,,1.0,7
,0.6268976926803589,0.3610958158969879,73,0,ours_marl,1,,1.0,7
,0.7453282475471497,0.4188379645347595,98,0,ours_marl,2,,1.0,7
,0.8551838397979736,0.3930549621582031,87,0,ours_marl,3,,1.0,7
,0.43406277894973755,0.372673898935318,79,0,ours_marl,4,,1.0,7
