method,method_label,episode,training_step,discovery_rate,discovered_edges,tx_fraction,episode_return_sum
clean_discovery,Clean CTDE,0,300,0.2222222222222222,10,0.4826666666666667,42.085670471191406
clean_discovery,Clean CTDE,1,600,0.2666666666666666,12,0.38866666666666666,49.61727523803711
clean_discovery,Clean CTDE,2,900,0.1777777777777777,8,0.312,30.98422241210937
clean_discovery,Clean CTDE,3,1200,0.1777777777777777,8,0.235,28.229572296142575
clean_discovery,Clean CTDE,4,1500,0.1333333333333333,6,0.201,22.348217010498047
clean_discovery,Clean CTDE,5,1800,0.1333333333333333,6,0.171,21.957523345947266
clean_discovery,Clean CTDE,6,2100,0.0444444444444444,2,0.179,3.855628728866577
clean_discovery,Clean CTDE,7,2400,0.1555555555555555,7,0.21966666666666668,27.51866149902344
clean_discovery,Clean CTDE,8,2700,0.2222222222222222,10,0.23633333333333334,40.71099090576172
clean_discovery,Clean CTDE,9,3000,0.3111111111111111,14,0.23533333333333334,54.99583435058594
clean_discovery,Clean CTDE,10,3300,0.1111111111111111,5,0.283,17.93741226196289
clean_discovery,Clean CTDE,11,3600,0.2222222222222222,10,0.331,38.025028228759766
clean_discovery,Clean CTDE,12,3900,0.2888888888888888,13,0.38133333333333336,51.17887878417969
clean_discovery,Clean CTDE,13,4200,0.2888888888888888,13,0.46266666666666667,55.90533447265625
clean_discovery,Clean CTDE,14,4500,0.2,9,0.49766666666666665,37.12004852294922
clean_discovery,Clean CTDE,15,4800,0.3555555555555555,16,0.5266666666666666,65.16911315917969
clean_discovery,Clean CTDE,16,5100,0.2444444444444444,11,0.5666666666666667,48.31389999389648
clean_discovery,Clean CTDE,17,5400,0.3111111111111111,14,0.6166666666666667,57.1903076171875
clean_discovery,Clean CTDE,18,5700,0.2444444444444444,11,0.6593333333333333,48.18351745605469
clean_discovery,Clean CTDE,19,6000,0.2888888888888888,13,0.6953333333333334,55.66344451904297
clean_discovery,Clean CTDE,20,6300,0.3111111111111111,14,0.699,59.06034469604492
clean_discovery,Clean CTDE,21,6600,0.2222222222222222,10,0.716,44.53597640991211
clean_discovery,Clean CTDE,22,6900,0.3555555555555555,16,0.726,64.62921142578125
clean_discovery,Clean CTDE,23,7200,0.3111111111111111,14,0.7516666666666667,59.1372184753418
clean_discovery,Clean CTDE,24,7500,0.3111111111111111,14,0.7503333333333333,60.61137008666992
clean_discovery,Clean CTDE,25,7800,0.2222222222222222,10,0.7313333333333333,46.47217559814453
clean_discovery,Clean CTDE,26,8100,0.3111111111111111,14,0.7123333333333334,59.523223876953125
clean_discovery,Clean CTDE,27,8400,0.2444444444444444,11,0.683,45.60704803466797
clean_discovery,Clean CTDE,28,8700,0.2444444444444444,11,0.663,49.596317291259766
clean_discovery,Clean CTDE,29,9000,0.2666666666666666,12,0.629,51.16781234741211
clean_stable,Clean CTDE + stable reward,0,300,0.2222222222222222,10,0.4826666666666667,47.675270080566406
clean_stable,Clean CTDE + stable reward,1,600,0.2888888888888888,13,0.3873333333333333,57.420318603515625
clean_stable,Clean CTDE + stable reward,2,900,0.2222222222222222,10,0.31733333333333336,42.40102767944336
clean_stable,Clean CTDE + stable reward,3,1200,0.2,9,0.244,34.136932373046875
clean_stable,Clean CTDE + stable reward,4,1500,0.1333333333333333,6,0.19933333333333333,23.510225296020508
