parameter,value,samples,edge_coverage_rate,edge_coverage_ci95_low,edge_coverage_ci95_high,mid_coverage_rate,mid_coverage_ci95_low,mid_coverage_ci95_high,equal_power_decode_rate,equal_power_decode_ci95_low,equal_power_decode_ci95_high,near_far_capture_rate,near_far_capture_ci95_low,near_far_capture_ci95_high,one_sided_interference_survival_rate,one_sided_interference_survival_ci95_low,one_sided_interference_survival_ci95_high,edge_snr_mean_db,edge_snr_p10_db,edge_snr_p50_db
path_loss_exponent,1.8,20000,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.20685,0.2012929901470613,0.2125196005926328,0.8661,0.8613100011347896,0.8707493900649306,0.9999,0.9996354263863794,0.9999725759647273,28.110565915809058,24.46694042961987,28.230908830421136
path_loss_exponent,2.0,20000,0.99995,0.9997168094297738,0.9999911737177268,1.0,0.9998079639438954,0.9999999999999999,0.2045,0.1989671493720466,0.21014634393711115,0.91475,0.9107997221694715,0.9185409839219896,0.9998,0.9994858195143681,0.9999222212439498,19.633444661089424,15.989819174900239,19.75378757570151
path_loss_exponent,2.1,20000,0.9994,0.9989514644540893,0.9996567299330732,1.0,0.9998079639438954,0.9999999999999999,0.2002,0.19471211298731977,0.2058030318319205,0.93255,0.9289904332155939,0.93594343639227,0.9993,0.9988252697172566,0.9995829630771171,15.394884033729577,11.751258547540399,15.515226948341667
path_loss_exponent,2.2,20000,0.9797,0.9776514340769292,0.9815643265308439,0.9995,0.9990797771249671,0.9997283788549844,0.19175,0.18635340698548003,0.19726498324310843,0.9478,0.9446304353491216,0.950797577159031,0.9964,0.9954692523335612,0.9971400942699381,11.15632340636973,7.512697920180539,11.276666320981825
path_loss_exponent,2.5,20000,0.00645,0.005431394234973075,0.007658164556007801,0.4254,0.41856301157213194,0.43226564020743885,0.0501,0.04716208578848323,0.053210708254799705,0.9664,0.9638117082161854,0.9688091605506801,0.38505,0.3783287791778238,0.3918153699114747,-1.5593584757097498,-5.202983961898935,-1.4390155610976487
path_loss_exponent,3.0,20000,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,0.0276,0.025418683614940506,0.02996275205086714,0.0,0.0,0.00019203605610462553,-22.75216161250892,-26.39578709869809,-22.63181869789684
rician_k_db,0.0,20000,0.93205,0.9284786121919103,0.9354554494520096,0.9809,0.9789086078531286,0.98270669186811,0.47015,0.4632392347205499,0.47707222983199954,0.8026,0.7970257072102116,0.8080580725686339,0.94465,0.9413947277351294,0.9477344946001766,13.76728390113122,6.71745988873734,14.564757442668796
rician_k_db,5.0,20000,0.97345,0.9711294041079368,0.9755887569505377,0.9934,0.9921791719019251,0.9944313269179108,0.3513,0.3447131504288163,0.35794396109426924,0.8646,0.8597880477050995,0.869271919602789,0.97935,0.9772850993918034,0.9812307956412092,14.65037993583822,9.489996976604496,15.091598211685525
rician_k_db,10.0,20000,0.99835,0.9976837768002499,0.9988248208626306,0.9999,0.9996354263863794,0.9999725759647273,0.2036,0.19807647883250734,0.20923736014155148,0.9353,0.9318064447614598,0.9386263686480956,0.999,0.9984558140624349,0.9993525339535727,15.3885407484797,11.767063499697795,15.493210847466344
rician_k_db,13.3,20000,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.1404,0.1356543717973646,0.14528374053418583,0.96085,0.9580723170677995,0.9634506832992887,0.9999,0.9996354263863794,0.9999725759647273,15.606338676852523,12.52472886637904,15.637846865538792
rician_k_db,22.0,20000,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.08465,0.08087150398475944,0.08858802036704667,0.97945,0.9773897512776896,0.9813261053481118,1.0,0.9998079639438954,0.9999999999999999,15.780028583744546,13.166485373903758,15.77228531595993
shadowing_std_db,0.0,20000,0.99965,0.9992776515467302,0.9998304468224045,0.9999,0.9996354263863794,0.9999725759647273,0.0703,0.06683880734159021,0.0739262284450261,0.98065,0.9786465425256914,0.9824688532135752,0.9997,0.9993455788792479,0.9998625002862812,15.376772629661886,12.777243260021224,15.598821749990034
shadowing_std_db,2.0,20000,0.9988,0.9982149864992992,0.9991934383311308,0.9999,0.9996354263863794,0.9999725759647273,0.1987,0.19322803188179477,0.20428768904561384,0.9336,0.9300654365689871,0.9369680297631588,0.999,0.9984558140624349,0.9993525339535727,15.368985818850705,11.725741145620653,15.47954980113266
shadowing_std_db,4.0,20000,0.9882,0.9866068895347423,0.989605606460077,0.9991,0.9985777005831638,0.9994306090256326,0.41635,0.4095348462191964,0.4231972814129899,0.8266,0.8212904791258344,0.831784082922318,0.9828,0.9809031773759076,0.9845113926083178,15.361199008039515,9.637291842909082,15.411323318396008
shadowing_std_db,6.0,20000,0.94895,0.9458124892989389,0.9519150815262846,0.9921,0.990775039670532,0.9932359584430498,0.5652,0.5583177763560457,0.5720571821422383,0.7423,0.7361923741693854,0.7483145651578262,0.9276,0.9239257347236887,0.9311100360411306,15.353412197228323,7.28336255748606,15.378669313589622
shadowing_std_db,8.0,20000,0.8958,0.8914895056337557,0.8999584786242318,0.9663,0.9637081466070213,0.9687127605670557,0.65635,0.6497385215090717,0.6629014288161844,0.6912,0.6847609381677847,0.697565627244361,0.86325,0.8584184560052983,0.8679420297999416,15.345625386417135,4.816760874896213,15.38390490229705
sidelobe_gain_db,-30.0,20000,0.9993,0.9988252697172566,0.9995829630771171,1.0,0.9998079639438954,0.9999999999999999,0.196,0.19055699568334417,0.20155976223876743,0.93695,0.933496889222357,0.940235290468213,1.0,0.9998079639438954,0.9999999999999999,16.716799033188718,13.086182005740069,16.840747226811967
sidelobe_gain_db,-20.0,20000,0.9992,0.9987007797717246,0.9995074914298606,1.0,0.9998079639438954,0.9999999999999999,0.1959,0.19045807612879337,0.20145872020052943,0.93695,0.933496889222357,0.940235290468213,1.0,0.9998079639438954,0.9999999999999999,16.6045120046007,12.973894977152048,16.728460198223942
sidelobe_gain_db,-10.0,20000,0.99875,0.9981553047535189,0.9991531392805167,0.99995,0.9997168094297738,0.9999911737177268,0.19465,0.18922162853922164,0.2001956478802414,0.93695,0.933496889222357,0.940235290468213,0.99915,0.9986390788900333,0.9994692115151574,15.393754481576263,11.763137454127609,15.517702675199505
sidelobe_gain_db,-5.0,20000,0.98385,0.9820078182271494,0.985506348481358,0.99945,0.9990153237654903,0.9996928514180666,0.1842,0.17888840103280423,0.1896328889402314,0.936,0.9325235243908698,0.939309020168207,0.95025,0.9471492417167285,0.9531778298147492,11.526006613296758,7.895389585848106,11.649954806920004
sidelobe_gain_db,-3.0,20000,0.6385,0.6318156227613565,0.6451311832511024,0.97355,0.9712334659847122,0.9756846566665511,0.1466,0.1417658315628649,0.1515698995215898,0.931,0.927403964084956,0.9344305008346819,0.59105,0.5842194892725433,0.59784554096164,5.848960392915158,2.218343365466505,5.972908586538402
sinr_threshold_db,-5.0,20000,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.9953,0.9942523225551475,0.9961574465276751,0.99995,0.9997168094297738,0.9999911737177268,15.415036595222064,11.828710194717074,15.503228306293828
sinr_threshold_db,0.0,20000,0.9999,0.9996354263863794,0.9999725759647273,1.0,0.9998079639438954,0.9999999999999999,0.99255,0.9912600227856061,0.9936508024955253,0.9953,0.9942523225551475,0.9961574465276751,0.9999,0.9996354263863794,0.9999725759647273,15.415036595222064,11.828710194717074,15.503228306293828
sinr_threshold_db,5.0,20000,0.9989,0.9983349531464094,0.9992734332768094,1.0,0.9998079639438954,0.9999999999999999,0.19635,0.1909032184818766,0.2019134050149957,0.9343,0.9307822424779674,0.9376509550037001,0.99915,0.9986390788900333,0.9994692115151574,15.415036595222064,11.828710194717074,15.503228306293828
sinr_threshold_db,10.0,20000,0.96755,0.9650030979196434,0.9699173291642932,0.99905,0.9985166196635774,0.9993917091488246,0.0119,0.010488136345964946,0.01349932925200439,0.5954,0.5885800917997076,0.6021832677207878,0.9749,0.9726391390999737,0.976978465053938,15.415036595222064,11.828710194717074,15.503228306293828
sinr_threshold_db,15.0,20000,0.5743,0.5674337915226223,0.5811376719194407,0.96655,0.9639670617160825,0.9689537494399663,0.0003,0.0001374997137187844,0.0006544211207521783,0.1454,0.14058272858549536,0.150353463385494,0.6942,0.6877777221705901,0.7005476910252189,15.415036595222064,11.828710194717074,15.503228306293828
