protocol,slot,sample_count,true_edges_n,true_edges_mean,true_edges_std,true_edges_median,true_edges_min,true_edges_max,true_edges_ci95,true_edges_seen_n,true_edges_seen_mean,true_edges_seen_std,true_edges_seen_median,true_edges_seen_min,true_edges_seen_max,true_edges_seen_ci95,discovered_edges_n,discovered_edges_mean,discovered_edges_std,discovered_edges_median,discovered_edges_min,discovered_edges_max,discovered_edges_ci95,new_edges_n,new_edges_mean,new_edges_std,new_edges_median,new_edges_min,new_edges_max,new_edges_ci95,empty_scan_ratio_n,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_median,empty_scan_ratio_min,empty_scan_ratio_max,empty_scan_ratio_ci95,collision_count_n,collision_count_mean,collision_count_std,collision_count_median,collision_count_min,collision_count_max,collision_count_ci95,lcc_ratio_n,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_median,lcc_ratio_min,lcc_ratio_max,lcc_ratio_ci95,lambda2_n,lambda2_mean,lambda2_std,lambda2_median,lambda2_min,lambda2_max,lambda2_ci95
improved_rl_isac,0,20,20,42.1,6.84336,41,32,55,2.99923,20,42.1,6.84336,41,32,55,2.99923,20,0.45,0.759155,0,0,2,0.332714,20,0.45,0.759155,0,0,2,0.332714,20,0.458333,0.190221,0.416667,0.166667,0.916667,0.0833682,20,0,0,0,0,0,0,20,0.1125,0.0489286,0.0833333,0.0833333,0.25,0.0214439,20,0,0,0,0,0,0
improved_rl_isac,1,20,20,42.3,6.8372,41.5,32,55,2.99654,20,42.3,6.8372,41.5,32,55,2.99654,20,0.95,0.944513,1,0,3,0.413951,20,0.5,0.82717,0,0,3,0.362523,20,0.39846,0.116746,0.395833,0.208333,0.583333,0.0511662,20,0.2,0.615587,0,0,2,0.269793,20,0.141667,0.0547456,0.166667,0.0833333,0.25,0.0239933,20,0,0,0,0,0,0
improved_rl_isac,2,20,20,42.4,6.91604,42,32,55,3.03109,20,42.4,6.91604,42,32,55,3.03109,20,1.55,1.05006,1.5,0,4,0.46021,20,0.6,0.680557,0.5,0,2,0.298267,20,0.363333,0.115348,0.347222,0.194444,0.611111,0.0505533,20,0.6,1.14248,0,0,4,0.500714,20,0.175,0.0598487,0.166667,0.0833333,0.333333,0.0262299,20,0,0,0,0,0,0
improved_rl_isac,3,20,20,42.35,6.94546,41.5,32,55,3.04398,20,42.45,6.91661,42,32,55,3.03134,20,2.15,1.22582,2,0,4,0.537239,20,0.6,0.502625,1,0,1,0.220285,20,0.323889,0.0908926,0.333333,0.1875,0.5,0.0398354,20,1,1.52177,0,0,4,0.666946,20,0.2,0.0783604,0.166667,0.0833333,0.416667,0.034343,20,-1.11022e-17,4.96507e-17,0,-2.22045e-16,0,2.17604e-17
improved_rl_isac,4,20,20,42.35,6.89222,41.5,32,55,3.02065,20,42.5,6.86333,42,32,55,3.00799,20,2.75,1.16416,3,0,5,0.510215,20,0.6,0.680557,0.5,0,2,0.298267,20,0.300215,0.0775017,0.294068,0.183333,0.482759,0.0339666,20,1.5,2.01311,0,0,7,0.882287,20,0.2125,0.0739201,0.166667,0.0833333,0.416667,0.0323969,20,-3.35239e-18,1.49923e-17,0,-6.70478e-17,0,6.57068e-18
improved_rl_isac,5,20,20,42.3,6.80634,41.5,32,55,2.98301,20,42.5,6.86333,42,32,55,3.00799,20,3.7,1.8666,4,0,8,0.818075,20,0.95,0.998683,1,0,3,0.437692,20,0.279169,0.0687627,0.267606,0.180556,0.42029,0.0301366,20,1.5,2.01311,0,0,7,0.882287,20,0.291667,0.131066,0.25,0.0833333,0.666667,0.0574423,20,-3.60283e-17,8.24523e-17,0,-2.82014e-16,0,3.61363e-17
improved_rl_isac,6,20,20,42.4,6.81639,41.5,32,55,2.98741,20,42.6,6.87023,42.5,32,55,3.01101,20,4.7,2.29645,4.5,0,8,1.00646,20,1,1.1698,1,0,3,0.512685,20,0.262516,0.0615075,0.251506,0.166667,0.37037,0.0269569,20,1.7,1.94936,2,0,7,0.854344,20,0.341667,0.14784,0.333333,0.0833333,0.666667,0.0647938,20,-3.9123e-17,7.88339e-17,0,-2.64407e-16,0,3.45505e-17
improved_rl_isac,7,20,20,42.4,6.81639,41.5,32,55,2.98741,20,42.6,6.87023,42.5,32,55,3.01101,20,5.75,2.48945,5.5,1,10,1.09105,20,1.05,0.998683,1,0,4,0.437692,20,0.259781,0.0554717,0.256524,0.178947,0.354839,0.0243115,20,1.9,1.97084,2,0,7,0.863759,20,0.4,0.149561,0.416667,0.166667,0.666667,0.0655479,20,-8.26574e-17,1.36187e-16,0,-4.99593e-16,0,5.96865e-17
improved_rl_isac,8,20,20,42.3,6.69721,41,32,55,2.93518,20,42.65,6.87693,42.5,32,55,3.01395,20,6.5,2.56495,6,2,10,1.12414,20,0.75,0.786398,1,0,2,0.344654,20,0.256885,0.0544139,0.261705,0.175926,0.37037,0.023848,20,1.9,1.97084,2,0,7,0.863759,20,0.470833,0.216759,0.416667,0.166667,0.833333,0.094999,20,-4.16651e-17,1.01423e-16,0,-2.64407e-16,1.19703e-16,4.44506e-17
improved_rl_isac,9,20,20,42.4,6.57267,41,33,55,2.8806,20,42.75,6.75024,42.5,33,55,2.95842,20,7.7,2.67739,7.5,3,12,1.17342,20,1.2,0.833509,1,0,3,0.365301,20,0.249628,0.0554648,0.256303,0.159664,0.366667,0.0243085,20,2.1,2.07491,2,0,7,0.909371,20,0.566667,0.231951,0.541667,0.25,0.916667,0.101657,20,-4.98159e-17,1.69774e-16,-3.09858e-17,-2.97226e-16,4.16147e-16,7.44066e-17
