protocol,slot,sample_count,true_edges_n,true_edges_mean,true_edges_std,true_edges_median,true_edges_min,true_edges_max,true_edges_ci95,true_edges_seen_n,true_edges_seen_mean,true_edges_seen_std,true_edges_seen_median,true_edges_seen_min,true_edges_seen_max,true_edges_seen_ci95,discovered_edges_n,discovered_edges_mean,discovered_edges_std,discovered_edges_median,discovered_edges_min,discovered_edges_max,discovered_edges_ci95,new_edges_n,new_edges_mean,new_edges_std,new_edges_median,new_edges_min,new_edges_max,new_edges_ci95,empty_scan_ratio_n,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_median,empty_scan_ratio_min,empty_scan_ratio_max,empty_scan_ratio_ci95,collision_count_n,collision_count_mean,collision_count_std,collision_count_median,collision_count_min,collision_count_max,collision_count_ci95,lcc_ratio_n,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_median,lcc_ratio_min,lcc_ratio_max,lcc_ratio_ci95,lambda2_n,lambda2_mean,lambda2_std,lambda2_median,lambda2_min,lambda2_max,lambda2_ci95
improved_rl_isac,0,10,10,43.7,5.88878,41.5,36,55,3.64991,10,43.7,5.88878,41.5,36,55,3.64991,10,0.6,0.843274,0,0,2,0.522667,10,0.6,0.843274,0,0,2,0.522667,10,0.458333,0.208796,0.416667,0.166667,0.916667,0.129413,10,0,0,0,0,0,0,10,0.125,0.0589256,0.0833333,0.0833333,0.25,0.0365224,10,0,0,0,0,0,0
improved_rl_isac,1,10,10,43.8,5.86515,42,36,55,3.63526,10,43.8,5.86515,42,36,55,3.63526,10,1,1.24722,0.5,0,3,0.773034,10,0.4,0.699206,0,0,2,0.433372,10,0.459783,0.133233,0.4375,0.333333,0.708333,0.0825789,10,0,0,0,0,0,0,10,0.141667,0.0790569,0.125,0.0833333,0.333333,0.049,10,-2.0694e-17,6.54403e-17,0,-2.0694e-16,0,4.05603e-17
improved_rl_isac,2,10,10,43.8,5.86515,42,36,55,3.63526,10,43.8,5.86515,42,36,55,3.63526,10,1.4,1.17379,1.5,0,3,0.727521,10,0.4,0.843274,0,0,2,0.522667,10,0.427619,0.0818481,0.416667,0.333333,0.571429,0.05073,10,0.4,0.843274,0,0,2,0.522667,10,0.166667,0.0785674,0.166667,0.0833333,0.333333,0.0486966,10,-2.0694e-17,6.54403e-17,0,-2.0694e-16,0,4.05603e-17
improved_rl_isac,3,10,10,43.9,6.06355,42.5,36,55,3.75823,10,44,5.98145,42.5,36,55,3.70734,10,2.7,1.88856,2.5,0,6,1.17054,10,1.3,1.33749,1,0,4,0.828987,10,0.384619,0.0626628,0.389406,0.276596,0.489362,0.0388388,10,1,1.05409,1,0,2,0.653333,10,0.225,0.111458,0.166667,0.0833333,0.416667,0.0690823,10,-8.7307e-18,2.76089e-17,0,-8.7307e-17,0,1.71122e-17
improved_rl_isac,4,10,10,44,6.03692,43,36,55,3.74172,10,44.1,5.95259,43,36,55,3.68945,10,3.4,2.01108,3,1,8,1.24648,10,0.7,0.674949,1,0,2,0.418337,10,0.363042,0.0556956,0.358333,0.271186,0.440678,0.0345205,10,1.2,1.39841,1,0,4,0.866745,10,0.283333,0.158114,0.25,0.166667,0.666667,0.098,10,-8.7307e-18,2.76089e-17,0,-8.7307e-17,0,1.71122e-17
improved_rl_isac,5,10,10,44,6.03692,43,36,55,3.74172,10,44.1,5.95259,43,36,55,3.68945,10,4.6,2.319,4,2,9,1.43733,10,1.2,1.31656,1,0,4,0.816013,10,0.332817,0.0493481,0.333333,0.253521,0.408451,0.0305863,10,1.8,1.47573,2,0,4,0.914667,10,0.325,0.17325,0.25,0.166667,0.666667,0.107381,10,-1.32888e-17,3.85696e-17,0,-1.22679e-16,0,2.39057e-17
improved_rl_isac,6,10,10,44,5.92546,42.5,37,55,3.67264,10,44.2,5.80804,43,37,55,3.59986,10,5.6,1.89737,5,3,9,1.176,10,1,0.816497,1,0,2,0.50607,10,0.310478,0.0470373,0.329317,0.216867,0.385542,0.029154,10,2.2,1.98886,2,0,6,1.23271,10,0.383333,0.162921,0.375,0.166667,0.666667,0.100979,10,-1.1117e-16,1.37249e-16,-5.52005e-17,-3.76695e-16,0,8.50676e-17
improved_rl_isac,7,10,10,44.1,5.91514,42.5,37,55,3.66624,10,44.3,5.79367,43,37,55,3.59096,10,6.7,1.94651,6,4,10,1.20646,10,1.1,0.567646,1,0,2,0.351831,10,0.289484,0.0354186,0.293147,0.212766,0.336842,0.0219527,10,3.5,3.17105,2,0,9,1.96544,10,0.45,0.162921,0.416667,0.25,0.666667,0.100979,10,-6.5422e-17,1.19385e-16,0,-3.76695e-16,0,7.39958e-17
improved_rl_isac,8,10,10,44.1,5.89633,42.5,37,54,3.65458,10,44.4,5.96657,43,37,55,3.69812,10,7.7,2.05751,7,6,12,1.27526,10,1,0.942809,1,0,3,0.584359,10,0.27651,0.0327099,0.285028,0.207547,0.314815,0.0202738,10,3.5,3.17105,2,0,9,1.96544,10,0.525,0.196615,0.541667,0.25,0.833333,0.121863,10,-1.32231e-17,1.65594e-16,0,-3.76695e-16,3.21658e-16,1.02636e-16
improved_rl_isac,9,10,10,44.2,5.82714,42.5,37,54,3.6117,10,44.5,5.89256,43,37,55,3.65224,10,8.7,2.16282,9,6,12,1.34053,10,1,1.05409,1,0,3,0.653333,10,0.268057,0.0328525,0.274284,0.194915,0.305085,0.0203622,10,3.9,3.21282,2,0,9,1.99133,10,0.608333,0.208055,0.666667,0.25,0.916667,0.128954,10,5.59574e-17,2.05249e-16,0,-3.76695e-16,3.39213e-16,1.27215e-16
improved_rl_isac,10,10,10,44,5.75423,42.5,37,54,3.56651,10,44.5,5.89256,43,37,55,3.65224,10,9.8,2.09762,10,6,13,1.30012,10,1.1,0.994429,1,0,3,0.616353,10,0.259146,0.032955,0.264416,0.192308,0.305344,0.0204257,10,4.1,3.60401,2,0,11,2.23379,10,0.716667,0.197203,0.708333,0.333333,1,0.122227,10,0.0124626,0.0394102,0,-2.61535e-16,0.124626,0.0244267
improved_rl_isac,11,10,10,44,5.75423,42.5,37,54,3.56651,10,44.5,5.89256,43,37,55,3.65224,10,10.4,2.27058,10.5,6,13,1.40732,10,0.6,0.699206,0.5,0,2,0.433372,10,0.251191,0.0294277,0.253521,0.197183,0.28169,0.0182395,10,5.1,4.35762,3.5,0,13,2.70088,10,0.775,0.19265,0.833333,0.333333,1,0.119406,10,0.0124626,0.0394102,2.12456e-17,-3.07684e-17,0.124626,0.0244267
improved_rl_isac,12,10,10,44.2,5.57375,42.5,38,54,3.45464,10,44.7,5.69698,43,38,55,3.53102,10,11.1,1.91195,12,7,13,1.18504,10,0.7,0.674949,1,0,2,0.418337,10,0.241941,0.0285466,0.243506,0.189542,0.272727,0.0176934,10,5.3,4.54728,3.5,0,13,2.81843,10,0.808333,0.141912,0.833333,0.583333,1,0.0879577,10,0.0124626,0.0394102,7.21357e-17,-1.74451e-16,0.124626,0.0244267
improved_rl_isac,13,10,10,44.1,5.3427,43,38,54,3.31144,10,44.8,5.67255,43.5,38,55,3.51588,10,11.5,1.58114,12,9,13,0.98,10,0.4,0.699206,0,0,2,0.433372,10,0.233972,0.027237,0.243976,0.187879,0.271084,0.0168816,10,6.1,4.09471,4.5,2,13,2.53793,10,0.808333,0.141912,0.833333,0.583333,1,0.0879577,10,0.0124626,0.0394102,1.81871e-16,-1.74451e-16,0.124626,0.0244267
improved_rl_isac,14,10,10,43.9,5.50656,43,38,54,3.413,10,44.8,5.67255,43.5,38,55,3.51588,10,12.6,2.45855,13,9,17,1.52382,10,1.1,1.37032,1,0,4,0.849333,10,0.226474,0.0276895,0.240898,0.1875,0.264045,0.0171621,10,6.7,4.54728,4.5,2,15,2.81843,10,0.841667,0.168737,0.875,0.583333,1,0.104584,10,0.10984,0.163749,2.51952e-16,-1.74451e-16,0.400093,0.101493
