protocol,slot,sample_count,true_edges_n,true_edges_mean,true_edges_std,true_edges_median,true_edges_min,true_edges_max,true_edges_ci95,true_edges_seen_n,true_edges_seen_mean,true_edges_seen_std,true_edges_seen_median,true_edges_seen_min,true_edges_seen_max,true_edges_seen_ci95,discovered_edges_n,discovered_edges_mean,discovered_edges_std,discovered_edges_median,discovered_edges_min,discovered_edges_max,discovered_edges_ci95,new_edges_n,new_edges_mean,new_edges_std,new_edges_median,new_edges_min,new_edges_max,new_edges_ci95,empty_scan_ratio_n,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_median,empty_scan_ratio_min,empty_scan_ratio_max,empty_scan_ratio_ci95,collision_count_n,collision_count_mean,collision_count_std,collision_count_median,collision_count_min,collision_count_max,collision_count_ci95,lcc_ratio_n,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_median,lcc_ratio_min,lcc_ratio_max,lcc_ratio_ci95,lambda2_n,lambda2_mean,lambda2_std,lambda2_median,lambda2_min,lambda2_max,lambda2_ci95
improved_rl_isac,0,20,20,42.1,6.84336,41,32,55,2.99923,20,42.1,6.84336,41,32,55,2.99923,20,0.45,0.759155,0,0,2,0.332714,20,0.45,0.759155,0,0,2,0.332714,20,0.458333,0.190221,0.416667,0.166667,0.916667,0.0833682,20,0,0,0,0,0,0,20,0.1125,0.0489286,0.0833333,0.0833333,0.25,0.0214439,20,0,0,0,0,0,0
improved_rl_isac,1,20,20,42.2,6.84874,41,32,55,3.00159,20,42.2,6.84874,41,32,55,3.00159,20,1,1.25656,0.5,0,4,0.550712,20,0.55,0.759155,0,0,2,0.332714,20,0.444475,0.126389,0.4375,0.166667,0.708333,0.0553924,20,0,0,0,0,0,0,20,0.145833,0.0805455,0.125,0.0833333,0.333333,0.0353006,20,-1.0347e-17,4.62732e-17,0,-2.0694e-16,0,2.02801e-17
improved_rl_isac,2,20,20,42.25,6.78912,41,32,55,2.97546,20,42.3,6.79086,41,32,55,2.97623,20,1.2,1.28145,1,0,4,0.561619,20,0.2,0.410391,0,0,1,0.179862,20,0.443016,0.0985977,0.430556,0.277778,0.657143,0.0432123,20,0,0,0,0,0,0,20,0.158333,0.0850696,0.166667,0.0833333,0.333333,0.0372834,20,-1.0347e-17,4.62732e-17,0,-2.0694e-16,0,2.02801e-17
improved_rl_isac,3,20,20,42.25,6.78912,41,32,55,2.97546,20,42.35,6.78446,41.5,32,55,2.97342,20,2.05,1.53811,2,0,6,0.674107,20,0.85,0.875094,1,0,3,0.383527,20,0.430678,0.0786395,0.416667,0.270833,0.586957,0.0344653,20,0,0,0,0,0,0,20,0.208333,0.0993399,0.166667,0.0833333,0.5,0.0435376,20,-1.0347e-17,4.62732e-17,0,-2.0694e-16,0,2.02801e-17
improved_rl_isac,4,20,20,42.3,6.8295,42,32,55,2.99316,20,42.45,6.77049,42,32,55,2.9673,20,2.7,1.80933,3,0,6,0.792975,20,0.65,0.875094,0,0,3,0.383527,20,0.421901,0.0539128,0.416667,0.293103,0.517241,0.0236283,20,0,0,0,0,0,0,20,0.254167,0.128176,0.25,0.0833333,0.5,0.0561756,20,-2.16289e-17,6.90174e-17,0,-3.00045e-16,0,3.02482e-17
improved_rl_isac,5,20,20,42.3,6.94414,42,32,55,3.0434,20,42.5,6.84797,42,32,55,3.00126,20,3.2,2.09259,3,0,8,0.91712,20,0.5,0.688247,0,0,2,0.301638,20,0.423418,0.0575648,0.423611,0.289855,0.527778,0.0252289,20,0.1,0.447214,0,0,2,0.196,20,0.283333,0.146599,0.25,0.0833333,0.666667,0.0642498,20,-2.3867e-17,6.90079e-17,0,-3.00045e-16,0,3.0244e-17
improved_rl_isac,6,20,20,42.3,6.78311,42,32,54,2.97283,20,42.5,6.84797,42,32,55,3.00126,20,3.7,2.07998,3,1,9,0.911591,20,0.5,0.606977,0,0,2,0.266019,20,0.421416,0.0563197,0.416667,0.296296,0.547619,0.0246832,20,0.3,0.732695,0,0,2,0.321118,20,0.316667,0.154371,0.291667,0.166667,0.666667,0.0676561,20,-1.07813e-17,2.46541e-17,0,-8.91942e-17,0,1.08051e-17
improved_rl_isac,7,20,20,42.5,6.77845,42.5,32,54,2.97079,20,42.6,6.8472,42.5,32,55,3.00092,20,4.2,2.09259,4,1,9,0.91712,20,0.5,0.606977,0,0,2,0.266019,20,0.4239,0.0557641,0.41578,0.322581,0.53125,0.0244397,20,0.5,0.888523,0,0,2,0.389413,20,0.341667,0.157419,0.291667,0.166667,0.666667,0.0689919,20,-2.39679e-17,5.96027e-17,0,-2.52648e-16,2.08771e-18,2.6122e-17
improved_rl_isac,8,20,20,42.45,6.6923,42.5,32,54,2.93303,20,42.6,6.8472,42.5,32,55,3.00092,20,4.7,2.25015,4.5,1,10,0.98617,20,0.5,0.606977,0,0,2,0.266019,20,0.417216,0.0546025,0.412309,0.32381,0.514286,0.0239306,20,0.6,1.14248,0,0,4,0.500714,20,0.370833,0.161034,0.333333,0.166667,0.75,0.0705764,20,-5.23481e-17,8.25839e-17,0,-2.52648e-16,0,3.6194e-17
improved_rl_isac,9,20,20,42.35,6.69859,42,32,54,2.93578,20,42.65,6.84624,43,32,55,3.0005,20,5.05,2.23548,5,1,10,0.979742,20,0.35,0.48936,0,0,1,0.214472,20,0.413323,0.0508644,0.409272,0.327586,0.521008,0.0222923,20,0.8,1.36111,0,0,4,0.596535,20,0.379167,0.161034,0.333333,0.166667,0.75,0.0705764,20,-5.59129e-17,1.04293e-16,0,-3.95059e-16,0,4.57085e-17
improved_rl_isac,10,20,20,42.4,6.70742,42,32,54,2.93966,20,42.7,6.85258,43,32,55,3.00328,20,5.45,2.30503,5,2,10,1.01022,20,0.4,0.502625,0,0,1,0.220285,20,0.413431,0.0474985,0.41444,0.3125,0.519084,0.0208171,20,0.8,1.36111,0,0,4,0.596535,20,0.395833,0.181117,0.375,0.166667,0.833333,0.079378,20,-5.29069e-17,1.29377e-16,0,-3.95059e-16,2.2996e-16,5.67019e-17
improved_rl_isac,11,20,20,42.3,6.77534,42,32,54,2.96942,20,42.7,6.85258,43,32,55,3.00328,20,6.1,2.17401,6,3,10,0.952802,20,0.65,0.875094,0,0,3,0.383527,20,0.410347,0.0472739,0.413194,0.309353,0.503497,0.0207187,20,0.8,1.36111,0,0,4,0.596535,20,0.45,0.190029,0.416667,0.166667,0.916667,0.083284,20,-7.2907e-17,9.66827e-17,-7.7848e-18,-2.51092e-16,0,4.23731e-17
improved_rl_isac,12,20,20,42.45,6.6923,42,32,54,2.93303,20,42.8,6.77146,43,32,55,2.96772,20,6.8,2.39737,7,3,11,1.05069,20,0.7,0.923381,0,0,3,0.404689,20,0.406816,0.0456124,0.403222,0.304636,0.503226,0.0199905,20,1.1,1.37267,0,0,4,0.601597,20,0.479167,0.209209,0.416667,0.166667,0.916667,0.0916897,20,-6.38965e-17,1.02004e-16,0,-3.05967e-16,5.82525e-17,4.47051e-17
improved_rl_isac,13,20,20,42.4,6.71526,42,32,54,2.94309,20,42.8,6.77146,43,32,55,2.96772,20,7.3,2.51522,7.5,4,12,1.10234,20,0.5,0.606977,0,0,2,0.266019,20,0.405963,0.0432859,0.401807,0.312883,0.502994,0.0189709,20,1.4,1.60263,1,0,4,0.702383,20,0.533333,0.218648,0.5,0.25,0.916667,0.0958268,20,-8.60868e-17,9.64434e-17,-8.79056e-17,-2.77299e-16,5.82525e-17,4.22682e-17
improved_rl_isac,14,20,20,42.4,6.54056,42.5,33,54,2.86653,20,42.85,6.69072,43,33,55,2.93234,20,7.8,2.52566,8,4,12,1.10692,20,0.5,0.82717,0,0,3,0.362523,20,0.404057,0.0394264,0.403952,0.321839,0.494382,0.0172794,20,1.6,1.53554,2,0,4,0.672982,20,0.579167,0.204973,0.583333,0.25,0.916667,0.0898333,20,-6.31298e-17,1.38494e-16,-5.94209e-17,-2.77299e-16,2.46087e-16,6.06975e-17
improved_rl_isac,15,20,20,42.55,6.58927,42.5,33,54,2.88787,20,42.9,6.78931,43,33,56,2.97555,20,8.25,2.4468,8,4,12,1.07236,20,0.45,0.759155,0,0,2,0.332714,20,0.402926,0.0407072,0.401584,0.327957,0.5,0.0178407,20,1.7,1.49032,2,0,4,0.653161,20,0.604167,0.205685,0.625,0.25,0.916667,0.0901454,20,-5.78327e-17,1.3755e-16,-2.44598e-17,-2.50737e-16,2.46087e-16,6.0284e-17
improved_rl_isac,16,20,20,42.5,6.7317,42,33,56,2.9503,20,42.9,6.78931,43,33,56,2.97555,20,8.75,2.4034,9,4,12,1.05334,20,0.5,0.606977,0,0,2,0.266019,20,0.402054,0.0409197,0.400002,0.323232,0.502488,0.0179339,20,1.9,1.77408,2,0,6,0.777526,20,0.6375,0.206394,0.666667,0.25,0.916667,0.0904564,20,-4.3547e-17,1.49498e-16,0,-5.31292e-16,2.46087e-16,6.55204e-17
improved_rl_isac,17,20,20,42.4,6.73873,42.5,32,55,2.95338,20,42.95,6.78602,43,33,56,2.9741,20,9,2.53398,9.5,4,13,1.11057,20,0.25,0.444262,0,0,1,0.194706,20,0.401908,0.0439,0.405149,0.32381,0.507042,0.01924,20,2,1.94666,2,0,6,0.85316,20,0.658333,0.209252,0.666667,0.25,0.916667,0.0917089,20,-4.55065e-17,1.84463e-16,0,-5.31292e-16,3.4532e-16,8.08446e-17
improved_rl_isac,18,20,20,42.5,6.78621,42,32,56,2.97419,20,43,6.73561,43,33,56,2.95201,20,9.45,2.43818,9.5,4,13,1.06858,20,0.45,0.686333,0,0,2,0.300799,20,0.403693,0.0460309,0.411504,0.310811,0.502222,0.0201739,20,2,1.94666,2,0,6,0.85316,20,0.6875,0.177035,0.666667,0.25,0.916667,0.077589,20,2.66977e-17,2.70737e-16,0,-5.31292e-16,8.5126e-16,1.18656e-16
improved_rl_isac,19,20,20,42.5,6.68462,42.5,32,56,2.92967,20,43,6.73561,43,33,56,2.95201,20,10,2.42791,10,5,13,1.06408,20,0.55,0.510418,1,0,1,0.2237,20,0.403398,0.0442015,0.412292,0.319328,0.49789,0.0193721,20,2,1.94666,2,0,6,0.85316,20,0.695833,0.179902,0.708333,0.25,0.916667,0.0788456,20,-1.70922e-17,2.94085e-16,0,-5.3743e-16,7.74404e-16,1.28888e-16
improved_rl_isac,20,20,20,42.45,6.61318,42,33,56,2.89836,20,43,6.73561,43,33,56,2.95201,20,10.8,2.21478,10.5,7,14,0.970671,20,0.8,0.833509,1,0,3,0.365301,20,0.401923,0.0444504,0.410931,0.325301,0.493976,0.0194812,20,2.2,1.82382,2,0,6,0.799324,20,0.758333,0.137596,0.75,0.416667,1,0.0603042,20,0.00538883,0.0240996,-2.86456e-17,-3.08417e-16,0.107777,0.0105621
improved_rl_isac,21,20,20,42.6,6.53251,42.5,33,55,2.863,20,43.1,6.69564,43,33,56,2.93449,20,11.1,2.12504,11,7,14,0.931339,20,0.3,0.732695,0,0,3,0.321118,20,0.400906,0.0424489,0.403884,0.32567,0.484615,0.0186041,20,2.65,2.20705,2,0,9,0.967281,20,0.779167,0.138589,0.791667,0.416667,1,0.0607392,20,0.00538883,0.0240996,-5.26986e-18,-2.46092e-16,0.107777,0.0105621
improved_rl_isac,22,20,20,42.55,6.73932,42.5,32,55,2.95364,20,43.15,6.7767,43,33,56,2.97002,20,11.5,2.41704,11,7,16,1.05932,20,0.4,0.753937,0,0,3,0.330427,20,0.399269,0.0417407,0.404761,0.322344,0.481618,0.0182937,20,3.05,2.23548,2,0,9,0.979742,20,0.8125,0.13753,0.833333,0.416667,1,0.0602751,20,0.00538883,0.0240996,0,-2.46092e-16,0.107777,0.0105621
improved_rl_isac,23,20,20,42.45,6.70016,42.5,33,55,2.93647,20,43.2,6.78698,43,33,56,2.97453,20,12.25,2.4468,12,8,17,1.07236,20,0.75,0.850696,1,0,3,0.372834,20,0.398461,0.0423615,0.405699,0.319298,0.475352,0.0185657,20,3.2,2.52566,2,0,9,1.10692,20,0.8375,0.0954943,0.833333,0.666667,1,0.0418522,20,0.0255629,0.114321,0,-2.46092e-16,0.511258,0.0501032
improved_rl_isac,24,20,20,42.6,6.71526,42.5,33,55,2.94309,20,43.3,6.82179,43,33,56,2.98978,20,12.6,2.83586,12,8,19,1.24287,20,0.35,0.587143,0,0,2,0.257327,20,0.398715,0.0452321,0.405072,0.313131,0.483108,0.0198238,20,3.3,2.51522,3,0,9,1.10234,20,0.841667,0.0971073,0.875,0.666667,1,0.0425591,20,0.03352,0.149906,0,-2.46092e-16,0.670399,0.0656991
improved_rl_isac,25,20,20,42.5,6.77845,42.5,33,55,2.97079,20,43.3,6.82179,43,33,56,2.98978,20,13.25,2.88143,12.5,9,20,1.26284,20,0.65,0.74516,1,0,3,0.326581,20,0.399297,0.0439497,0.406469,0.320388,0.483766,0.0192618,20,3.5,2.64575,4,0,9,1.15955,20,0.858333,0.105062,0.875,0.666667,1,0.0460454,20,0.100935,0.226696,1.85221e-16,-2.46092e-16,0.826193,0.0993539
improved_rl_isac,26,20,20,42.6,6.64435,42.5,33,55,2.91201,20,43.3,6.82179,43,33,56,2.98978,20,13.55,2.96426,12.5,9,21,1.29914,20,0.3,0.470162,0,0,1,0.206058,20,0.398064,0.0450304,0.405335,0.314642,0.485893,0.0197354,20,3.85,3.13344,4,0,11,1.37329,20,0.875,0.0993399,0.916667,0.75,1,0.0435376,20,0.1228,0.257849,2.40825e-16,-1.33983e-16,0.996482,0.113007
improved_rl_isac,27,20,20,42.5,6.65306,42.5,32,54,2.91583,20,43.3,6.82179,43,33,56,2.98978,20,13.8,3.00175,13,9,21,1.31558,20,0.25,0.55012,0,0,2,0.241101,20,0.399683,0.0443358,0.405147,0.315315,0.490909,0.019431,20,3.85,3.13344,4,0,11,1.37329,20,0.879167,0.0954943,0.916667,0.75,1,0.0418522,20,0.132728,0.26969,2.95725e-16,-1.33983e-16,0.996482,0.118197
