protocol,slot,sample_count,true_edges_n,true_edges_mean,true_edges_std,true_edges_median,true_edges_min,true_edges_max,true_edges_ci95,true_edges_seen_n,true_edges_seen_mean,true_edges_seen_std,true_edges_seen_median,true_edges_seen_min,true_edges_seen_max,true_edges_seen_ci95,discovered_edges_n,discovered_edges_mean,discovered_edges_std,discovered_edges_median,discovered_edges_min,discovered_edges_max,discovered_edges_ci95,new_edges_n,new_edges_mean,new_edges_std,new_edges_median,new_edges_min,new_edges_max,new_edges_ci95,empty_scan_ratio_n,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_median,empty_scan_ratio_min,empty_scan_ratio_max,empty_scan_ratio_ci95,collision_count_n,collision_count_mean,collision_count_std,collision_count_median,collision_count_min,collision_count_max,collision_count_ci95,lcc_ratio_n,lcc_ratio_mean,lcc_ratio_std,lcc_ratio_median,lcc_ratio_min,lcc_ratio_max,lcc_ratio_ci95,lambda2_n,lambda2_mean,lambda2_std,lambda2_median,lambda2_min,lambda2_max,lambda2_ci95
improved_rl_isac,0,10,10,43.7,5.88878,41.5,36,55,3.64991,10,43.7,5.88878,41.5,36,55,3.64991,10,0.6,0.843274,0,0,2,0.522667,10,0.6,0.843274,0,0,2,0.522667,10,0.458333,0.208796,0.416667,0.166667,0.916667,0.129413,10,0,0,0,0,0,0,10,0.125,0.0589256,0.0833333,0.0833333,0.25,0.0365224,10,0,0,0,0,0,0
improved_rl_isac,1,10,10,44.1,5.87745,42,37,56,3.64288,10,44.1,5.87745,42,37,56,3.64288,10,1.2,1.0328,1,0,3,0.640133,10,0.6,0.699206,0.5,0,2,0.433372,10,0.434964,0.128382,0.383152,0.291667,0.75,0.0795719,10,0.4,0.843274,0,0,2,0.522667,10,0.166667,0.0785674,0.166667,0.0833333,0.333333,0.0486966,10,-2.0694e-17,6.54403e-17,0,-2.0694e-16,0,4.05603e-17
improved_rl_isac,2,10,10,44.5,5.52268,42.5,39,56,3.42299,10,44.5,5.52268,42.5,39,56,3.42299,10,1.6,0.966092,1.5,0,3,0.59879,10,0.4,0.516398,0,0,1,0.320067,10,0.42881,0.0826643,0.394444,0.342857,0.628571,0.0512358,10,0.4,0.843274,0,0,2,0.522667,10,0.208333,0.0809854,0.166667,0.0833333,0.333333,0.0501953,10,-2.0694e-17,6.54403e-17,0,-2.0694e-16,0,4.05603e-17
improved_rl_isac,3,10,10,44.8,5.43241,43.5,39,56,3.36704,10,44.8,5.43241,43.5,39,56,3.36704,10,2.2,1.54919,2,0,5,0.9602,10,0.6,0.699206,0.5,0,2,0.433372,10,0.399988,0.0804394,0.375,0.291667,0.553191,0.0498568,10,0.4,0.843274,0,0,2,0.522667,10,0.233333,0.102439,0.208333,0.0833333,0.416667,0.0634926,10,-1.32426e-17,4.18768e-17,0,-1.32426e-16,0,2.59555e-17
improved_rl_isac,4,10,10,44.8,5.43241,43.5,39,56,3.36704,10,44.8,5.43241,43.5,39,56,3.36704,10,2.6,1.50555,2.5,0,5,0.933147,10,0.4,0.516398,0,0,1,0.320067,10,0.380285,0.0668933,0.372989,0.25,0.508475,0.0414609,10,0.4,0.843274,0,0,2,0.522667,10,0.266667,0.109713,0.25,0.0833333,0.416667,0.0680011,10,-1.32426e-17,4.18768e-17,0,-1.32426e-16,0,2.59555e-17
improved_rl_isac,5,10,10,44.9,5.32186,43.5,40,56,3.29852,10,44.9,5.32186,43.5,40,56,3.29852,10,3.3,1.41814,3,1,6,0.87897,10,0.7,0.674949,1,0,2,0.418337,10,0.350258,0.0513133,0.349969,0.253521,0.450704,0.0318043,10,1.2,1.39841,1,0,4,0.866745,10,0.3,0.112491,0.333333,0.166667,0.5,0.0697229,10,-2.65031e-17,3.66138e-17,0,-8.9395e-17,0,2.26935e-17
improved_rl_isac,6,10,10,45.5,5.33854,44,40,56,3.30886,10,45.5,5.33854,44,40,56,3.30886,10,3.6,1.42984,4,1,6,0.886224,10,0.3,0.483046,0,0,1,0.299395,10,0.334554,0.0586964,0.331301,0.216867,0.457831,0.0363804,10,1.6,1.83787,1,0,4,1.13913,10,0.3,0.112491,0.333333,0.166667,0.5,0.0697229,10,-2.75791e-17,3.73149e-17,0,-8.9395e-17,0,2.3128e-17
improved_rl_isac,7,10,10,45.5,5.33854,44,40,56,3.30886,10,45.5,5.33854,44,40,56,3.30886,10,4.8,1.75119,5,3,8,1.0854,10,1.2,0.918937,1.5,0,2,0.569563,10,0.313472,0.0557863,0.306956,0.210526,0.431579,0.0345767,10,1.8,1.75119,2,0,4,1.0854,10,0.383333,0.158114,0.375,0.166667,0.583333,0.098,10,-7.01398e-17,7.94101e-17,-4.07251e-17,-1.89084e-16,0,4.92189e-17
improved_rl_isac,8,10,10,45.6,5.31664,44.5,40,56,3.29529,10,45.6,5.31664,44.5,40,56,3.29529,10,5.8,1.68655,5.5,3,8,1.04533,10,1,1.33333,0.5,0,4,0.826409,10,0.293678,0.0476197,0.287717,0.209524,0.392523,0.029515,10,2.4,1.57762,2,0,4,0.97782,10,0.475,0.136366,0.5,0.25,0.666667,0.0845205,10,-1.04151e-16,1.41898e-16,-4.07251e-17,-4.37372e-16,0,8.79495e-17
improved_rl_isac,9,10,10,45.6,5.31664,44.5,40,56,3.29529,10,45.6,5.31664,44.5,40,56,3.29529,10,6.7,1.94651,6,4,11,1.20646,10,0.9,0.994429,1,0,3,0.616353,10,0.274858,0.0448783,0.271134,0.205128,0.367521,0.0278158,10,3,2.16025,3,0,6,1.33893,10,0.533333,0.16759,0.5,0.333333,0.916667,0.103873,10,-1.18914e-16,1.48929e-16,-1.3796e-16,-4.37372e-16,8.32667e-17,9.23069e-17
