checkpoint_stage,policy_variant,episodes,discovery_rate,discovery_ci95_half_width,neighbor_knowledge_recall,mean_delay_censored,aligned_handshake_opportunities
30k,pure_learned_beam,10,0.45555555555555555,0.03371990510069682,0.7666666666666666,227.5666666666667,28.3
30k,random_candidate_beam,10,0.5155555555555555,0.07061229270800856,0.8288888888888888,214.2488888888889,28.6
30k,candidate_score_proportional,10,0.5288888888888889,0.06215385196092231,0.8422222222222222,217.43555555555554,30.2
30k,candidate_score_argmax,10,0.47333333333333333,0.06271593476999346,0.7522222222222222,221.34222222222223,25.6
30k,learned_beam_random_mix_0.2,10,0.5022222222222221,0.06834952379109262,0.778888888888889,211.66,28.6
30k,learned_beam_random_mix_0.5,10,0.5422222222222222,0.08042666666666667,0.8433333333333334,210.37555555555554,31.6
30k,learned_beam_random_mix_0.8,10,0.591111111111111,0.05567283904569092,0.9166666666666666,202.88888888888889,32.3
60k,pure_learned_beam,10,0.5199999999999999,0.06626393257643125,0.8355555555555556,215.57333333333332,28.9
60k,random_candidate_beam,10,0.5155555555555555,0.07061229270800856,0.8288888888888888,214.2488888888889,28.6
60k,candidate_score_proportional,10,0.5288888888888889,0.06215385196092231,0.8422222222222222,217.43555555555554,30.2
60k,candidate_score_argmax,10,0.47333333333333333,0.06271593476999346,0.7522222222222222,221.34222222222223,25.6
60k,learned_beam_random_mix_0.2,10,0.5377777777777778,0.05287964139509716,0.8366666666666667,214.75333333333333,32.9
60k,learned_beam_random_mix_0.5,10,0.5444444444444445,0.039116238300294565,0.8600000000000001,212.14222222222224,30.8
60k,learned_beam_random_mix_0.8,10,0.5288888888888887,0.05340792265637314,0.8577777777777778,213.26222222222222,30.8
100.2k,pure_learned_beam,10,0.46222222222222226,0.0607836501733407,0.7455555555555555,225.77999999999997,24.5
100.2k,random_candidate_beam,10,0.5155555555555555,0.07061229270800856,0.8288888888888888,214.2488888888889,28.6
100.2k,candidate_score_proportional,10,0.5288888888888889,0.06215385196092231,0.8422222222222222,217.43555555555554,30.2
100.2k,candidate_score_argmax,10,0.47333333333333333,0.06271593476999346,0.7522222222222222,221.34222222222223,25.6
100.2k,learned_beam_random_mix_0.2,10,0.5488888888888889,0.055089861315427965,0.8466666666666667,206.54666666666668,30.7
100.2k,learned_beam_random_mix_0.5,10,0.5399999999999999,0.06620034970628604,0.8466666666666667,203.1822222222222,29.3
100.2k,learned_beam_random_mix_0.8,10,0.5733333333333333,0.042255903291291315,0.8633333333333335,203.01555555555552,31.2
