control,control_value,delta,eval_episode,metric,treatment,treatment_value
Wang ISAC,0.6715151515151515,0.030303030303030276,0,discovery_rate,Budgeted ISAC,0.7018181818181818
Wang ISAC,1014.0,75.0,0,collision_count,Budgeted ISAC,1089.0
Wang ISAC,0.5573440643863179,0.01791674038268365,0,collision_penalized_discovery_rate,Budgeted ISAC,0.5752608047690015
Wang ISAC,41.39223773718694,-10.822002661096356,0,lambda2,Budgeted ISAC,30.570235076090583
Wang ISAC,0.8231133333333334,-0.3632848731334558,0,empty_scan_ratio,Budgeted ISAC,0.45982846019987755
Wang ISAC,90.25270758122744,-6.551498600225713,0,scan_actions_per_discovery_censored,Budgeted ISAC,83.70120898100173
Wang ISAC,0.6868686868686869,0.025858585858585914,1,discovery_rate,Budgeted ISAC,0.7127272727272728
Wang ISAC,1348.0,58.0,1,collision_count,Budgeted ISAC,1406.0
Wang ISAC,0.5398539218799618,0.015212157415192329,1,collision_penalized_discovery_rate,Budgeted ISAC,0.5550660792951542
Wang ISAC,46.073320162804826,-7.803012914758639,1,lambda2,Budgeted ISAC,38.27030724804619
Wang ISAC,0.8221666666666667,-0.37219384226229385,1,empty_scan_ratio,Budgeted ISAC,0.44997282440437286
Wang ISAC,88.23529411764706,-5.836768040549558,1,scan_actions_per_discovery_censored,Budgeted ISAC,82.3985260770975
Wang ISAC,0.7270707070707071,0.030101010101010073,2,discovery_rate,Budgeted ISAC,0.7571717171717172
Wang ISAC,2361.0,-269.0,2,collision_count,Budgeted ISAC,2092.0
Wang ISAC,0.492271919026125,0.0399632414396518,2,collision_penalized_discovery_rate,Budgeted ISAC,0.5322351604657768
Wang ISAC,38.62812725486463,2.1036679404170613,2,lambda2,Budgeted ISAC,40.73179519528169
Wang ISAC,0.8316633333333333,-0.3905721652715706,2,empty_scan_ratio,Budgeted ISAC,0.4410911680617627
Wang ISAC,83.35648791330925,-5.805527401036045,2,scan_actions_per_discovery_censored,Budgeted ISAC,77.5509605122732
Collision-aware ISAC,0.7717171717171717,-0.0698989898989899,0,discovery_rate,Budgeted ISAC,0.7018181818181818
Collision-aware ISAC,3955.0,-2866.0,0,collision_count,Budgeted ISAC,1089.0
Collision-aware ISAC,0.42897248736664795,0.1462883174023536,0,collision_penalized_discovery_rate,Budgeted ISAC,0.5752608047690015
Collision-aware ISAC,39.7602928979643,-9.190057821873715,0,lambda2,Budgeted ISAC,30.570235076090583
Collision-aware ISAC,0.46353231948402684,-0.0037038592841492912,0,empty_scan_ratio,Budgeted ISAC,0.45982846019987755
Collision-aware ISAC,75.4128272251309,8.28838175587083,0,scan_actions_per_discovery_censored,Budgeted ISAC,83.70120898100173
Collision-aware ISAC,0.7747474747474747,-0.062020202020201975,1,discovery_rate,Budgeted ISAC,0.7127272727272728
Collision-aware ISAC,4799.0,-3393.0,1,collision_count,Budgeted ISAC,1406.0
Collision-aware ISAC,0.3933736793517284,0.16169239994342577,1,collision_penalized_discovery_rate,Budgeted ISAC,0.5550660792951542
Collision-aware ISAC,48.416784115112826,-10.146476867066639,1,lambda2,Budgeted ISAC,38.27030724804619
Collision-aware ISAC,0.45308764905682636,-0.003114824652453496,1,empty_scan_ratio,Budgeted ISAC,0.44997282440437286
Collision-aware ISAC,75.15749674054759,7.241029336549914,1,scan_actions_per_discovery_censored,Budgeted ISAC,82.3985260770975
Collision-aware ISAC,0.8086868686868687,-0.051515151515151514,2,discovery_rate,Budgeted ISAC,0.7571717171717172
Collision-aware ISAC,7148.0,-5056.0,2,collision_count,Budgeted ISAC,2092.0
Collision-aware ISAC,0.330881137378079,0.2013540230876978,2,collision_penalized_discovery_rate,Budgeted ISAC,0.5322351604657768
Collision-aware ISAC,51.13527098100499,-10.403475785723302,2,lambda2,Budgeted ISAC,40.73179519528169
Collision-aware ISAC,0.44434570404029533,-0.0032545359785326466,2,empty_scan_ratio,Budgeted ISAC,0.4410911680617627
Collision-aware ISAC,71.9642767924057,5.586683719867509,2,scan_actions_per_discovery_censored,Budgeted ISAC,77.5509605122732
Uniform random,0.0016161616161616162,0.7002020202020202,0,discovery_rate,Budgeted ISAC,0.7018181818181818
Uniform random,0.0,1089.0,0,collision_count,Budgeted ISAC,1089.0
Uniform random,0.0016161616161616162,0.5736446431528399,0,collision_penalized_discovery_rate,Budgeted ISAC,0.5752608047690015
Uniform random,0.0,30.570235076090583,0,lambda2,Budgeted ISAC,30.570235076090583
Uniform random,0.9002592451690584,-0.44043078496918087,0,empty_scan_ratio,Budgeted ISAC,0.45982846019987755
Uniform random,31871.375,-31787.673791019,0,scan_actions_per_discovery_censored,Budgeted ISAC,83.70120898100173
Uniform random,0.0028282828282828283,0.7098989898989899,1,discovery_rate,Budgeted ISAC,0.7127272727272728
Uniform random,0.0,1406.0,1,collision_count,Budgeted ISAC,1406.0
Uniform random,0.0028282828282828283,0.5522377964668713,1,collision_penalized_discovery_rate,Budgeted ISAC,0.5550660792951542
Uniform random,-9.78037884681553e-16,38.27030724804619,1,lambda2,Budgeted ISAC,38.27030724804619
Uniform random,0.9012188858700979,-0.45124606146572505,1,empty_scan_ratio,Budgeted ISAC,0.44997282440437286
Uniform random,18219.214285714286,-18136.81575963719,1,scan_actions_per_discovery_censored,Budgeted ISAC,82.3985260770975
Uniform random,0.0024242424242424242,0.7547474747474747,2,discovery_rate,Budgeted ISAC,0.7571717171717172
Uniform random,0.0,2092.0,2,collision_count,Budgeted ISAC,2092.0
Uniform random,0.0024242424242424242,0.5298109180415344,2,collision_penalized_discovery_rate,Budgeted ISAC,0.5322351604657768
Uniform random,0.0,40.73179519528169,2,lambda2,Budgeted ISAC,40.73179519528169
Uniform random,0.9105888348753333,-0.4694976668135706,2,empty_scan_ratio,Budgeted ISAC,0.4410911680617627
Uniform random,21256.666666666668,-21179.115706154396,2,scan_actions_per_discovery_censored,Budgeted ISAC,77.5509605122732
Wang ISAC,,0.028754208754208754,mean,discovery_rate,Budgeted ISAC,
Wang ISAC,,-45.333333333333336,mean,collision_count,Budgeted ISAC,
Wang ISAC,,0.02436404641250926,mean,collision_penalized_discovery_rate,Budgeted ISAC,
Wang ISAC,,-5.507115878479311,mean,lambda2,Budgeted ISAC,
Wang ISAC,,-0.37535029355577343,mean,empty_scan_ratio,Budgeted ISAC,
Wang ISAC,,-6.064598013937105,mean,scan_actions_per_discovery_censored,Budgeted ISAC,
Collision-aware ISAC,,-0.061144781144781134,mean,discovery_rate,Budgeted ISAC,
Collision-aware ISAC,,-3771.6666666666665,mean,collision_count,Budgeted ISAC,
Collision-aware ISAC,,0.16977824681115905,mean,collision_penalized_discovery_rate,Budgeted ISAC,
Collision-aware ISAC,,-9.913336824887885,mean,lambda2,Budgeted ISAC,
Collision-aware ISAC,,-0.0033577399717118115,mean,empty_scan_ratio,Budgeted ISAC,
Collision-aware ISAC,,7.038698270762751,mean,scan_actions_per_discovery_censored,Budgeted ISAC,
Uniform random,,0.7216161616161616,mean,discovery_rate,Budgeted ISAC,
Uniform random,,1529.0,mean,collision_count,Budgeted ISAC,
Uniform random,,0.5518977858870818,mean,collision_penalized_discovery_rate,Budgeted ISAC,
Uniform random,,36.52411250647282,mean,lambda2,Budgeted ISAC,
Uniform random,,-0.4537248377494922,mean,empty_scan_ratio,Budgeted ISAC,
Uniform random,,-23701.201752270194,mean,scan_actions_per_discovery_censored,Budgeted ISAC,
