access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,beamwidth_deg,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,episode_return_mean_per_agent,episode_return_sum,eval_episode,finite_time_discovery_rate,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,mean_sensing_pd,mean_sensing_snr_db,method,method_key,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,phase,piggyback_sense_actions,policy_seed,protocol,run,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,source_type,step_reward_mean,true_edges_seen,tx_actions
21336,0.07112,37046,0.12348666666666666,241618,0.8053933333333333,300000,10,100895,0.012276184788886823,0.011847512872596722,80.4585326953748,1,1254,4.628843527370714,0.99284227227868,0.004628843527370714,0.25333333333333335,1177,0.004344616293233915,1263.0404999999998,1.0072093301435405,improved_rl_isac,0,-190.95738220214844,-19095.73828125,0,,27058,0.0,12.894299391457283,100,1.0,2473.660202020202,,0.0,0.0,BC-MARL+gate,bc_notable_gate,gauss_markov,8.750619243114308,100,3000.0,,3000.0,,3000.0,,eval_stochastic,270910,,improved_rl_isac,bc_notable_gate_N100_B10_3000slot_stochastic,190688,270910,216.03668261562999,30260705,30260705,2032,0.0,0.0,0.0,0,0,3000,marl,-0.06365246325731277,4950,80222
21440,0.07146666666666666,36924,0.12308,241636,0.8054533333333334,300000,10,125139,0.010782352987676182,0.010485129411402963,91.74413489736071,1,1364,5.074725708099099,1.089032824678889,0.005074725708099099,0.27555555555555555,1498,0.005573269142765726,1252.4875,0.9182459677419355,improved_rl_isac,1,-204.32728576660156,-20432.728515625,1,,28902,0.0,15.18409364609997,100,1.0,2409.402626262626,,0.0,0.0,BC-MARL+gate,bc_notable_gate,gauss_markov,8.914099994555125,100,3000.0,,3000.0,,3000.0,,eval_stochastic,268783,,improved_rl_isac,bc_notable_gate_N100_B10_3000slot_stochastic,190663,268783,197.0549853372434,30260706,30260706,2315,0.0,0.0,0.0,0,0,3000,marl,-0.06810909509658813,4950,78120
21415,0.07138333333333333,36813,0.12271,241772,0.8059066666666667,300000,10,121312,0.010085843914221366,0.009789168554276029,98.14886731391586,1,1236,4.607590595445345,0.9866619036547801,0.004607590595445345,0.2496969696969697,1501,0.005595463983627397,1252.70875,1.0135184061488673,improved_rl_isac,2,-206.20130920410156,-20620.12890625,2,,29467,0.0,11.936777616769696,100,1.0,2462.0165656565655,,0.0,0.0,BC-MARL+gate,bc_notable_gate,gauss_markov,8.878948161327196,100,3000.0,,3000.0,,3000.0,,eval_stochastic,268253,,improved_rl_isac,bc_notable_gate_N100_B10_3000slot_stochastic,188928,268253,217.0331715210356,30260707,30260707,2280,0.0,0.0,0.0,0,0,3000,marl,-0.06873376667499542,4950,79325
10558,0.07038666666666667,18477,0.12318,120965,0.8064333333333333,150000,10,47874,0.008018897246223658,0.00788203425731685,123.70542635658914,1,387,2.826880934989043,0.6076710222965803,0.002826880934989043,0.3159183673469388,788,0.005756026296566837,636.85775,1.6456272609819123,improved_rl_isac,0,-210.05877685546875,-10502.9384765625,0,,12135,0.0,2.7608228673434603,50,1.0,2291.692244897959,,0.0,0.0,BC-MARL+gate,bc_notable_gate,gauss_markov,8.961439163199403,50,3000.0,,3000.0,,3000.0,,eval_stochastic,136900,,improved_rl_isac,bc_notable_gate_N50_B10_3000slot_stochastic,96683,136900,353.7467700258398,30260705,30260705,965,0.0,0.0,0.0,0,0,3000,marl,-0.07001958787441254,1225,40217
10580,0.07053333333333334,18525,0.1235,120895,0.8059666666666667,150000,10,47481,0.009533146981517793,0.009382827577711165,103.89715536105032,1,457,3.343869815904235,0.719993162428173,0.003343869815904235,0.3730612244897959,743,0.005436532326513888,634.72825,1.3889020787746171,improved_rl_isac,1,-206.0504913330078,-10302.525390625,1,,12385,0.0,9.06820629803449,50,1.0,2203.7885714285712,,0.0,0.0,BC-MARL+gate,bc_notable_gate,gauss_markov,9.827045956246618,50,3000.0,,3000.0,,3000.0,,eval_stochastic,136668,,improved_rl_isac,bc_notable_gate_N50_B10_3000slot_stochastic,97029,136668,299.05470459518597,30260706,30260706,947,0.0,0.0,0.0,0,0,3000,marl,-0.06868350505828857,1225,39639
10637,0.07091333333333333,18330,0.1222,121033,0.8068866666666666,150000,10,38373,0.009319977280941808,0.009116622051618768,106.29639889196676,1,361,2.623603712290239,0.5632633700936795,0.002623603712290239,0.2946938775510204,783,0.005690531043554729,640.908,1.7753684210526317,improved_rl_isac,2,-197.84262084960938,-9892.130859375,2,,11584,0.0,5.63231195290694,50,1.0,2360.3771428571426,,0.0,0.0,BC-MARL+gate,bc_notable_gate,gauss_markov,9.745028443464806,50,3000.0,,3000.0,,3000.0,,eval_stochastic,137597,,improved_rl_isac,bc_notable_gate_N50_B10_3000slot_stochastic,96242,137597,381.1551246537396,30260707,30260707,819,0.0,0.0,0.0,0,0,3000,marl,-0.06594754010438919,1225,41355
0,0.0,0,0.0,300000,1.0,300000,10,114299,0.011117455703211517,0.010775771704584524,88.94863813229571,1,1285,4.951983105452191,1.0152145904902836,0.004951983105452191,0.2595959595959596,1711,0.00659365221278498,1265.7422499999998,0.9850134241245134,improved_rl_isac,0,-194.03924560546875,-19403.923828125,0,,34881,0.0,11.99409397329283,100,1.0,2450.1470707070707,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,8.750619243114308,100,3000.0,,3000.0,,3000.0,,eval_stochastic,259492,,improved_rl_isac,bc_notable_nogate_N100_B10_3000slot_stochastic,166846,259492,201.93929961089495,30260705,30260705,5627,0.0,0.0,0.0,0,0,3000,marl,-0.06467974931001663,4950,92646
0,0.0,0,0.0,300000,1.0,300000,10,131752,0.010038470786246693,0.009773083056575618,98.61676646706587,1,1336,5.20599936873361,1.064456167272594,0.00520599936873361,0.2698989898989899,2171,0.008459748974192115,1255.1009999999999,0.9394468562874251,improved_rl_isac,1,-205.0057830810547,-20500.580078125,1,,37108,0.0,12.053348421759033,100,1.0,2431.088888888889,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,8.914099994555125,100,3000.0,,3000.0,,3000.0,,eval_stochastic,256627,,improved_rl_isac,bc_notable_nogate_N100_B10_3000slot_stochastic,165764,256627,192.08607784431138,30260706,30260706,6265,0.0,0.0,0.0,0,0,3000,marl,-0.06833526492118835,4950,90863
0,0.0,0,0.0,300000,1.0,300000,10,110369,0.011871614664935762,0.011498538835751264,83.23453996983409,1,1326,5.088199291642844,1.043888587329822,0.005088199291642843,0.2678787878787879,1350,0.005180293396468958,1270.2504999999999,0.957956636500754,improved_rl_isac,2,-189.71949768066406,-18971.94921875,2,,33970,0.0,15.002265540033177,100,1.0,2437.9931313131315,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,8.878948161327196,100,3000.0,,3000.0,,3000.0,,eval_stochastic,260603,,improved_rl_isac,bc_notable_nogate_N100_B10_3000slot_stochastic,167211,260603,196.53318250377075,30260707,30260707,5427,0.0,0.0,0.0,0,0,3000,marl,-0.06323982775211334,4950,93392
0,0.0,0,0.0,300000,1.0,300000,15,243572,0.006765050095624126,0.006675465351156034,146.81856540084388,1,1659,6.766843689581752,1.3674010437251003,0.006766843689581753,0.33515151515151514,910,0.0037117708001925226,1213.2505,0.7313143459915612,improved_rl_isac,0,-252.4692840576172,-25246.9296875,0,,45634,0.0,19.463071054658055,100,1.0,2255.869898989899,,0.0,0.0,BC-MARL,bc_notable_nogate,gauss_markov,8.750619243114308,100,3000.0,,3000.0,,3000.0,,eval_stochastic,245166,,improved_rl_isac,bc_notable_nogate_N100_B15_3000slot_stochastic,162177,245166,147.77938517179024,30260705,30260705,9200,0.0,0.0,0.0,0,0,3000,marl,-0.08415643125772476,4950,82989
