episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,0.0,311.51953125,99,11224.60546875,65.3,100,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
0,0.0,333.1484375,199,11135.796875,65.6,200,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
0,0.0,355.703125,299,11109.4609375,65.7,300,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
1,0.0,404.90234375,99,10883.66796875,66.4,400,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
1,0.0,424.93359375,199,10924.3359375,66.3,500,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
1,0.0,446.69140625,299,10832.09375,66.6,600,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
2,0.0,426.74609375,99,10760.01953125,66.8,700,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
2,0.0,445.6484375,199,10668.19921875,67.1,800,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
2,0.0,465.30859375,299,10633.56640625,67.2,900,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
3,0.0,426.66796875,99,10666.875,67.1,1000,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
3,0.0,446.140625,199,10570.31640625,67.4,1100,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
3,0.0,466.078125,299,10473.20703125,67.7,1200,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
4,0.0,422.05859375,99,10478.64453125,67.6,1300,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
4,0.0,440.51953125,199,10434.74609375,67.8,1400,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
4,0.0,460.0,299,10347.7421875,68.0,1500,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
5,0.0,386.0,99,10463.296875,67.7,1600,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
5,0.0,403.63671875,199,10401.6015625,67.9,1700,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
5,0.0,421.59375,299,10343.1484375,68.1,1800,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
6,0.0,607.5078125,99,9935.546875,69.3,1900,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
6,0.0,607.5078125,199,9981.234375,69.2,2000,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
6,0.0,607.609375,299,9949.77734375,69.3,2100,train_seed20260743,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,balanced_topology_gated_contention_actor,Balanced topology gated ISAC-MAPPO,20260743,10,648,36,18,5.0
