method,method_label,train_algorithm,train_network,train_reward_version,env_protocol,phase,node_count,beamwidth_deg,slots_per_episode,episodes,run_n,discovery_rate_mean,collision_penalized_discovery_rate_mean,lambda2_mean,collision_count_mean,trace_status,analysis_summary_csv,analysis_manifest,raw_eval_manifests,train_manifests,checkpoints,config_paths,eval_run_count,training_trace
adaptive_gated_contention_actor,adaptive_gated_contention_actor,isac_mappo,adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,3000,10,1,0.2203232323232322,0.2026616147772684,7.550575437691985,429.6,complete,06_analysis/paper_tables/marl/p10_adaptive_gate_v2_n100_b10_b15_3000slot_10ep_stoch/marl_transfer_summary.csv,06_analysis/paper_tables/marl/p10_adaptive_gate_v2_n100_b10_b15_3000slot_10ep_stoch/manifest.json,05_simulation/results_raw/marl_campaign/p10_adaptive_gate_v2_n100/b10/manifest.json,05_simulation/results_raw/marl_campaign/p10_adaptive_gate_v2/train/train_n10_b10_adaptive_gated_contention_actor_100ep_300slot_seed20260741/manifest.json,05_simulation/results_raw/marl_campaign/p10_adaptive_gate_v2/train/train_n10_b10_adaptive_gated_contention_actor_100ep_300slot_seed20260741/final_model.pt,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,checkpoint_parent_manifest
balanced_topology_gated_contention_actor,balanced_topology_gated_contention_actor,isac_mappo,balanced_topology_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,3000,20,2,0.3126969696969697,0.2086406461994393,12.22436688022126,2477.25,complete,06_analysis/paper_tables/marl/p10_balanced_gate_v4_n100_b10_b15_3000slot_10ep_stoch/marl_transfer_summary.csv,06_analysis/paper_tables/marl/p10_balanced_gate_v4_n100_b10_b15_3000slot_10ep_stoch/manifest.json,05_simulation/results_raw/marl_campaign/p10_balanced_gate_v4_n100/seed20260743_b10/manifest.json;05_simulation/results_raw/marl_campaign/p10_balanced_gate_v4_n100/seed20260744_b10/manifest.json,05_simulation/results_raw/marl_campaign/p10_balanced_gate_v4/train_seed20260743/manifest.json;05_simulation/results_raw/marl_campaign/p10_balanced_gate_v4/train_seed20260744/manifest.json,05_simulation/results_raw/marl_campaign/p10_balanced_gate_v4/train_seed20260743/final_model.pt;05_simulation/results_raw/marl_campaign/p10_balanced_gate_v4/train_seed20260744/final_model.pt,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,2,checkpoint_parent_manifest
contention_actor,contention_actor,isac_mappo,contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,3000,10,1,0.3429090909090909,0.2262830389833648,14.381436830276732,2563.7,complete,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/marl_transfer_summary.csv,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/manifest.json,05_simulation/results_raw/marl_campaign/phase9_fiveway_n100_b10_3000slot_10ep_stoch/eval/contention_actor/contention_actor_train_n10_b10_test_n100_b10_3000slot_10ep_stoch/manifest.json,05_simulation/results_raw/marl_campaign/phase7_long_training_100ep_3seed/train/train_n10_b10_contention_actor_100ep_300slot_seed20260731/manifest.json,05_simulation/results_raw/marl_campaign/phase7_long_training_100ep_3seed/train/train_n10_b10_contention_actor_100ep_300slot_seed20260731/final_model.pt,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,checkpoint_parent_manifest
contention_no_isac,contention_no_isac,mappo,contention_shared,collision_topology,structured_marl_no_isac,eval_stochastic,100,10.0,3000,10,1,0.0007676767676767,0.0007676767676767,0.0,0.0,complete,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/marl_transfer_summary.csv,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/manifest.json,05_simulation/results_raw/marl_campaign/phase9_fiveway_n100_b10_3000slot_10ep_stoch/eval/contention_no_isac/contention_no_isac_train_n10_b10_test_n100_b10_3000slot_10ep_stoch/manifest.json,05_simulation/results_raw/marl_campaign/phase7_contention_no_isac_strict_100ep_3seed/train/train_n10_b10_contention_no_isac_100ep_300slot_seed20260731/manifest.json,05_simulation/results_raw/marl_campaign/phase7_contention_no_isac_strict_100ep_3seed/train/train_n10_b10_contention_no_isac_100ep_300slot_seed20260731/final_model.pt,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,checkpoint_parent_manifest
gated_contention_actor,gated_contention_actor,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,3000,10,1,0.3019797979797979,0.2353115394963504,11.904327907733608,1403.3,complete,06_analysis/paper_tables/marl/p10_gate31_n100_b10_b15_3000slot_10ep_stoch/marl_transfer_summary.csv,06_analysis/paper_tables/marl/p10_gate31_n100_b10_b15_3000slot_10ep_stoch/manifest.json,05_simulation/results_raw/marl_campaign/p10_gate31_n100/b10/manifest.json,05_simulation/results_raw/marl_campaign/phase10_gated_contention_actor_100ep_3seed/train/train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731/manifest.json,05_simulation/results_raw/marl_campaign/phase10_gated_contention_actor_100ep_3seed/train/train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731/final_model.pt,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,checkpoint_parent_manifest
mappo_no_isac,mappo_no_isac,mappo,shared,legacy,structured_marl_no_isac,eval_stochastic,100,10.0,3000,10,1,0.0004848484848484,0.0004848484848484,0.0,0.0,complete,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/marl_transfer_summary.csv,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/manifest.json,05_simulation/results_raw/marl_campaign/phase9_fiveway_n100_b10_3000slot_10ep_stoch/eval/mappo_no_isac/mappo_no_isac_train_n10_b10_test_n100_b10_3000slot_10ep_stoch/manifest.json,05_simulation/results_raw/marl_campaign/phase9_mappo_no_isac_strict_100ep_3seed/train/train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731/manifest.json,05_simulation/results_raw/marl_campaign/phase9_mappo_no_isac_strict_100ep_3seed/train/train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731/final_model.pt,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,checkpoint_parent_manifest
skyorbs_like,SkyOrbs-like,protocol_baseline,skyorbs_like,none,skyorbs_like_skip_scan,eval_stochastic,100,10.0,3000,10,1,0.003090909090909,0.003090909090909,-3.816592718834423e-16,0.0,complete,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/marl_transfer_summary.csv,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/manifest.json,05_simulation/results_raw/marl_campaign/phase9_fiveway_n100_b10_3000slot_10ep_stoch/eval/skyorbs_like/skyorbs_like_train_n10_b10_test_n100_b10_3000slot_10ep_stoch/manifest.json,,,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,protocol_baseline_no_training
topology_adaptive_gated_contention_actor,topology_adaptive_gated_contention_actor,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,10.0,3000,10,1,0.345090909090909,0.1999613554019947,14.051644190076036,3606.5,complete,06_analysis/paper_tables/marl/p10_topology_gate_v3_n100_b10_b15_3000slot_10ep_stoch/marl_transfer_summary.csv,06_analysis/paper_tables/marl/p10_topology_gate_v3_n100_b10_b15_3000slot_10ep_stoch/manifest.json,05_simulation/results_raw/marl_campaign/p10_topology_gate_v3_n100/b10/manifest.json,05_simulation/results_raw/marl_campaign/p10_topology_gate_v3/train/train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742/manifest.json,05_simulation/results_raw/marl_campaign/p10_topology_gate_v3/train/train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742/final_model.pt,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,checkpoint_parent_manifest
uniform_random,Uniform random,protocol_baseline,uniform_random,none,uniform_random,eval_stochastic,100,10.0,3000,10,1,0.0027878787878787,0.0027878787878787,-1.7678310511619908e-16,0.0,complete,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/marl_transfer_summary.csv,06_analysis/paper_tables/marl/phase9_fiveway_n100_b10_3000slot_10ep_stoch_all_methods/manifest.json,05_simulation/results_raw/marl_campaign/phase9_fiveway_n100_b10_3000slot_10ep_stoch/eval/uniform_random/uniform_random_train_n10_b10_test_n100_b10_3000slot_10ep_stoch/manifest.json,,,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,protocol_baseline_no_training
adaptive_gated_contention_actor,adaptive_gated_contention_actor,isac_mappo,adaptive_gated_contention_shared,collision_topology,isac_structured_marl,eval_stochastic,100,15.0,3000,10,1,0.2934949494949494,0.2265031756837917,10.992504926426127,1463.7,complete,06_analysis/paper_tables/marl/p10_adaptive_gate_v2_n100_b10_b15_3000slot_10ep_stoch/marl_transfer_summary.csv,06_analysis/paper_tables/marl/p10_adaptive_gate_v2_n100_b10_b15_3000slot_10ep_stoch/manifest.json,05_simulation/results_raw/marl_campaign/p10_adaptive_gate_v2_n100/b15/manifest.json,05_simulation/results_raw/marl_campaign/p10_adaptive_gate_v2/train/train_n10_b10_adaptive_gated_contention_actor_100ep_300slot_seed20260741/manifest.json,05_simulation/results_raw/marl_campaign/p10_adaptive_gate_v2/train/train_n10_b10_adaptive_gated_contention_actor_100ep_300slot_seed20260741/final_model.pt,05_simulation/configs/paper_transfer_train_n10_b10_singlehop.yaml,1,checkpoint_parent_manifest
