algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss,run,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,0.0003696949645721,0.0,129,0.1987577639751552,0.1839080459770115,4.03125,1,32,18.244013683010262,2.218217107999445,0.0182440136830102,0.7111111111111111,1457,0.830672748004561,14.426000000000002,0.4508125,5.922173976898193,0,-7.118000030517578,-71.17999267578125,352,0.0,3.5816634458264587,10,1.0,158.17777777777778,gauss_markov,2.2517164499467768,648,10,300.0,300.0,300.0,1754,-0.0008887764032312,isac_structured_marl,775,1754,54.8125,20260731,20260731,894,300,-0.0237266644835472,-0.2372666746377945,300,45,979,2.1299866437911987,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,0.0001779728002923,0.0,120,0.2156862745098039,0.2,3.636363636363636,1,33,20.158827122785585,2.3341349554392417,0.0201588271227855,0.7333333333333333,1363,0.8326206475259621,14.138000000000002,0.4284242424242425,5.928536176681519,1,-6.0980000495910645,-60.97999572753906,408,0.0,5.235985074805419,10,1.0,151.93333333333334,gauss_markov,2.279267576925036,648,10,300.0,300.0,300.0,1637,-0.0001005666283884,isac_structured_marl,758,1637,49.60606060606061,20260732,20260732,955,300,-0.0203266646713018,-0.2032666653394699,600,45,879,1.5706568956375122,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,-8.13580927787605e-05,0.0,125,0.1987179487179487,0.1823529411764705,4.032258064516129,1,31,18.39762611275965,2.128353443984827,0.0183976261127596,0.6888888888888889,1411,0.8373887240356083,14.56525,0.4698467741935484,5.9205873012542725,2,-6.914500236511231,-69.1449966430664,341,0.0,3.903619055696577,10,1.0,158.62222222222223,gauss_markov,3.2386008274628195,648,10,300.0,300.0,300.0,1685,-0.0001472397596415,isac_structured_marl,737,1685,54.354838709677416,20260733,20260733,974,300,-0.0230483319610357,-0.2304833233356475,900,45,948,1.5700429677963257,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,0.0004490290834413,0.0,124,0.2151898734177215,0.2011834319526627,3.647058823529412,1,34,19.859813084112147,2.333401962802827,0.0198598130841121,0.7555555555555555,1427,0.8335280373831776,14.571000000000002,0.4285588235294118,5.917685508728027,3,-6.588999271392822,-65.88999938964844,356,0.0,3.906822229267474,10,1.0,149.15555555555557,gauss_markov,2.553617818961813,648,10,300.0,300.0,300.0,1712,-0.0001365064006151,isac_structured_marl,691,1712,50.35294117647059,20260734,20260734,932,300,-0.0219633337110281,-0.2196333259344101,1200,45,1021,1.4540382027626038,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,1.5323162112806932e-05,0.0,102,0.2330827067669172,0.2108843537414966,3.290322580645161,1,31,19.20693928128873,2.113768474165999,0.0192069392812887,0.6888888888888889,1362,0.8438661710037175,14.665750000000005,0.4730887096774194,5.897847652435303,4,-6.472499847412109,-64.72499084472656,335,0.0,3.659468096993169,10,1.0,150.88888888888889,gauss_markov,2.622034681874577,648,10,300.0,300.0,300.0,1614,-3.799942969129333e-05,isac_structured_marl,704,1614,52.064516129032256,20260735,20260735,1051,300,-0.0215749964118003,-0.2157500237226486,1500,45,910,1.3650588393211365,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,4.064929490166236e-05,0.0,116,0.2266666666666666,0.2111801242236025,3.411764705882353,1,34,21.104903786468032,2.3084496045082665,0.021104903786468,0.7555555555555555,1369,0.8497827436374923,14.7285,0.4331911764705882,5.880953311920166,5,-6.0149993896484375,-60.14999008178711,330,0.0,4.631513612048028,10,1.0,154.95555555555555,gauss_markov,2.5645699767585293,648,10,300.0,300.0,300.0,1611,-0.0001031310986157,isac_structured_marl,687,1611,47.38235294117647,20260736,20260736,1059,300,-0.0200499966740608,-0.2004999816417694,1800,45,924,0.8035482168197632,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,0.0001641187493611,0.0,115,0.23841059602649,0.225,3.1944444444444446,1,36,22.670025188916878,2.438735244804986,0.0226700251889168,0.8,1356,0.853904282115869,14.76175,0.410048611111111,5.894803762435913,6,-5.293499946594238,-52.93499755859375,311,0.0,5.288662749032428,10,1.0,153.6,gauss_markov,2.7307170935205503,648,10,300.0,300.0,300.0,1588,-0.0001141815154501,isac_structured_marl,725,1588,44.11111111111112,20260737,20260737,1101,300,-0.0176449995487928,-0.1764499992132187,2100,45,863,0.4359000921249389,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,-7.64499714714928e-05,0.0,140,0.1954022988505747,0.1837837837837838,4.117647058823529,1,34,21.144278606965177,2.3806189609298416,0.0211442786069651,0.7555555555555555,1356,0.8432835820895522,14.282,0.4200588235294117,5.909662961959839,7,-6.190000534057617,-61.899993896484375,400,0.0,4.452733934037177,10,1.0,148.3111111111111,gauss_markov,2.418195934415992,648,10,300.0,300.0,300.0,1608,-4.351572147176519e-05,isac_structured_marl,709,1608,47.294117647058826,20260738,20260738,992,300,-0.0206333305686712,-0.2063333094120025,2400,45,899,0.885980635881424,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,0.0001537346084757,0.0,104,0.2571428571428571,0.2416107382550335,2.888888888888889,1,36,21.151586368977675,2.4796376973808827,0.0211515863689776,0.8,1428,0.8390129259694477,14.51825,0.4032847222222222,5.914083480834961,8,-5.897500514984131,-58.97499465942383,337,0.0,5.554212957541042,10,1.0,144.3111111111111,gauss_markov,2.951834684067268,648,10,300.0,300.0,300.0,1702,-0.0001824072598246,isac_structured_marl,772,1702,47.27777777777778,20260739,20260739,961,300,-0.0196583308279514,-0.1965833306312561,2700,45,930,0.7353674173355103,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,-9.612202937825389e-06,0.0,160,0.1752577319587628,0.1658536585365853,4.705882352941177,1,34,21.052631578947366,2.3701638201463924,0.0210526315789473,0.7555555555555555,1380,0.8544891640866873,14.345,0.4219117647058824,5.9339752197265625,9,-6.351998805999756,-63.519996643066406,388,0.0,4.046922936020894,10,1.0,166.64444444444445,gauss_markov,2.865242848121496,648,10,300.0,300.0,300.0,1615,-5.707740831084607e-07,isac_structured_marl,712,1615,47.5,20260740,20260740,997,300,-0.0211733318865299,-0.211733341217041,3000,45,903,0.7592141330242157,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,1.742680912908412e-06,0.0,147,0.1967213114754098,0.1875,4.083333333333333,1,36,22.27722772277228,2.5354790999049195,0.0222772277227722,0.8,1366,0.8452970297029703,14.1985,0.3944027777777777,5.914510488510132,10,-5.784999370574951,-57.84999465942383,410,0.0,5.999999999999997,10,1.0,145.7111111111111,gauss_markov,2.5836880367957824,648,10,300.0,300.0,300.0,1616,-7.051706523597545e-06,isac_structured_marl,722,1616,44.888888888888886,20260741,20260741,974,300,-0.0192833319306373,-0.1928333193063736,3300,45,894,0.3968092948198318,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,1.28651661046586e-05,0.0,111,0.2291666666666666,0.2115384615384615,3.363636363636364,1,33,19.320843091334897,2.3140437915256915,0.0193208430913348,0.7333333333333333,1433,0.8389929742388759,14.260749999999998,0.4321439393939393,5.917211532592773,11,-6.293499946594238,-62.93499755859375,379,0.0,3.6525442512243615,10,1.0,153.2888888888889,gauss_markov,2.7892506672342137,648,10,300.0,300.0,300.0,1708,-9.462106218194322e-05,isac_structured_marl,780,1708,51.75757575757576,20260742,20260742,913,300,-0.020978333428502,-0.2097833305597305,3600,45,928,0.7886131703853607,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,-0.0001244513214333,0.0,126,0.1870967741935484,0.1695906432748538,4.344827586206897,1,29,17.68292682926829,2.0014493253735464,0.0176829268292682,0.6444444444444445,1359,0.8286585365853658,14.4895,0.4996379310344828,5.8918774127960205,12,-7.2049994468688965,-72.04999542236328,350,0.0,2.8099504631208734,10,1.0,172.04444444444445,gauss_markov,2.3006283418548907,648,10,300.0,300.0,300.0,1640,-0.0001821300940747,isac_structured_marl,749,1640,56.55172413793103,20260743,20260743,1010,300,-0.0240166652947664,-0.2401666194200515,3900,45,891,0.6088793277740479,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,-3.5572668877048574e-05,0.0,147,0.1833333333333333,0.171875,4.454545454545454,1,33,20.158827122785585,2.338476801247188,0.0201588271227855,0.7333333333333333,1380,0.8430054978619426,14.11175,0.4276287878787879,5.928648233413696,13,-6.546499729156494,-65.46499633789062,431,0.0,4.902977734213977,10,1.0,164.26666666666668,gauss_markov,2.894095778139512,648,10,300.0,300.0,300.0,1637,-0.0001308077603656,isac_structured_marl,705,1637,49.60606060606061,20260744,20260744,932,300,-0.0218216646462678,-0.2182166576385498,4200,45,932,0.371325671672821,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
isac_mappo,0.0001206079346205,0.0,115,0.2281879194630872,0.2125,3.3823529411764706,1,34,20.744356314826117,2.3555493972564774,0.0207443563148261,0.7555555555555555,1385,0.8450274557657108,14.434,0.4245294117647059,5.901963710784912,14,-6.279998779296875,-62.79999542236328,376,0.0,4.638531233814174,10,1.0,150.6,gauss_markov,2.3806109826174726,648,10,300.0,300.0,300.0,1639,-0.0001934640011749,isac_structured_marl,702,1639,48.20588235294117,20260745,20260745,985,300,-0.0209333319216966,-0.2093333452939987,4500,45,937,0.4658370167016983,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
