episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,0.0,311.82421875,99,15214.03515625,53.0,100,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
0,0.0,334.44140625,199,15330.10546875,52.7,200,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
0,0.0,357.58203125,299,15276.8359375,52.8,300,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
1,0.0,411.28515625,99,15407.0078125,52.4,400,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
1,0.0,430.3046875,199,15237.40625,53.0,500,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
1,0.0,451.93359375,299,15304.8359375,52.7,600,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
2,0.0,414.921875,99,15534.8203125,52.0,700,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
2,0.0,434.1015625,199,15580.39453125,51.9,800,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
2,0.0,453.26953125,299,15533.02734375,52.0,900,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
3,0.0,420.53515625,99,16122.72265625,50.2,1000,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
3,0.0,439.48046875,199,16072.64453125,50.4,1100,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
3,0.0,458.96875,299,16055.62109375,50.4,1200,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
4,0.0,440.421875,99,16023.40234375,50.5,1300,train_n10_b10_gated_contention_actor_100ep_300slot_seed20260731,isac_mappo,gated_contention_shared,collision_topology,isac_structured_marl,gated_contention_actor,Gated contention ISAC-MAPPO,20260731,10,648,36,18,5.0
