family,metric,beamwidth_deg,scenario_seed,treatment,control,expected_direction,treatment_value,control_value,delta
primary_discovery,discovery_rate,10.0,20468205,contention_actor,uniform_random,positive,0.3498989898989899,0.001010101010101,0.34888888888888886
primary_discovery,discovery_rate,10.0,20468206,contention_actor,uniform_random,positive,0.3408080808080808,0.0024242424242424,0.3383838383838384
primary_discovery,discovery_rate,10.0,20468207,contention_actor,uniform_random,positive,0.3341414141414141,0.0032323232323232,0.3309090909090909
primary_discovery,discovery_rate,10.0,20468208,contention_actor,uniform_random,positive,0.3496969696969697,0.0034343434343434,0.34626262626262627
primary_discovery,discovery_rate,10.0,20468209,contention_actor,uniform_random,positive,0.3521212121212121,0.0024242424242424,0.34969696969696973
primary_discovery,discovery_rate,10.0,20468210,contention_actor,uniform_random,positive,0.3381818181818182,0.0026262626262626,0.3355555555555556
primary_discovery,discovery_rate,10.0,20468211,contention_actor,uniform_random,positive,0.3268686868686868,0.0026262626262626,0.3242424242424242
primary_discovery,discovery_rate,10.0,20468212,contention_actor,uniform_random,positive,0.3507070707070707,0.004040404040404,0.3466666666666667
primary_discovery,discovery_rate,10.0,20468213,contention_actor,uniform_random,positive,0.3492929292929292,0.004040404040404,0.3452525252525252
primary_discovery,discovery_rate,10.0,20468214,contention_actor,uniform_random,positive,0.3373737373737374,0.002020202020202,0.3353535353535354
primary_discovery,discovery_rate,10.0,20468205,contention_actor,skyorbs_like,positive,0.3498989898989899,0.0028282828282828,0.3470707070707071
primary_discovery,discovery_rate,10.0,20468206,contention_actor,skyorbs_like,positive,0.3408080808080808,0.004040404040404,0.33676767676767677
primary_discovery,discovery_rate,10.0,20468207,contention_actor,skyorbs_like,positive,0.3341414141414141,0.0034343434343434,0.33070707070707067
primary_discovery,discovery_rate,10.0,20468208,contention_actor,skyorbs_like,positive,0.3496969696969697,0.0018181818181818,0.3478787878787879
primary_discovery,discovery_rate,10.0,20468209,contention_actor,skyorbs_like,positive,0.3521212121212121,0.0034343434343434,0.3486868686868687
primary_discovery,discovery_rate,10.0,20468210,contention_actor,skyorbs_like,positive,0.3381818181818182,0.0014141414141414,0.33676767676767677
primary_discovery,discovery_rate,10.0,20468211,contention_actor,skyorbs_like,positive,0.3268686868686868,0.0036363636363636,0.3232323232323232
primary_discovery,discovery_rate,10.0,20468212,contention_actor,skyorbs_like,positive,0.3507070707070707,0.003030303030303,0.3476767676767677
primary_discovery,discovery_rate,10.0,20468213,contention_actor,skyorbs_like,positive,0.3492929292929292,0.0032323232323232,0.346060606060606
primary_discovery,discovery_rate,10.0,20468214,contention_actor,skyorbs_like,positive,0.3373737373737374,0.004040404040404,0.33333333333333337
primary_discovery,discovery_rate,10.0,20468205,contention_actor,mappo_no_isac,positive,0.3498989898989899,0.0008080808080808,0.34909090909090906
primary_discovery,discovery_rate,10.0,20468206,contention_actor,mappo_no_isac,positive,0.3408080808080808,0.0004040404040404,0.3404040404040404
primary_discovery,discovery_rate,10.0,20468207,contention_actor,mappo_no_isac,positive,0.3341414141414141,0.0004040404040404,0.33373737373737367
primary_discovery,discovery_rate,10.0,20468208,contention_actor,mappo_no_isac,positive,0.3496969696969697,0.0,0.3496969696969697
primary_discovery,discovery_rate,10.0,20468209,contention_actor,mappo_no_isac,positive,0.3521212121212121,0.0008080808080808,0.3513131313131313
primary_discovery,discovery_rate,10.0,20468210,contention_actor,mappo_no_isac,positive,0.3381818181818182,0.0006060606060606,0.3375757575757576
primary_discovery,discovery_rate,10.0,20468211,contention_actor,mappo_no_isac,positive,0.3268686868686868,0.0004040404040404,0.3264646464646464
primary_discovery,discovery_rate,10.0,20468212,contention_actor,mappo_no_isac,positive,0.3507070707070707,0.0006060606060606,0.3501010101010101
primary_discovery,discovery_rate,10.0,20468213,contention_actor,mappo_no_isac,positive,0.3492929292929292,0.0004040404040404,0.3488888888888888
primary_discovery,discovery_rate,10.0,20468214,contention_actor,mappo_no_isac,positive,0.3373737373737374,0.0004040404040404,0.336969696969697
primary_discovery,discovery_rate,10.0,20468205,contention_actor,contention_no_isac,positive,0.3498989898989899,0.0012121212121212,0.34868686868686866
primary_discovery,discovery_rate,10.0,20468206,contention_actor,contention_no_isac,positive,0.3408080808080808,0.0004040404040404,0.3404040404040404
primary_discovery,discovery_rate,10.0,20468207,contention_actor,contention_no_isac,positive,0.3341414141414141,0.0006060606060606,0.33353535353535346
primary_discovery,discovery_rate,10.0,20468208,contention_actor,contention_no_isac,positive,0.3496969696969697,0.0002020202020202,0.34949494949494947
primary_discovery,discovery_rate,10.0,20468209,contention_actor,contention_no_isac,positive,0.3521212121212121,0.001010101010101,0.3511111111111111
primary_discovery,discovery_rate,10.0,20468210,contention_actor,contention_no_isac,positive,0.3381818181818182,0.0014141414141414,0.33676767676767677
primary_discovery,discovery_rate,10.0,20468211,contention_actor,contention_no_isac,positive,0.3268686868686868,0.0004040404040404,0.3264646464646464
primary_discovery,discovery_rate,10.0,20468212,contention_actor,contention_no_isac,positive,0.3507070707070707,0.0008080808080808,0.3498989898989899
primary_discovery,discovery_rate,10.0,20468213,contention_actor,contention_no_isac,positive,0.3492929292929292,0.0008080808080808,0.3484848484848484
primary_discovery,discovery_rate,10.0,20468214,contention_actor,contention_no_isac,positive,0.3373737373737374,0.0008080808080808,0.33656565656565657
primary_discovery,discovery_rate,15.0,20468705,contention_actor,uniform_random,positive,0.4383838383838384,0.0117171717171717,0.4266666666666667
primary_discovery,discovery_rate,15.0,20468706,contention_actor,uniform_random,positive,0.4094949494949494,0.0115151515151515,0.39797979797979793
primary_discovery,discovery_rate,15.0,20468707,contention_actor,uniform_random,positive,0.4303030303030303,0.0143434343434343,0.415959595959596
primary_discovery,discovery_rate,15.0,20468708,contention_actor,uniform_random,positive,0.4024242424242424,0.0129292929292929,0.3894949494949495
primary_discovery,discovery_rate,15.0,20468709,contention_actor,uniform_random,positive,0.4171717171717172,0.0151515151515151,0.4020202020202021
primary_discovery,discovery_rate,15.0,20468710,contention_actor,uniform_random,positive,0.4177777777777778,0.0151515151515151,0.4026262626262627
primary_discovery,discovery_rate,15.0,20468711,contention_actor,uniform_random,positive,0.4222222222222222,0.0123232323232323,0.40989898989898993
primary_discovery,discovery_rate,15.0,20468712,contention_actor,uniform_random,positive,0.4385858585858586,0.0107070707070707,0.42787878787878786
primary_discovery,discovery_rate,15.0,20468713,contention_actor,uniform_random,positive,0.4165656565656566,0.0111111111111111,0.4054545454545455
primary_discovery,discovery_rate,15.0,20468714,contention_actor,uniform_random,positive,0.44,0.0143434343434343,0.4256565656565657
primary_discovery,discovery_rate,15.0,20468705,contention_actor,skyorbs_like,positive,0.4383838383838384,0.0177777777777777,0.42060606060606065
primary_discovery,discovery_rate,15.0,20468706,contention_actor,skyorbs_like,positive,0.4094949494949494,0.0208080808080808,0.38868686868686864
primary_discovery,discovery_rate,15.0,20468707,contention_actor,skyorbs_like,positive,0.4303030303030303,0.0204040404040404,0.4098989898989899
primary_discovery,discovery_rate,15.0,20468708,contention_actor,skyorbs_like,positive,0.4024242424242424,0.0143434343434343,0.3880808080808081
primary_discovery,discovery_rate,15.0,20468709,contention_actor,skyorbs_like,positive,0.4171717171717172,0.0193939393939393,0.3977777777777779
primary_discovery,discovery_rate,15.0,20468710,contention_actor,skyorbs_like,positive,0.4177777777777778,0.0206060606060606,0.3971717171717172
primary_discovery,discovery_rate,15.0,20468711,contention_actor,skyorbs_like,positive,0.4222222222222222,0.0175757575757575,0.4046464646464647
primary_discovery,discovery_rate,15.0,20468712,contention_actor,skyorbs_like,positive,0.4385858585858586,0.0195959595959595,0.4189898989898991
primary_discovery,discovery_rate,15.0,20468713,contention_actor,skyorbs_like,positive,0.4165656565656566,0.0187878787878787,0.3977777777777779
primary_discovery,discovery_rate,15.0,20468714,contention_actor,skyorbs_like,positive,0.44,0.0204040404040404,0.4195959595959596
primary_discovery,discovery_rate,15.0,20468705,contention_actor,mappo_no_isac,positive,0.4383838383838384,0.002020202020202,0.4363636363636364
primary_discovery,discovery_rate,15.0,20468706,contention_actor,mappo_no_isac,positive,0.4094949494949494,0.0022222222222222,0.40727272727272723
primary_discovery,discovery_rate,15.0,20468707,contention_actor,mappo_no_isac,positive,0.4303030303030303,0.0028282828282828,0.4274747474747475
primary_discovery,discovery_rate,15.0,20468708,contention_actor,mappo_no_isac,positive,0.4024242424242424,0.0008080808080808,0.4016161616161616
primary_discovery,discovery_rate,15.0,20468709,contention_actor,mappo_no_isac,positive,0.4171717171717172,0.0026262626262626,0.4145454545454546
primary_discovery,discovery_rate,15.0,20468710,contention_actor,mappo_no_isac,positive,0.4177777777777778,0.002020202020202,0.4157575757575758
primary_discovery,discovery_rate,15.0,20468711,contention_actor,mappo_no_isac,positive,0.4222222222222222,0.0028282828282828,0.41939393939393943
primary_discovery,discovery_rate,15.0,20468712,contention_actor,mappo_no_isac,positive,0.4385858585858586,0.0024242424242424,0.4361616161616162
primary_discovery,discovery_rate,15.0,20468713,contention_actor,mappo_no_isac,positive,0.4165656565656566,0.0018181818181818,0.4147474747474748
primary_discovery,discovery_rate,15.0,20468714,contention_actor,mappo_no_isac,positive,0.44,0.0026262626262626,0.4373737373737374
primary_discovery,discovery_rate,15.0,20468705,contention_actor,contention_no_isac,positive,0.4383838383838384,0.0042424242424242,0.43414141414141416
primary_discovery,discovery_rate,15.0,20468706,contention_actor,contention_no_isac,positive,0.4094949494949494,0.005050505050505,0.4044444444444444
primary_discovery,discovery_rate,15.0,20468707,contention_actor,contention_no_isac,positive,0.4303030303030303,0.0046464646464646,0.4256565656565657
primary_discovery,discovery_rate,15.0,20468708,contention_actor,contention_no_isac,positive,0.4024242424242424,0.0026262626262626,0.3997979797979798
primary_discovery,discovery_rate,15.0,20468709,contention_actor,contention_no_isac,positive,0.4171717171717172,0.0042424242424242,0.412929292929293
primary_discovery,discovery_rate,15.0,20468710,contention_actor,contention_no_isac,positive,0.4177777777777778,0.0038383838383838,0.413939393939394
primary_discovery,discovery_rate,15.0,20468711,contention_actor,contention_no_isac,positive,0.4222222222222222,0.005050505050505,0.4171717171717172
primary_discovery,discovery_rate,15.0,20468712,contention_actor,contention_no_isac,positive,0.4385858585858586,0.0056565656565656,0.432929292929293
primary_discovery,discovery_rate,15.0,20468713,contention_actor,contention_no_isac,positive,0.4165656565656566,0.0034343434343434,0.4131313131313132
primary_discovery,discovery_rate,15.0,20468714,contention_actor,contention_no_isac,positive,0.44,0.0046464646464646,0.4353535353535354
mechanism_empty_scan,empty_scan_ratio,10.0,20468205,contention_actor,uniform_random,negative,0.0558534329176373,0.905590359366235,-0.8497369264485977
mechanism_empty_scan,empty_scan_ratio,10.0,20468206,contention_actor,uniform_random,negative,0.0534338129987042,0.9012199088497276,-0.8477860958510234
mechanism_empty_scan,empty_scan_ratio,10.0,20468207,contention_actor,uniform_random,negative,0.0545213107731848,0.9022317768301628,-0.847710466056978
mechanism_empty_scan,empty_scan_ratio,10.0,20468208,contention_actor,uniform_random,negative,0.0537569875510134,0.9019591682953824,-0.8482021807443689
mechanism_empty_scan,empty_scan_ratio,10.0,20468209,contention_actor,uniform_random,negative,0.0544298734565012,0.904667476584238,-0.8502376031277368
mechanism_empty_scan,empty_scan_ratio,10.0,20468210,contention_actor,uniform_random,negative,0.0523764323004949,0.9004295549496891,-0.8480531226491942
mechanism_empty_scan,empty_scan_ratio,10.0,20468211,contention_actor,uniform_random,negative,0.0538453022677532,0.9003939708735961,-0.8465486686058429
mechanism_empty_scan,empty_scan_ratio,10.0,20468212,contention_actor,uniform_random,negative,0.0584076525353708,0.9047607837598186,-0.8463531312244478
mechanism_empty_scan,empty_scan_ratio,10.0,20468213,contention_actor,uniform_random,negative,0.0539509861504805,0.8989379036849442,-0.8449869175344636
mechanism_empty_scan,empty_scan_ratio,10.0,20468214,contention_actor,uniform_random,negative,0.0520585435506901,0.9008490921065012,-0.8487905485558112
mechanism_empty_scan,empty_scan_ratio,10.0,20468205,contention_actor,skyorbs_like,negative,0.0558534329176373,0.9046333333333332,-0.8487799004156958
mechanism_empty_scan,empty_scan_ratio,10.0,20468206,contention_actor,skyorbs_like,negative,0.0534338129987042,0.9017366666666666,-0.8483028536679624
mechanism_empty_scan,empty_scan_ratio,10.0,20468207,contention_actor,skyorbs_like,negative,0.0545213107731848,0.90267,-0.8481486892268152
mechanism_empty_scan,empty_scan_ratio,10.0,20468208,contention_actor,skyorbs_like,negative,0.0537569875510134,0.9031866666666668,-0.8494296791156534
mechanism_empty_scan,empty_scan_ratio,10.0,20468209,contention_actor,skyorbs_like,negative,0.0544298734565012,0.90495,-0.8505201265434988
mechanism_empty_scan,empty_scan_ratio,10.0,20468210,contention_actor,skyorbs_like,negative,0.0523764323004949,0.9002833333333333,-0.8479069010328384
mechanism_empty_scan,empty_scan_ratio,10.0,20468211,contention_actor,skyorbs_like,negative,0.0538453022677532,0.8992566666666667,-0.8454113643989135
mechanism_empty_scan,empty_scan_ratio,10.0,20468212,contention_actor,skyorbs_like,negative,0.0584076525353708,0.9048166666666668,-0.846409014131296
mechanism_empty_scan,empty_scan_ratio,10.0,20468213,contention_actor,skyorbs_like,negative,0.0539509861504805,0.90011,-0.8461590138495194
mechanism_empty_scan,empty_scan_ratio,10.0,20468214,contention_actor,skyorbs_like,negative,0.0520585435506901,0.9012,-0.8491414564493099
mechanism_empty_scan,empty_scan_ratio,10.0,20468205,contention_actor,mappo_no_isac,negative,0.0558534329176373,0.9021870327334306,-0.8463335998157933
mechanism_empty_scan,empty_scan_ratio,10.0,20468206,contention_actor,mappo_no_isac,negative,0.0534338129987042,0.9003804196307321,-0.8469466066320279
mechanism_empty_scan,empty_scan_ratio,10.0,20468207,contention_actor,mappo_no_isac,negative,0.0545213107731848,0.9034107841100988,-0.848889473336914
mechanism_empty_scan,empty_scan_ratio,10.0,20468208,contention_actor,mappo_no_isac,negative,0.0537569875510134,0.903404791929382,-0.8496478043783685
mechanism_empty_scan,empty_scan_ratio,10.0,20468209,contention_actor,mappo_no_isac,negative,0.0544298734565012,0.9019336399767784,-0.8475037665202773
mechanism_empty_scan,empty_scan_ratio,10.0,20468210,contention_actor,mappo_no_isac,negative,0.0523764323004949,0.8975870111230714,-0.8452105788225764
mechanism_empty_scan,empty_scan_ratio,10.0,20468211,contention_actor,mappo_no_isac,negative,0.0538453022677532,0.9008149240843348,-0.8469696218165816
mechanism_empty_scan,empty_scan_ratio,10.0,20468212,contention_actor,mappo_no_isac,negative,0.0584076525353708,0.905390816179646,-0.8469831636442752
mechanism_empty_scan,empty_scan_ratio,10.0,20468213,contention_actor,mappo_no_isac,negative,0.0539509861504805,0.902256449888121,-0.8483054637376405
mechanism_empty_scan,empty_scan_ratio,10.0,20468214,contention_actor,mappo_no_isac,negative,0.0520585435506901,0.901306606874319,-0.8492480633236289
mechanism_empty_scan,empty_scan_ratio,10.0,20468205,contention_actor,contention_no_isac,negative,0.0558534329176373,0.902437762355361,-0.8465843294377237
mechanism_empty_scan,empty_scan_ratio,10.0,20468206,contention_actor,contention_no_isac,negative,0.0534338129987042,0.9002463371853074,-0.8468125241866032
mechanism_empty_scan,empty_scan_ratio,10.0,20468207,contention_actor,contention_no_isac,negative,0.0545213107731848,0.9030637610976594,-0.8485424503244746
mechanism_empty_scan,empty_scan_ratio,10.0,20468208,contention_actor,contention_no_isac,negative,0.0537569875510134,0.9029045375330794,-0.849147549982066
mechanism_empty_scan,empty_scan_ratio,10.0,20468209,contention_actor,contention_no_isac,negative,0.0544298734565012,0.9021062324131848,-0.8476763589566836
mechanism_empty_scan,empty_scan_ratio,10.0,20468210,contention_actor,contention_no_isac,negative,0.0523764323004949,0.8979252040915104,-0.8455487717910155
mechanism_empty_scan,empty_scan_ratio,10.0,20468211,contention_actor,contention_no_isac,negative,0.0538453022677532,0.9010561816555211,-0.847210879387768
mechanism_empty_scan,empty_scan_ratio,10.0,20468212,contention_actor,contention_no_isac,negative,0.0584076525353708,0.9060518583432136,-0.8476442058078427
mechanism_empty_scan,empty_scan_ratio,10.0,20468213,contention_actor,contention_no_isac,negative,0.0539509861504805,0.9016608729239088,-0.8477098867734283
mechanism_empty_scan,empty_scan_ratio,10.0,20468214,contention_actor,contention_no_isac,negative,0.0520585435506901,0.9015306550635568,-0.8494721115128667
mechanism_empty_scan,empty_scan_ratio,15.0,20468705,contention_actor,uniform_random,negative,0.0203573323262568,0.8412520523360384,-0.8208947200097816
mechanism_empty_scan,empty_scan_ratio,15.0,20468706,contention_actor,uniform_random,negative,0.0216681400761361,0.833465870140045,-0.811797730063909
mechanism_empty_scan,empty_scan_ratio,15.0,20468707,contention_actor,uniform_random,negative,0.0207191624943104,0.8395467190890434,-0.818827556594733
mechanism_empty_scan,empty_scan_ratio,15.0,20468708,contention_actor,uniform_random,negative,0.0209722172173975,0.8305468027402844,-0.8095745855228869
mechanism_empty_scan,empty_scan_ratio,15.0,20468709,contention_actor,uniform_random,negative,0.0204087156584111,0.8312129221732746,-0.8108042065148635
mechanism_empty_scan,empty_scan_ratio,15.0,20468710,contention_actor,uniform_random,negative,0.0225936525643018,0.8323103247986687,-0.8097166722343669
mechanism_empty_scan,empty_scan_ratio,15.0,20468711,contention_actor,uniform_random,negative,0.0220188993278824,0.8380894881073261,-0.8160705887794437
mechanism_empty_scan,empty_scan_ratio,15.0,20468712,contention_actor,uniform_random,negative,0.0207641120406361,0.8411385476219438,-0.8203744355813077
mechanism_empty_scan,empty_scan_ratio,15.0,20468713,contention_actor,uniform_random,negative,0.0212688996599869,0.8377189195129802,-0.8164500198529933
mechanism_empty_scan,empty_scan_ratio,15.0,20468714,contention_actor,uniform_random,negative,0.0203013738042149,0.8402635684439114,-0.8199621946396964
mechanism_empty_scan,empty_scan_ratio,15.0,20468705,contention_actor,skyorbs_like,negative,0.0203573323262568,0.83717,-0.8168126676737432
mechanism_empty_scan,empty_scan_ratio,15.0,20468706,contention_actor,skyorbs_like,negative,0.0216681400761361,0.8291933333333333,-0.8075251932571972
mechanism_empty_scan,empty_scan_ratio,15.0,20468707,contention_actor,skyorbs_like,negative,0.0207191624943104,0.8336766666666666,-0.8129575041723562
mechanism_empty_scan,empty_scan_ratio,15.0,20468708,contention_actor,skyorbs_like,negative,0.0209722172173975,0.83059,-0.8096177827826025
mechanism_empty_scan,empty_scan_ratio,15.0,20468709,contention_actor,skyorbs_like,negative,0.0204087156584111,0.82757,-0.807161284341589
mechanism_empty_scan,empty_scan_ratio,15.0,20468710,contention_actor,skyorbs_like,negative,0.0225936525643018,0.8275833333333333,-0.8049896807690315
mechanism_empty_scan,empty_scan_ratio,15.0,20468711,contention_actor,skyorbs_like,negative,0.0220188993278824,0.83286,-0.8108411006721177
mechanism_empty_scan,empty_scan_ratio,15.0,20468712,contention_actor,skyorbs_like,negative,0.0207641120406361,0.83692,-0.8161558879593639
