episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,0.0,311.64453125,99,13389.34375,58.7,100,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
0,0.0,334.86328125,199,13359.9921875,58.7,200,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
0,0.0,356.8359375,299,13372.89453125,58.7,300,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
1,0.0,409.828125,99,13069.39453125,59.6,400,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
1,0.0,429.33984375,199,13067.71875,59.6,500,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
1,0.0,450.39453125,299,13072.46484375,59.6,600,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
2,0.0,416.65625,99,13038.984375,59.7,700,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
2,0.0,435.9921875,199,12966.515625,60.0,800,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
2,0.0,455.015625,299,12910.6484375,60.1,900,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
3,0.0,423.83203125,99,12786.97265625,60.5,1000,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
3,0.0,443.0859375,199,12818.82421875,60.4,1100,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
3,0.0,462.9453125,299,12779.36328125,60.5,1200,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
4,0.0,427.41796875,99,12688.20703125,60.8,1300,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
4,0.0,446.015625,199,12708.52734375,60.8,1400,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
4,0.0,466.328125,299,12574.6328125,61.2,1500,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
5,0.0,682.16796875,99,12317.4296875,62.0,1600,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
5,0.0,682.16796875,199,12355.02734375,61.9,1700,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
5,0.0,682.4375,299,12309.42578125,62.0,1800,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
6,0.0,699.73046875,99,12169.484375,62.4,1900,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
6,0.0,699.73828125,199,12164.45703125,62.4,2000,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
6,0.0,699.765625,299,12204.83203125,62.3,2100,train_n10_b10_topology_adaptive_gated_contention_actor_100ep_300slot_seed20260742,isac_mappo,topology_adaptive_gated_contention_shared,collision_topology,isac_structured_marl,topology_adaptive_gated_contention_actor,Topology-adaptive gated ISAC-MAPPO,20260742,10,648,36,18,5.0
