algorithm,collision_count,discovered_edges,discovery_rate,empty_scan_ratio,env_protocol,episode,episode_cumulative_reward,idle_actions,lambda2,lcc_ratio,new_edges_count,reward_mean,reward_sum,rx_actions,scan_actions,seed,sense_actions,slot,training_step,true_edges,tx_actions,run,network,reward_version,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,0,0,0.0,1.0,isac_structured_marl,0,-0.3949999809265136,1,0.0,0.1,0,-0.0394999980926513,-0.3949999809265136,2,5,20260705,4,0,1,45,3,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,0,0.0,1.0,isac_structured_marl,0,-2.9249998927116394,3,0.0,0.1,0,-0.0639999955892562,-0.6399999856948853,22,39,20260705,18,5,6,45,17,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,0,0.0,1.0,isac_structured_marl,0,-5.56499981880188,7,0.0,0.1,0,-0.0439999960362911,-0.4399999678134918,45,76,20260705,27,10,11,45,31,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,0,0.0,0.990990990990991,isac_structured_marl,0,-8.01999980211258,12,0.0,0.1,0,-0.0439999997615814,-0.4399999976158142,64,111,20260705,37,15,16,45,47,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,1,0.0222222222222222,0.9931972789115646,isac_structured_marl,0,-8.549999803304672,14,0.0,0.2,1,0.1659999936819076,1.659999966621399,81,147,20260705,49,20,21,45,66,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,3,0.0666666666666666,0.9945652173913044,isac_structured_marl,0,-6.949999809265137,18,0.0,0.3,1,0.1564999967813491,1.5649999380111694,100,184,20260705,58,25,26,45,84,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,3,0.0666666666666666,0.9908256880733946,isac_structured_marl,0,-9.309999763965608,22,0.0,0.3,0,-0.0459999963641166,-0.4599999487400055,117,218,20260705,70,30,31,45,101,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,3,0.0666666666666666,0.9921259842519684,isac_structured_marl,0,-11.764999806880953,23,0.0,0.3,0,-0.056000005453825,-0.5600000619888306,130,254,20260705,83,35,36,45,124,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,4,0.0888888888888888,0.9860627177700348,isac_structured_marl,0,-11.904999792575836,23,0.0,0.4,0,-0.0420000031590461,-0.4200000166893005,148,287,20260705,100,40,41,45,139,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,4,4,0.0888888888888888,0.9815384615384616,isac_structured_marl,0,-14.374999821186066,25,0.0,0.4,0,-0.0560000017285347,-0.5600000023841858,169,325,20260705,110,45,46,45,156,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
