episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,,293.90625,24,20469.3359375,36.79498726226278,25,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,298.27734375,49,20500.47265625,36.69884361054814,50,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,302.66015625,74,20539.8671875,36.577201567198216,75,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,307.20703125,99,20624.5546875,36.31570434361604,100,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,311.5234375,124,20649.578125,36.23843722118673,125,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,316.35546875,149,20623.81640625,36.31798400114634,150,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,321.234375,174,20626.02734375,36.31115709023548,175,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,326.11328125,199,20610.796875,36.35818558076809,200,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,331.19921875,224,20608.41015625,36.3655552672814,225,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,335.8671875,249,20574.1953125,36.471203522879016,250,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,340.69921875,274,20560.3046875,36.51409485715293,275,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
0,,345.671875,299,20554.80859375,36.531065640989645,300,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,392.953125,24,20577.96484375,36.4595640016264,325,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,396.76171875,49,20535.45703125,36.59081920397978,350,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,400.9453125,74,20568.0,36.4903333474455,375,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,405.23828125,99,20573.4140625,36.47361585888992,400,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,409.3203125,124,20564.9765625,36.4996690878077,425,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,414.015625,149,20543.4765625,36.56605657482783,450,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,419.25,174,20558.859375,36.5185576787731,475,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,423.8359375,199,20535.41796875,36.59093982078032,500,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,428.0859375,224,20534.859375,36.59266464102812,525,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,432.57421875,249,20515.26171875,36.65317808986168,550,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,437.109375,274,20516.26953125,36.65006617640761,575,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
1,,441.83984375,299,20547.16796875,36.5546582871763,600,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,407.5390625,24,20538.15234375,36.58249664474214,625,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,408.5390625,49,20539.53125,36.5782388716829,650,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,412.20703125,74,20493.39453125,36.72069937480694,675,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,416.19921875,99,20514.16796875,36.65655536027696,700,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,420.13671875,124,20487.1796875,36.7398895077737,725,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,424.4296875,149,20489.01953125,36.73420845646801,750,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,428.0625,174,20486.4765625,36.7420606101835,775,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,432.31640625,199,20511.49609375,36.664805549434256,800,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,436.49609375,224,20507.390625,36.67748237517157,825,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,440.6875,249,20502.87890625,36.69141361563454,850,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,444.796875,274,20469.9140625,36.79320213361471,875,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
2,,448.93359375,299,20472.53515625,36.78510874629812,900,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,422.6171875,24,20383.296875,37.06065782714381,925,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,422.6171875,49,20400.86328125,37.006416451938605,950,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,422.62109375,74,20489.921875,36.731422208375406,975,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,423.984375,99,20484.7109375,36.74751248956816,1000,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,428.1328125,124,20472.39453125,36.785542966780085,1025,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,431.43359375,149,20535.42578125,36.590915697420215,1050,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,435.55078125,174,20505.3828125,36.68368207871959,1075,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,439.9453125,199,20496.2421875,36.71190641004719,1100,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,444.24609375,224,20492.01953125,36.72494508618613,1125,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,448.4140625,249,20488.80078125,36.73488391055106,1150,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,452.4375,274,20516.0703125,36.65068132209039,1175,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
3,,456.15234375,299,20479.53515625,36.7634942156404,1200,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,439.74609375,24,20510.51171875,36.667845092808,1225,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,439.74609375,49,20502.76171875,36.69177546603618,1250,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,439.74609375,74,20521.9765625,36.63244406184796,1275,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,439.74609375,99,20556.75,36.52507098600254,1300,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,439.74609375,124,20557.95703125,36.52134392686569,1325,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,439.74609375,149,20512.3828125,36.66206754806187,1350,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,439.74609375,174,20510.34765625,36.66835168337028,1375,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,439.74609375,199,20505.90625,36.68206581359228,1400,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,441.5,224,20505.0390625,36.68474350656439,1425,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,445.58203125,249,20534.234375,36.59459450983684,1450,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,449.921875,274,20532.01953125,36.60143348242776,1475,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
4,,454.15234375,299,20529.0546875,36.61058829758915,1500,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,452.890625,24,20542.48828125,36.56910817988162,1525,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,452.890625,49,20563.30859375,36.504819425191,1550,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,452.890625,74,20538.43359375,36.58162820377823,1575,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,452.890625,99,20531.546875,36.60289294571436,1600,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,452.890625,124,20532.10546875,36.601168125466565,1625,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,452.890625,149,20565.16796875,36.49907806548504,1650,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,452.890625,174,20543.34765625,36.56645461026963,1675,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,452.890625,199,20538.52734375,36.58133872345692,1700,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
5,,453.38671875,224,20515.12890625,36.65358818698354,1725,train_n10_b10_isac_mappo_shared_collision_topology_300slot,isac_mappo,shared,collision_topology,isac_structured_marl,10,648,36,18,5.0
