algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss,run,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
mappo,0.0006083740216369,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1770,0.9893795416433762,12.31375,12.31375,7.8093581199646,0,-5.71750020980835,-57.17499542236328,403,1.0,0.0,1,0.1,300.0,gauss_markov,2.2517164499467768,648,10,300.0,300.0,300.0,0,-0.0005843881714771,structured_marl_no_isac,790,1789,1789.0,20260731,20260731,808,300,-0.0190583318471908,-0.1905833333730697,300,45,999,1.0726998448371887,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,1.431405556417964e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1694,0.9877551020408164,12.57675,12.57675,7.812305688858032,1,-5.607499599456787,-56.07499694824219,367,1.0,0.0,1,0.1,300.0,gauss_markov,2.279267576925036,648,10,300.0,300.0,300.0,0,-0.0001687967727264,structured_marl_no_isac,799,1715,1715.0,20260732,20260732,918,300,-0.0186916664242744,-0.1869166642427444,600,45,916,0.9251777827739716,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-3.18949014375125e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1763,0.9876750700280112,12.23325,12.23325,7.810384273529053,2,-5.876500129699707,-58.76499557495117,385,1.0,0.0,1,0.1,300.0,gauss_markov,3.2386008274628195,648,10,300.0,300.0,300.0,0,-0.0003633336178019,structured_marl_no_isac,884,1785,1785.0,20260733,20260733,830,300,-0.0195883326232433,-0.1958833336830139,900,45,901,0.9448180496692656,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-5.2308737930939486e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1775,0.9812050856826976,12.29525,12.29525,7.812709331512451,3,-5.6585001945495605,-56.584999084472656,393,1.0,0.0,1,0.1,300.0,gauss_markov,2.553617818961813,648,10,300.0,300.0,300.0,0,9.70029852709331e-06,structured_marl_no_isac,818,1809,1809.0,20260734,20260734,798,300,-0.0188616663217544,-0.1886166632175445,1200,45,991,0.7771900296211243,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,0.000220762139613,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1758,0.9887514060742408,12.354499999999998,12.354499999999998,7.815446376800537,4,-5.730999946594238,-57.30999755859375,394,1.0,0.0,1,0.1,300.0,gauss_markov,2.622034681874577,648,10,300.0,300.0,300.0,0,-0.0002557474683655,structured_marl_no_isac,801,1778,1778.0,20260735,20260735,828,300,-0.0191033333539962,-0.1910333186388015,1500,45,977,0.707965075969696,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,0.0001054667059603,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1708,0.9855741488747836,12.2395,12.2395,7.814517021179199,5,-5.645999908447266,-56.45999526977539,442,1.0,0.0,1,0.1,300.0,gauss_markov,2.5645699767585293,648,10,300.0,300.0,300.0,0,3.9672455720562994e-05,structured_marl_no_isac,743,1733,1733.0,20260736,20260736,825,300,-0.0188199989497661,-0.1881999969482422,1800,45,990,0.5938898622989655,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-5.433658672457376e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1742,0.9852941176470588,12.0855,12.0855,7.813750982284546,6,-5.802999496459961,-58.02999877929688,462,1.0,0.0,1,0.1,300.0,gauss_markov,2.7307170935205503,648,10,300.0,300.0,300.0,0,-0.0002202195364128,structured_marl_no_isac,745,1768,1768.0,20260737,20260737,770,300,-0.0193433333188295,-0.1934333443641662,2100,45,1023,0.581709623336792,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,6.199874773549219e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1736,0.987485779294653,12.073,12.073,7.816240787506103,7,-5.7639994621276855,-57.63999938964844,468,1.0,0.0,1,0.1,300.0,gauss_markov,2.418195934415992,648,10,300.0,300.0,300.0,0,-0.0002192246933319,structured_marl_no_isac,739,1758,1758.0,20260738,20260738,774,300,-0.0192133337259292,-0.1921333372592926,2400,45,1019,0.4866546094417572,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,0.000205579671349,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1786,0.9856512141280354,12.198250000000002,12.198250000000002,7.81926703453064,8,-5.729499816894531,-57.29500198364258,433,1.0,0.0,1,0.1,300.0,gauss_markov,2.951834684067268,648,10,300.0,300.0,300.0,0,6.05906644777221e-05,structured_marl_no_isac,750,1812,1812.0,20260739,20260739,755,300,-0.0190983340144157,-0.1909833252429962,2700,45,1062,0.4156004041433334,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,7.927018190578838e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1737,0.985811577752554,11.9695,11.9695,7.821251630783081,9,-5.714999675750732,-57.14999771118164,486,1.0,0.0,1,0.1,300.0,gauss_markov,2.865242848121496,648,10,300.0,300.0,300.0,0,-2.73913546067206e-05,structured_marl_no_isac,737,1762,1762.0,20260740,20260740,752,300,-0.0190499983727931,-0.1904999911785125,3000,45,1025,0.3613918721675873,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
