episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,,308.94140625,99,14819.78125,54.2396262616065,100,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
0,,331.25,199,14768.3828125,54.39833384776398,200,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
0,,353.4609375,299,14817.11328125,54.24786438908375,300,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,404.14453125,99,15868.23046875,51.0022351499309,400,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,425.03515625,199,15708.90625,51.49419489431495,500,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,447.453125,299,15322.03515625,52.6887716252354,600,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,417.67578125,99,14926.10546875,53.91131939220229,700,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,435.3203125,199,14808.3046875,54.27506347760671,800,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,452.18359375,299,14619.5859375,54.85778736440108,900,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,418.47265625,99,15815.625,51.16466979522524,1000,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,438.16015625,199,15767.40234375,51.3135712354984,1100,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,457.64453125,299,15576.73828125,51.90230183895992,1200,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,423.40234375,99,14860.9765625,54.11242378375145,1300,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,441.9609375,199,14713.71875,54.567124998447056,1400,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,461.765625,299,14600.59375,54.9164312528262,1500,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,424.54296875,99,15898.96484375,50.90733385126187,1600,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,444.0625,199,15853.4921875,51.04774386877664,1700,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,463.03125,299,15765.328125,51.31997598760735,1800,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
6,,448.9296875,99,14729.0078125,54.51991558271363,1900,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
6,,448.93359375,199,14818.2578125,54.24433031682776,2000,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
6,,466.578125,299,14655.5703125,54.746675167738765,2100,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
7,,448.1015625,99,15691.671875,51.54741102671554,2200,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
7,,448.109375,199,15675.296875,51.59797358950412,2300,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
7,,464.2109375,299,15684.47265625,51.56964070305603,2400,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
8,,455.63671875,99,15967.82421875,50.69471055526065,2500,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
8,,455.515625,199,15879.81640625,50.96646020688917,2600,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
8,,468.14453125,299,15841.15625,51.08583465438884,2700,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
9,,455.31640625,99,14585.1875,54.96400251896127,2800,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
9,,455.32421875,199,15618.90625,51.772096002771285,2900,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
9,,466.2109375,299,15573.8359375,51.91126366724043,3000,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
10,,457.0859375,99,14745.05078125,54.47037826272969,3100,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
10,,457.09375,199,14777.78515625,54.36930138387274,3200,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
10,,468.640625,299,14789.9296875,54.33180162058321,3300,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
11,,670.34375,99,14292.734375,55.8670363812837,3400,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
11,,670.2265625,199,15465.77734375,52.244925922588855,3500,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
11,,670.32421875,299,15474.40625,52.21828167134841,3600,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
12,,678.69921875,99,14653.515625,54.75301961144745,3700,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
12,,678.70703125,199,14443.4296875,55.401720888140105,3800,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
