algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss,run,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
mappo,0.0007586710352139,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1761,0.9904386951631046,12.33575,12.33575,7.811943769454956,0,-5.726499080657959,-57.2650032043457,415,1.0,0.0,1,0.1,300.0,gauss_markov,2.2517164499467768,648,10,300.0,300.0,300.0,0,-0.0004550364022151,structured_marl_no_isac,750,1778,1778.0,20260731,20260731,807,300,-0.0190883334726095,-0.1908833384513855,300,45,1028,1.1159266233444214,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,5.554219051795428e-06,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1654,0.9874626865671642,12.587000000000002,12.587000000000002,7.816779136657715,1,-5.564999580383301,-55.64999771118164,392,1.0,0.0,1,0.1,300.0,gauss_markov,2.279267576925036,648,10,300.0,300.0,300.0,0,-0.0001964383939814,structured_marl_no_isac,742,1675,1675.0,20260732,20260732,933,300,-0.0185499992221593,-0.1855000108480453,600,45,933,0.9540092647075652,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-4.744930908782974e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1734,0.9885974914481186,12.30375,12.30375,7.814307689666748,2,-5.83050012588501,-58.30499649047852,399,1.0,0.0,1,0.1,300.0,gauss_markov,3.2386008274628195,648,10,300.0,300.0,300.0,0,-0.0004069264742234,structured_marl_no_isac,824,1754,1754.0,20260733,20260733,847,300,-0.0194349996745586,-0.194350004196167,900,45,930,0.977526068687439,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-6.684773910092812e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1758,0.9810267857142856,12.30225,12.30225,7.815666675567627,3,-5.683499336242676,-56.834999084472656,409,1.0,0.0,1,0.1,300.0,gauss_markov,2.553617818961813,648,10,300.0,300.0,300.0,0,6.027173893841109e-05,structured_marl_no_isac,777,1792,1792.0,20260734,20260734,799,300,-0.0189449992030859,-0.1894500106573104,1200,45,1015,0.8367829918861389,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,0.0002050490771653,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1744,0.9886621315192744,12.372,12.372,7.817214488983154,4,-5.757999897003174,-57.57999801635742,408,1.0,0.0,1,0.1,300.0,gauss_markov,2.622034681874577,648,10,300.0,300.0,300.0,0,-0.0003121927642872,structured_marl_no_isac,759,1764,1764.0,20260735,20260735,828,300,-0.0191933326423168,-0.1919333338737487,1500,45,1005,0.7695125043392181,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,0.0001702377586237,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1714,0.9850574712643678,12.229,12.229,7.814481258392334,5,-5.679999828338623,-56.79999542236328,452,1.0,0.0,1,0.1,300.0,gauss_markov,2.5645699767585293,648,10,300.0,300.0,300.0,0,5.1188787210776354e-05,structured_marl_no_isac,716,1740,1740.0,20260736,20260736,808,300,-0.0189333315938711,-0.1893333196640014,1800,45,1024,0.6555151343345642,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-4.809296211655267e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1757,0.984865470852018,12.062,12.062,7.811892747879028,6,-5.841999530792236,-58.42000198364258,472,1.0,0.0,1,0.1,300.0,gauss_markov,2.7307170935205503,648,10,300.0,300.0,300.0,0,-0.0002116355117536,structured_marl_no_isac,720,1784,1784.0,20260737,20260737,744,300,-0.0194733347743749,-0.1947333216667175,2100,45,1064,0.6403190791606903,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,0.0001811640912201,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1748,0.988128886376484,12.082,12.082,7.813116550445557,7,-5.840999603271484,-58.40999603271485,476,1.0,0.0,1,0.1,300.0,gauss_markov,2.418195934415992,648,10,300.0,300.0,300.0,0,-0.0002101217164103,structured_marl_no_isac,706,1769,1769.0,20260738,20260738,755,300,-0.0194699987769126,-0.194700002670288,2400,45,1063,0.5609561800956726,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,0.0002012438642946,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1795,0.9862637362637364,12.180750000000002,12.180750000000002,7.815248012542725,8,-5.8125,-58.124996185302734,443,1.0,0.0,1,0.1,300.0,gauss_markov,2.951834684067268,648,10,300.0,300.0,300.0,0,9.453392317482212e-05,structured_marl_no_isac,726,1820,1820.0,20260739,20260739,737,300,-0.0193749982863664,-0.1937499940395355,2700,45,1094,0.4938403815031051,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,4.4581134551302526e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1771,0.9866295264623955,11.959,11.959,7.816726446151733,9,-5.784999847412109,-57.84999465942383,488,1.0,0.0,1,0.1,300.0,gauss_markov,2.865242848121496,648,10,300.0,300.0,300.0,0,-1.4104684254334645e-05,structured_marl_no_isac,720,1795,1795.0,20260740,20260740,717,300,-0.0192833319306373,-0.1928333193063736,3000,45,1075,0.4299820214509964,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
