episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,,309.37890625,99,17507.94140625,45.93915196016172,100,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
0,,331.73046875,199,17614.14453125,45.6112190028392,200,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
0,,354.73828125,299,17621.21875,45.58937530026045,300,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,401.796875,99,17167.26953125,46.99107520107725,400,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,423.51953125,199,17032.37890625,47.40758913672023,500,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,446.06640625,299,16920.44921875,47.753204517002686,600,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,414.90625,99,17235.91796875,46.77910323579897,700,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,431.86328125,199,17266.91015625,46.68340586624634,800,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,451.13671875,299,17137.80078125,47.082068515408615,900,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,418.45703125,99,17166.45703125,46.99358403052859,1000,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,438.20703125,199,17125.69921875,47.11943560021754,1100,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,458.2109375,299,17422.90625,46.20172267326876,1200,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,424.765625,99,17196.49609375,46.90082971090928,1300,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,443.453125,199,17135.0,47.09071674000771,1400,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,463.7578125,299,17392.0546875,46.29698582233941,1500,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,424.0859375,99,17397.4375,46.28036482722428,1600,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,445.4921875,199,17221.0703125,46.82494968168624,1700,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,464.44140625,299,17462.62890625,46.079067448794255,1800,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
6,,424.01953125,99,17391.53125,46.29860208746672,1900,train_n10_b10_contention_no_isac_100ep_300slot_seed20260731,mappo,contention_shared,collision_topology,structured_marl_no_isac,contention_no_isac,Contention-aware MAPPO w/o ISAC,20260731,10,648,36,18,5.0
