episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,,310.15234375,99,12878.65625,60.233412807743214,100,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
0,,332.671875,199,12743.08203125,60.65203753739573,200,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
0,,355.25,299,14603.85546875,54.90635974998067,300,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
1,,406.6328125,99,13300.05078125,58.93223494850085,400,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
1,,427.5,199,13355.28515625,58.76168279252983,500,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
1,,448.890625,299,13222.3125,59.172274443266026,600,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
2,,422.98828125,99,14983.296875,53.73472433452394,700,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
2,,441.7421875,199,14537.52734375,55.11116707730657,800,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
2,,460.21484375,299,13836.0859375,57.27707090301819,900,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
3,,433.00390625,99,12980.328125,59.91947139928395,1000,train_n10_b10_collision_reward_100ep_300slot_seed20260731,isac_mappo,shared,collision_topology,isac_structured_marl,collision_reward,Collision-reward ISAC-MAPPO,20260731,10,648,36,18,5.0
