algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss,run,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
mappo,4.092435247016191e-06,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1510,0.988219895287958,10.73875,10.73875,7.859314918518066,0,-4.128499507904053,-41.28499603271485,739,1.0,0.0,1,0.1,300.0,gauss_markov,2.2517164499467768,648,10,300.0,300.0,300.0,0,-0.0001848226445346,structured_marl_no_isac,742,1528,1528.0,20260731,20260731,733,300,-0.0137616656720638,-0.1376166641712188,300,45,786,0.8543362617492676,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-0.0001419501254955,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1463,0.989851150202977,10.581499999999998,10.581499999999998,7.859503746032715,1,-4.064999580383301,-40.64999771118164,774,1.0,0.0,1,0.1,300.0,gauss_markov,2.279267576925036,648,10,300.0,300.0,300.0,0,-6.0071787139293065e-05,structured_marl_no_isac,745,1478,1478.0,20260732,20260732,748,300,-0.013549999333918,-0.1354999989271164,600,45,733,0.748990535736084,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-3.3934694181225744e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1501,0.9842622950819672,10.33975,10.33975,7.859655857086182,2,-4.081499576568604,-40.81499862670898,795,1.0,0.0,1,0.1,300.0,gauss_markov,3.2386008274628195,648,10,300.0,300.0,300.0,0,-2.863550261622549e-05,structured_marl_no_isac,782,1525,1525.0,20260733,20260733,680,300,-0.0136049995198845,-0.1360500007867813,900,45,743,0.6457569897174835,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-3.580790837687253e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1450,0.9817197020988492,10.37025,10.37025,7.859462261199951,3,-4.032500267028809,-40.32499694824219,805,1.0,0.0,1,0.1,300.0,gauss_markov,2.553617818961813,648,10,300.0,300.0,300.0,0,-9.2284282530386e-05,structured_marl_no_isac,762,1477,1477.0,20260734,20260734,718,300,-0.0134416660293936,-0.1344166547060012,1200,45,715,0.5536518096923828,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-3.942388141875419e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1454,0.9877717391304348,10.46325,10.46325,7.859131813049316,4,-4.0355000495910645,-40.35499954223633,805,1.0,0.0,1,0.1,300.0,gauss_markov,2.622034681874577,648,10,300.0,300.0,300.0,0,-1.8147469429408147e-05,structured_marl_no_isac,718,1472,1472.0,20260735,20260735,723,300,-0.0134516665711998,-0.1345166712999344,1500,45,754,0.4974948316812515,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-2.968833931665804e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1440,0.9863013698630136,10.28875,10.28875,7.858932018280029,5,-4.010499477386475,-40.10499572753906,835,1.0,0.0,1,0.1,300.0,gauss_markov,2.5645699767585293,648,10,300.0,300.0,300.0,0,-2.201565136772388e-05,structured_marl_no_isac,725,1460,1460.0,20260736,20260736,705,300,-0.0133683318272233,-0.1336833238601684,1800,45,735,0.4290229827165603,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-1.1481960650927547e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1466,0.9898717083051992,10.2545,10.2545,7.858561754226685,6,-4.0239996910095215,-40.23999786376953,822,1.0,0.0,1,0.1,300.0,gauss_markov,2.7307170935205503,648,10,300.0,300.0,300.0,0,-3.1923373423836665e-05,structured_marl_no_isac,769,1481,1481.0,20260737,20260737,697,300,-0.0134133324027061,-0.1341333240270614,2100,45,712,0.3619021773338318,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,-3.545433414792187e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1456,0.986449864498645,10.34825,10.34825,7.858559846878052,7,-4.0295000076293945,-40.29499816894531,809,1.0,0.0,1,0.1,300.0,gauss_markov,2.418195934415992,648,10,300.0,300.0,300.0,0,-7.146660847467956e-05,structured_marl_no_isac,762,1476,1476.0,20260738,20260738,715,300,-0.01343166641891,-0.1343166679143905,2400,45,714,0.3111997842788696,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,3.7029067976035446e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1481,0.9912985274431058,10.36475,10.36475,7.858009099960327,8,-4.05649995803833,-40.56499481201172,795,1.0,0.0,1,0.1,300.0,gauss_markov,2.951834684067268,648,10,300.0,300.0,300.0,0,-1.3239622072447332e-05,structured_marl_no_isac,785,1494,1494.0,20260739,20260739,711,300,-0.0135216647759079,-0.1352166682481765,2700,45,709,0.2718882709741592,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
mappo,6.082954015196318e-05,0.0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1457,0.9884667571234736,10.431,10.431,7.857728481292725,9,-4.039999961853027,-40.39999771118164,788,1.0,0.0,1,0.1,300.0,gauss_markov,2.865242848121496,648,10,300.0,300.0,300.0,0,-0.0001035242049667,structured_marl_no_isac,782,1474,1474.0,20260740,20260740,738,300,-0.013466665521264,-0.1346666663885116,3000,45,692,0.2199509516358375,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
