episode,process_cpu_percent,rss_mb,slot,system_available_mb,system_memory_percent,training_step,run,algorithm,network,reward_version,env_protocol,method,method_label,training_seed,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
0,,309.23046875,99,19002.80859375,41.32331586681445,100,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
0,,331.3125,199,18948.08984375,41.49227588101828,200,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
0,,353.640625,299,18936.796875,41.52714619805592,300,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,413.203125,99,18686.6484375,42.299552065387815,400,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,434.078125,199,18627.8671875,42.48105622684836,500,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
1,,455.82421875,299,18881.12890625,41.69903720051301,600,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,431.953125,99,18903.72265625,41.62927244307761,700,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,451.25390625,199,18872.2734375,41.726381029196624,800,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
2,,469.26171875,299,18913.05078125,41.6004691511074,900,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,436.65234375,99,18949.39453125,41.48824727988006,1000,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,456.140625,199,18923.8984375,41.56697386559598,1100,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
3,,475.4921875,299,18957.15234375,41.46429278329178,1200,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,433.03125,99,18900.18359375,41.64020032520702,1300,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,452.2734375,199,18872.0625,41.72703235991957,1400,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
4,,471.765625,299,18847.53515625,41.80276764898196,1500,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,440.76171875,99,18789.765625,41.98114783530838,1600,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,459.703125,199,18631.296875,42.47046607176048,1700,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
5,,479.0,299,18941.8671875,41.51149013734514,1800,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
6,,442.05078125,99,18866.80859375,41.74325531959291,1900,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
6,,461.6484375,199,18783.4609375,42.00061538691639,2000,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
6,,480.66015625,299,18748.0625,42.10991833157052,2100,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
7,,452.609375,99,18956.5625,41.466114096980014,2200,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
7,,471.4296875,199,18938.76953125,41.52105504962839,2300,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
7,,490.50390625,299,18938.23046875,41.52271956147591,2400,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
8,,453.69921875,99,18981.90234375,41.38786997846629,2500,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
8,,472.93359375,199,18938.046875,41.52328646043847,2600,train_n10_b10_mappo_no_isac_100ep_300slot_seed20260731,mappo,shared,legacy,structured_marl_no_isac,mappo_no_isac,MAPPO w/o ISAC,20260731,10,648,36,18,5.0
