method,train_seed,scenario_seed,discovered_edges,discovery_rate,aligned_handshake_opportunities,handshake_successes,empty_scan_ratio,episode_return_mean_per_agent
Adapter zero,20260705,22260705,0,0.0,0,0,0.9843333333333333,-0.6934000253677368
MARL + ISAC adapter,20260705,22260705,1,0.022222222222222223,1,1,0.9666666666666667,-0.18027235567569733
Adapter zero,20260705,22260706,0,0.0,0,0,0.985,-0.6878500580787659
MARL + ISAC adapter,20260705,22260706,3,0.06666666666666667,3,3,0.9443333333333334,0.8347116708755493
Adapter zero,20260715,22260715,0,0.0,0,0,0.985,-0.7159499526023865
MARL + ISAC adapter,20260715,22260715,2,0.044444444444444446,2,2,0.9526666666666667,0.32293063402175903
Adapter zero,20260715,22260716,0,0.0,0,0,0.9896666666666667,-0.7308500409126282
MARL + ISAC adapter,20260715,22260716,1,0.022222222222222223,1,1,0.97,-0.26024967432022095
Adapter zero,20260725,22260725,0,0.0,0,0,0.986,-0.7323000431060791
MARL + ISAC adapter,20260725,22260725,1,0.022222222222222223,1,1,0.9606666666666667,-0.29035648703575134
Adapter zero,20260725,22260726,0,0.0,0,0,0.9883333333333333,-0.7336500883102417
MARL + ISAC adapter,20260725,22260726,0,0.0,0,0,0.9543333333333334,-0.6785500645637512
Uniform random,,22271902,0,0.0,0,0,0.9843333333333333,0.0
Uniform random,,22271903,0,0.0,0,0,0.986,0.0
Uniform random,,22271912,0,0.0,0,0,0.984,0.0
Uniform random,,22271913,0,0.0,0,0,0.989,0.0
Uniform random,,22271922,0,0.0,0,0,0.9896666666666667,0.0
Uniform random,,22271923,0,0.0,0,0,0.988,0.0
Wang ISAC tables,,22281144,0,0.0,0,0,0.9863333333333333,0.0
Wang ISAC tables,,22281145,0,0.0,0,0,0.9826666666666667,0.0
Wang ISAC tables,,22281154,0,0.0,0,0,0.9863333333333333,0.0
Wang ISAC tables,,22281155,0,0.0,0,0,0.9896666666666667,0.0
Wang ISAC tables,,22281164,0,0.0,0,0,0.986,0.0
Wang ISAC tables,,22281165,0,0.0,0,0,0.9856666666666667,0.0
