access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,expert_bc_loss,expert_bc_weight,expert_protocol,final_model_exists,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,run,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss
697,0.23233333333333334,716,0.23866666666666667,1587,0.529,3000,isac_mappo,0.000700159632911479,0.0,359,0.07948717948717948,0.07673267326732673,11.580645161290322,1,31,16.7658193618172,2.1869488536155197,0.0167658193618172,0.6888888888888889,1641,0.8875067604110329,14.175000000000002,0.4572580645161291,6.868687868118286,0,-10.716100692749023,-107.16100311279297,7.259667873382568,0.15,budgeted_collision_aware_isac,True,316,0.0,2.7809545633785824,10,1.0,152.9777777777778,0.0,0.0,gauss_markov,2.590623188268112,648,10,300.0,300.0,300.0,1849,7.943185300440803e-05,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1004,1849,59.645161290322584,20260751,20260751,835,0.0,0.0,0.0,0,0,300,-0.0357203334569931,-0.35720330476760864,300,45,845,5.4289937019348145
708,0.236,734,0.24466666666666667,1558,0.5193333333333333,3000,isac_mappo,0.0002754102488979754,0.0,341,0.07837837837837838,0.07512953367875648,11.758620689655173,1,29,14.803471158754466,2.0988257431833395,0.014803471158754467,0.6444444444444445,1691,0.8631955079122001,13.817250000000001,0.4764568965517242,6.864929676055908,1,-11.359899520874023,-113.59901428222656,7.151238203048706,0.15,budgeted_collision_aware_isac,True,341,0.0,2.7678118248218486,10,1.0,177.8,0.0,0.0,gauss_markov,2.7979998107513806,648,10,300.0,300.0,300.0,1959,-2.0961880821346313e-05,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1111,1959,67.55172413793103,20260752,20260752,700,0.0,0.0,0.0,0,0,300,-0.03786633908748627,-0.3786633312702179,600,45,848,5.277954816818237
721,0.24033333333333334,728,0.24266666666666667,1551,0.517,3000,isac_mappo,0.00036367439827889037,0.0,410,0.055299539170506916,0.05274725274725275,17.083333333333332,1,24,11.588604538870111,1.7153884640125796,0.01158860453887011,0.5333333333333333,1776,0.8575567358763883,13.991,0.5829583333333334,6.810107707977295,2,-13.787302017211914,-137.8730010986328,7.118642568588257,0.15,budgeted_collision_aware_isac,True,300,0.0,1.8002485926080969,10,1.0,188.73333333333332,0.0,0.0,gauss_markov,2.7305628188892146,648,10,300.0,300.0,300.0,2071,0.00025058586561499396,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1142,2071,86.29166666666667,20260753,20260753,629,0.0,0.0,0.0,0,0,300,-0.045957665890455246,-0.45957666635513306,900,45,929,7.2353620529174805
733,0.24433333333333335,664,0.22133333333333333,1603,0.5343333333333333,3000,isac_mappo,3.1120698937847635e-05,0.0,390,0.05569007263922518,0.052873563218390804,16.956521739130434,1,23,10.762751520823585,1.664736537348002,0.010762751520823585,0.5111111111111111,1791,0.8380907814693496,13.816000000000003,0.6006956521739132,6.803701877593994,3,-13.941899299621582,-139.41900634765625,6.989749193191528,0.15,budgeted_collision_aware_isac,True,288,0.0,2.322071749605055,10,1.0,185.9777777777778,0.0,0.0,gauss_markov,2.2461501818630225,648,10,300.0,300.0,300.0,2137,-0.000226243415305305,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1264,2137,92.91304347826087,20260754,20260754,575,0.0,0.0,0.0,0,0,300,-0.046473003923892975,-0.46473002433776855,1200,45,873,7.538704872131348
720,0.24,708,0.236,1572,0.524,3000,isac_mappo,-0.0003845262931038984,0.0,568,0.03728813559322034,0.03588907014681892,25.818181818181817,1,22,10.009099181073703,1.6060152571449429,0.010009099181073703,0.4888888888888889,1839,0.8366696997270245,13.6985,0.6226590909090909,6.803958177566528,4,-16.48699951171875,-164.8699951171875,7.008369445800781,0.15,budgeted_collision_aware_isac,True,298,0.0,1.8041504772387502,10,1.0,192.7111111111111,0.0,0.0,gauss_markov,3.005151431115961,648,10,300.0,300.0,300.0,2198,0.0003886005027844419,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1294,2198,99.9090909090909,20260755,20260755,504,0.0,0.0,0.0,0,0,300,-0.05495666339993477,-0.5495666861534119,1500,45,904,10.24181079864502
760,0.25333333333333335,706,0.23533333333333334,1534,0.5113333333333333,3000,isac_mappo,0.0002680713670948909,0.0,530,0.03636363636363636,0.034782608695652174,26.5,1,20,8.802816901408452,1.4490916007028092,0.008802816901408451,0.4444444444444444,1897,0.8349471830985915,13.801750000000002,0.6900875000000001,6.737671613693237,5,-16.914499282836914,-169.14500427246094,6.884129047393799,0.15,budgeted_collision_aware_isac,True,271,0.0,1.9449860532216872,10,1.0,200.6888888888889,0.0,0.0,gauss_markov,2.8793484787321373,648,10,300.0,300.0,300.0,2272,7.255935841588013e-05,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1320,2272,113.6,20260756,20260756,457,0.0,0.0,0.0,0,0,300,-0.05638166889548302,-0.5638166666030884,1800,45,952,10.092223644256592
729,0.243,730,0.24333333333333335,1541,0.5136666666666667,3000,isac_mappo,0.00038562161467659006,0.0,526,0.04363636363636364,0.04203152364273205,21.916666666666668,1,24,10.652463382157125,1.768770152003685,0.010652463382157125,0.5333333333333333,1901,0.8437638703950289,13.56875,0.5653645833333333,6.773071050643921,6,-16.173198699951172,-161.73199462890625,6.831851959228516,0.15,budgeted_collision_aware_isac,True,291,0.0,2.5421021182508707,10,1.0,184.37777777777777,0.0,0.0,gauss_markov,2.585375912276189,648,10,300.0,300.0,300.0,2253,0.00025272854495028696,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1379,2253,93.875,20260757,20260757,456,0.0,0.0,0.0,0,0,300,-0.05391066521406174,-0.5391066670417786,2100,45,874,8.964561939239502
781,0.26033333333333336,652,0.21733333333333332,1567,0.5223333333333333,3000,isac_mappo,-0.0001537070678314656,0.0,624,0.03852080123266564,0.03736920777279522,24.96,1,25,10.715816545220747,1.8313676653725002,0.010715816545220747,0.5555555555555556,1937,0.8302614659237034,13.651,0.54604,6.740394115447998,7,-17.432300567626953,-174.32301330566406,6.779807806015015,0.15,budgeted_collision_aware_isac,True,260,0.0,2.9999999999999982,10,1.0,184.95555555555555,0.0,0.0,gauss_markov,2.5831981209303434,648,10,300.0,300.0,300.0,2333,7.817252810582431e-05,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1427,2333,93.32,20260758,20260758,407,0.0,0.0,0.0,0,0,300,-0.05810767039656639,-0.5810766816139221,2400,45,906,10.21662950515747
725,0.24166666666666667,718,0.23933333333333334,1557,0.519,3000,isac_mappo,-9.614070023722388e-05,0.0,648,0.03857566765578635,0.03751803751803752,24.923076923076923,1,26,10.965837199493883,1.9229346941794248,0.010965837199493884,0.5777777777777777,1970,0.8308730493462674,13.520999999999999,0.5200384615384614,6.73206901550293,8,-17.57149887084961,-175.71499633789062,6.71026611328125,0.15,budgeted_collision_aware_isac,True,260,0.0,2.893370800546047,10,1.0,171.51111111111112,0.0,0.0,gauss_markov,2.633344444610805,648,10,300.0,300.0,300.0,2371,-0.00011212094601731337,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1492,2371,91.1923076923077,20260759,20260759,369,0.0,0.0,0.0,0,0,300,-0.05857166647911072,-0.5857166647911072,2700,45,879,10.83850383758545
798,0.266,721,0.24033333333333334,1481,0.49366666666666664,3000,isac_mappo,8.543725901588584e-05,0.0,622,0.043076923076923075,0.041979010494752625,22.214285714285715,1,28,11.844331641285956,2.094554159186116,0.011844331641285956,0.6222222222222222,1927,0.8151438240270727,13.368,0.4774285714285714,6.724535703659058,9,-17.108400344848633,-171.08399963378906,6.6309192180633545,0.15,budgeted_collision_aware_isac,True,280,0.0,3.327176298999051,10,1.0,167.4,0.0,0.0,gauss_markov,2.246106337390503,648,10,300.0,300.0,300.0,2364,-0.00026942070573454657,isac_structured_marl,train_n10_b10_balgate_bc0p15_budgeted_100ep_300slot_seed20260751,1511,2364,84.42857142857143,20260760,20260760,356,0.0,0.0,0.0,0,0,300,-0.05702799931168556,-0.5702800154685974,3000,45,853,9.513458251953125
