action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,paired_with_marl_eval_seed,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1837,0.9185,8.952,8.952,wang2025_isac_tables,0,0,1.0,0.0,1,0.1,0,200.0,0.9047824620647957,0.6148351438413268,paired_common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,8.103656827616101,10,200.0,200.0,200.0,2026084001,984,uniform_trx_idle_random,1,1016,2000,2000.0,2026084001,2026084001,0,0.8355048859934854,0.010315684812329107,0.16449511400651465,8046,614,200,45,984
wang2025_isac_tables,0,0,1.0,0.044444444444444446,0.0,8,2,1.0,0.22031284423881908,0.001,0.044444444444444446,1667,0.8335,9.078000000000001,4.539000000000001,wang2025_isac_tables,0,0,0.6,0.0,2,0.2,0,197.62222222222223,0.8993140795501751,-0.3933567989402664,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,8.103656827616101,10,200.0,200.0,200.0,2026084001,1026,wang2025_isac_tables,1,974,2000,1000.0,2026084001,2026084001,0,0.847864768683274,0.008608815426997245,0.152135231316726,8712,1124,200,45,1026
budgeted_collision_aware_isac,0,0,1.0,0.022222222222222223,0.0,9,1,0.5045408678102926,0.1328285847114299,0.0005045408678102926,0.022222222222222223,1584,0.7991927346115035,7.5285,7.5285,wang2025_isac_tables,0,18,0.8,0.0,2,0.2,0,196.64444444444445,0.9112252518443978,0.48170081883796684,paired_common_env_action_policy,Budgeted ISAC rule,gauss_markov,8.103656827616101,10,200.0,200.0,200.0,2026084001,526,budgeted_collision_aware_isac,1,1456,1982,1982.0,2026084001,2026084001,0,0.8383333333333334,0.009453072248480757,0.16166666666666665,4443,600,200,45,526
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1872,0.936,8.916,8.916,wang2025_isac_tables,0,0,1.0,0.0,1,0.1,0,200.0,0.8718591635542068,-1.4183244617589879,paired_common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.851100278166674,10,200.0,200.0,200.0,2026084002,972,uniform_trx_idle_random,1,1028,2000,2000.0,2026084002,2026084002,0,0.8218694885361552,0.009346974864216243,0.1781305114638448,7917,567,200,45,972
wang2025_isac_tables,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11122233344455568,0.0005,0.022222222222222223,1619,0.8095,8.991,8.991,wang2025_isac_tables,0,0,0.8,0.0,2,0.2,0,196.57777777777778,0.8557813072427702,-1.9756315960969144,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.851100278166674,10,200.0,200.0,200.0,2026084002,997,wang2025_isac_tables,1,1003,2000,2000.0,2026084002,2026084002,0,0.8199853049228508,0.00843585237258348,0.18001469507714915,8535,1361,200,45,997
budgeted_collision_aware_isac,0,0,1.0,0.044444444444444446,0.0,8,2,1.0116337885685383,0.26393058625581467,0.0010116337885685382,0.044444444444444446,1493,0.7551846231664138,7.577750000000001,3.7888750000000004,wang2025_isac_tables,0,23,0.7,0.0,3,0.3,0,195.77777777777777,0.8628041171093089,-2.16107441918314,paired_common_env_action_policy,Budgeted ISAC rule,gauss_markov,7.851100278166674,10,200.0,200.0,200.0,2026084002,547,budgeted_collision_aware_isac,1,1430,1977,988.5,2026084002,2026084002,0,0.7984234234234234,0.008222643896268185,0.20157657657657657,4743,888,200,45,547
uniform_trx_idle_random,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11215791834903543,0.0005,0.022222222222222223,1857,0.9285,8.916,8.916,wang2025_isac_tables,0,0,0.8,0.0,2,0.2,0,195.7111111111111,0.9247930273807867,0.9538329425388419,paired_common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,6.8019318790311205,10,200.0,200.0,200.0,2026084003,972,uniform_trx_idle_random,1,1028,2000,2000.0,2026084003,2026084003,0,0.8457792207792207,0.01038500506585613,0.15422077922077923,7896,616,200,45,972
wang2025_isac_tables,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11144544745347151,0.0005,0.022222222222222223,1641,0.8205,8.973,8.973,wang2025_isac_tables,0,0,0.8,0.0,2,0.2,0,196.0888888888889,0.9259154556077134,0.13429940913006763,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.8019318790311205,10,200.0,200.0,200.0,2026084003,991,wang2025_isac_tables,1,1009,2000,2000.0,2026084003,2026084003,0,0.8677290836653386,0.009396288466055908,0.13227091633466134,8514,1255,200,45,991
budgeted_collision_aware_isac,0,0,1.0,0.06666666666666667,0.0,7,3,1.5189873417721518,0.4032122576526327,0.0015189873417721519,0.06666666666666667,1587,0.8035443037974683,7.440249999999999,2.480083333333333,wang2025_isac_tables,0,25,0.5,0.0,3,0.3,0,195.11111111111111,0.916399095953923,0.5309738248030917,paired_common_env_action_policy,Budgeted ISAC rule,gauss_markov,6.8019318790311205,10,200.0,200.0,200.0,2026084003,503,budgeted_collision_aware_isac,1,1472,1975,658.3333333333334,2026084003,2026084003,0,0.8469860896445132,0.009484154522322461,0.15301391035548687,4323,647,200,45,503
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1845,0.9225,9.018,9.018,wang2025_isac_tables,0,0,1.0,0.0,1,0.1,0,200.0,0.8771333156345916,-0.6068675909010889,paired_common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,6.496741349304104,10,200.0,200.0,200.0,2026084004,1006,uniform_trx_idle_random,1,994,2000,2000.0,2026084004,2026084004,0,0.8422619047619048,0.009269423100378095,0.15773809523809523,8199,672,200,45,1006
