method,training_seed,probe_samples_per_condition,occupied_beam_action_probability,empty_beam_action_probability,action_probability_contrast,occupied_head_probability,empty_head_probability,head_probability_contrast
learned_beam_no_isac,39260711,512,0.12404599162982777,0.12404599162982777,0.0,,,
learned_beam_no_isac,39261720,512,0.12860688619548455,0.12860688619548455,0.0,,,
learned_beam_no_isac,39262729,512,0.12043737039493863,0.12043737039493863,0.0,,,
learned_beam_direct_isac,39260711,512,0.3403223364875885,0.3059133078058949,0.0344090286816936,,,
learned_beam_direct_isac,39261720,512,0.1475735315325437,0.124049722966447,0.023523808566096704,,,
learned_beam_direct_isac,39262729,512,0.3878636120498413,0.0319447089532332,0.3559189030966081,,,
learned_beam_direct_isac_measurement_aux,39260711,512,0.41047382407123223,0.04097149018343771,0.3695023338877945,0.7314202226698399,0.0027303254028083757,0.7286898972670315
learned_beam_direct_isac_measurement_aux,39261720,512,0.6427716821199283,0.027294952025840757,0.6154767300940875,0.9983027577400208,0.183702993861516,0.8145997638785047
learned_beam_direct_isac_measurement_aux,39262729,512,0.65492326579988,0.031343805752840126,0.6235794600470399,0.9890079498291016,0.02704368156264536,0.9619642682664562
learned_beam_residual_isac_measurement_aux,39260711,512,0.14486654774373164,0.02376775466473191,0.12109879307899973,0.9478005319833755,0.014225570106646046,0.9335749618767295
learned_beam_residual_isac_measurement_aux,39261720,512,0.42017761392344255,0.02375058671896113,0.3964270272044814,0.9957606121897697,0.03383695942466147,0.9619236527651083
learned_beam_residual_isac_measurement_aux,39262729,512,0.37657097331248224,0.025049338590179104,0.35152163472230313,0.992556743323803,0.0003945348253182601,0.9921622084984847
