method,training_seed,episode_start,episode_end,training_step_end,discovery_rate,bilateral_alignment_per_active_pair_slot,aligned_opportunity_per_bilateral_alignment,tx_ratio,episode_return_mean_per_agent,measurement_prediction_aux_loss,measurement_prediction_sample_count,max_rollout_replay_logprob_error
learned_beam_no_isac,39260711,1,125,2000,0.2,0.015812431842966195,0.8620689655172413,0.4535,0.40439998733997345,0.0,0.0,0.0
learned_beam_no_isac,39260711,126,250,4000,0.184,0.017405951712521055,0.7419354838709677,0.4785,0.39599997919797897,0.0,0.0,0.0
learned_beam_no_isac,39260711,251,375,6000,0.192,0.016958424507658644,0.7741935483870968,0.62175,0.39199997487664223,0.0,0.0,0.0
learned_beam_no_isac,39260711,376,500,8000,0.088,0.009399477806788513,0.6111111111111112,0.56425,0.16479998832941056,0.0,0.0,0.0
learned_beam_no_isac,39260711,501,625,10000,0.232,0.020138089758342925,0.8285714285714286,0.52875,0.5019999704360962,0.0,0.0,0.0
learned_beam_no_isac,39261720,1,125,2000,0.104,0.007890583903208837,0.8666666666666667,0.43625,0.1999999918937683,0.0,0.0,0.0
learned_beam_no_isac,39261720,126,250,4000,0.136,0.009963293130571578,0.8947368421052632,0.6375,0.2567999871969223,0.0,0.0,0.0
learned_beam_no_isac,39261720,251,375,6000,0.096,0.007205352547606794,0.8571428571428571,0.7085,0.1683999882042408,0.0,0.0,0.0
learned_beam_no_isac,39261720,376,500,8000,0.176,0.013245033112582781,0.9166666666666666,0.57275,0.368799978941679,0.0,0.0,0.0
learned_beam_no_isac,39261720,501,625,10000,0.112,0.0112,0.6666666666666666,0.49825,0.22519999024271964,0.0,0.0,0.0
learned_beam_no_isac,39262729,1,125,2000,0.168,0.0120415982484948,0.9545454545454546,0.386,0.3479999783039093,0.0,0.0,0.0
learned_beam_no_isac,39262729,126,250,4000,0.104,0.007349081364829396,0.9285714285714286,0.2945,0.19839999914169312,0.0,0.0,0.0
learned_beam_no_isac,39262729,251,375,6000,0.176,0.013844515441959531,0.8461538461538461,0.6115,0.34239999648928643,0.0,0.0,0.0
learned_beam_no_isac,39262729,376,500,8000,0.256,0.02067777139574957,0.8888888888888888,0.51975,0.5451999639570713,0.0,0.0,0.0
learned_beam_no_isac,39262729,501,625,10000,0.2,0.016574585635359115,0.8333333333333334,0.485,0.41399997055530546,0.0,0.0,0.0
learned_beam_direct_isac,39260711,1,125,2000,0.216,0.01932633903920486,0.7714285714285715,0.7655,0.4431999779343605,0.0,0.0,0.0
learned_beam_direct_isac,39260711,126,250,4000,0.064,0.004168837936425221,1.0,0.3245,0.11879998794198036,0.0,0.0,0.0
learned_beam_direct_isac,39260711,251,375,6000,0.072,0.005649717514124294,0.8181818181818182,0.2155,0.12239998781681061,0.0,0.0,0.0
learned_beam_direct_isac,39260711,376,500,8000,0.088,0.006852925672113864,0.8461538461538461,0.20525,0.17199998909235,0.0,0.0,0.0
learned_beam_direct_isac,39260711,501,625,10000,0.12,0.008497079129049389,0.9375,0.19975,0.23679998821020126,0.0,0.0,0.0
learned_beam_direct_isac,39261720,1,125,2000,0.208,0.01560758082497213,0.9285714285714286,0.54675,0.43519997081160544,0.0,0.0,0.0
learned_beam_direct_isac,39261720,126,250,4000,0.144,0.012378902045209902,0.782608695652174,0.65225,0.2911999805867672,0.0,0.0,0.0
learned_beam_direct_isac,39261720,251,375,6000,0.152,0.010810810810810811,0.95,0.6525,0.3091999858021736,0.0,0.0,0.0
learned_beam_direct_isac,39261720,376,500,8000,0.08,0.007280291211648466,0.7142857142857143,0.77775,0.14679998883605003,0.0,0.0,0.0
learned_beam_direct_isac,39261720,501,625,10000,0.112,0.008429926238145416,0.875,0.77925,0.21599998185038566,0.0,0.0,0.0
learned_beam_direct_isac,39262729,1,125,2000,0.336,0.030393325387365912,0.8235294117647058,0.58875,0.7183999672830105,0.0,0.0,0.0
learned_beam_direct_isac,39262729,126,250,4000,0.752,0.0783744557329463,0.8703703703703703,0.593,1.607999968022108,0.0,0.0,0.0
learned_beam_direct_isac,39262729,251,375,6000,0.76,0.09808429118773947,0.7421875,0.6075,1.6519999522566795,0.0,0.0,0.0
learned_beam_direct_isac,39262729,376,500,8000,0.816,0.11320754716981132,0.7391304347826086,0.58325,1.789999902933836,0.0,0.0,0.0
learned_beam_direct_isac,39262729,501,625,10000,0.688,0.08160237388724036,0.7818181818181819,0.53975,1.5015999171435832,0.0,0.0,0.0
learned_beam_direct_isac_measurement_aux,39260711,1,125,2000,0.248,0.021034678794769755,0.8378378378378378,0.60025,0.5231999606490135,0.23604707488417626,19.208,0.0
learned_beam_direct_isac_measurement_aux,39260711,126,250,4000,0.44,0.04049079754601227,0.8333333333333334,0.41625,0.929999961078167,0.024728551881760354,13.32,0.0
learned_beam_direct_isac_measurement_aux,39260711,251,375,6000,0.624,0.06028833551769332,0.8478260869565217,0.49725,1.3119999513328076,0.020137962625920776,15.912,0.0
learned_beam_direct_isac_measurement_aux,39260711,376,500,8000,0.752,0.08088235294117647,0.8545454545454545,0.55275,1.6151999363601208,0.004634617125988005,17.688,0.0
learned_beam_direct_isac_measurement_aux,39260711,501,625,10000,0.792,0.08928571428571429,0.825,0.6395,1.6955999448895454,0.006333051651157437,20.464,0.0
learned_beam_direct_isac_measurement_aux,39261720,1,125,2000,0.2,0.018538713195201745,0.7352941176470589,0.439,0.40439998543262484,0.2820325251579285,14.048,0.0
learned_beam_direct_isac_measurement_aux,39261720,126,250,4000,0.432,0.04091456077015644,0.7941176470588235,0.5135,0.9023999821841717,0.023391081263869996,16.432,0.0
learned_beam_direct_isac_measurement_aux,39261720,251,375,6000,0.664,0.07053941908713693,0.8137254901960784,0.56725,1.4179999468922615,0.004843383771181107,18.152,0.0
learned_beam_direct_isac_measurement_aux,39261720,376,500,8000,0.84,0.10981697171381032,0.7954545454545454,0.60675,1.8411999193429947,0.008955563266947866,19.416,0.0
