beamwidth_az_deg,beamwidth_el_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,episode,finite_time_discovery_rate,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,mean_sensing_pd,mean_sensing_snr_db,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
24.0,25.714285714285715,0,2620,0.05278380332610268,0.05195729537366548,17.945205479452056,1,146,12.61448073267669,7.460589182145687,0.01261448073267669,0.7684210526315789,3054,0.263867288750648,19.569499999999998,0.1340376712328767,0,0.7684210526315789,142,0.0,11.080001089817305,20,1.0,99.11578947368422,99.11578947368422,0.885110576233231,-1.0190711111846598,"Ours: ISAC rule, no table exchange",gauss_markov,7.90849544383782,20,200.0,200.0,200.0,200.0,200.0,200.0,3858,improved_rl_isac,3,1807,11574,79.27397260273973,20260708,20274930,0,0.8489011927953792,0.007037598126979755,0.1510988072046208,72610,29259,200,190,2051
24.0,25.714285714285715,0,2634,0.05285868392664509,0.052053824362606235,17.918367346938776,1,147,12.737197816480375,7.528327251776455,0.012737197816480375,0.7736842105263158,3091,0.26782774456286285,19.52625,0.13283163265306122,1,0.7736842105263158,153,0.0,11.44689064491757,20,1.0,94.03157894736842,94.03157894736842,0.8873307976184114,-0.8468633307442018,"Ours: ISAC rule, no table exchange",gauss_markov,6.985947921126828,20,200.0,200.0,200.0,200.0,200.0,200.0,3847,improved_rl_isac,3,1797,11541,78.51020408163265,20261717,20275939,0,0.8488450008816787,0.007207684479080986,0.15115499911832128,71729,28355,200,190,2050
24.0,25.714285714285715,0,3152,0.04223640230932847,0.04159186116098145,22.676258992805757,1,139,12.050281751192024,7.14551927105422,0.012050281751192025,0.7315789473684211,3309,0.2868660598179454,19.45275,0.13994784172661873,2,0.7315789473684211,155,0.0,10.824739679545322,20,1.0,99.78947368421052,99.78947368421052,0.8204509506593503,-2.573472691478347,"Ours: ISAC rule, no table exchange",gauss_markov,7.0945802004439615,20,200.0,200.0,200.0,200.0,200.0,200.0,3845,improved_rl_isac,3,1828,11535,82.98561151079137,20262726,20276948,0,0.8086193772880496,0.006688559748006166,0.19138062271195042,74605,27589,200,190,2017
24.0,25.714285714285715,0,2612,0.05567606652205351,0.054960742326909354,16.961038961038962,1,154,13.336797436563609,7.90808139161692,0.013336797436563609,0.8105263157894737,2960,0.2563436390404434,19.47375,0.12645292207792208,0,0.8105263157894737,151,0.0,11.516004643742244,20,1.0,90.48947368421052,90.48947368421052,0.8853911250575708,-0.9698368318995672,Ours: ISAC rule + table exchange,gauss_markov,7.90849544383782,20,200.0,200.0,200.0,200.0,200.0,200.0,3849,improved_rl_isac_tables,3,1829,11547,74.98051948051948,20260708,20289571,0,0.8484364604125083,0.006896274672594339,0.1515635395874917,74678,30060,200,190,2020
24.0,25.714285714285715,0,2756,0.05454545454545454,0.0539714867617108,17.333333333333332,1,159,13.751946030098598,8.123642866266445,0.013751946030098598,0.8368421052631579,3002,0.2596436602663899,19.5725,0.12309748427672956,1,0.8368421052631579,146,0.0,13.562119422388434,20,1.0,90.02105263157895,90.02105263157895,0.886541450231348,-0.8468860448876417,Ours: ISAC rule + table exchange,gauss_markov,6.985947921126828,20,200.0,200.0,200.0,200.0,200.0,200.0,3854,improved_rl_isac_tables,3,1794,11562,72.71698113207547,20261717,20290580,0,0.8469231554240229,0.006590515563549482,0.15307684457597714,74501,29397,200,190,2060
24.0,25.714285714285715,0,3117,0.04357164774470697,0.04293921983671001,21.950704225352112,1,142,12.316766415127072,7.285320336048226,0.012316766415127071,0.7473684210526316,3119,0.27053517217451645,19.49125,0.13726232394366197,2,0.7473684210526316,157,0.0,8.64914445470789,20,1.0,91.79473684210527,91.79473684210527,0.8208912531071452,-2.470964703102777,Ours: ISAC rule + table exchange,gauss_markov,7.0945802004439615,20,200.0,200.0,200.0,200.0,200.0,200.0,3843,improved_rl_isac_tables,3,1803,11529,81.19014084507042,20262726,20291589,0,0.805626334274499,0.006995082792354452,0.194373665725501,77483,29042,200,190,2040
24.0,25.714285714285715,1,11017,0.04116623150565709,0.038637477536350266,23.291754756871036,1,473,16.374147540416104,9.69764068498557,0.016374147540416103,0.38612244897959186,3766,0.13037006265794301,48.774750000000004,0.1031178646934461,0,0.38612244897959186,371,0.0,10.472204977422257,50,1.0,156.90367346938777,156.90367346938777,0.9014656184245958,0.5634640770825644,"Ours: ISAC rule, no table exchange",gauss_markov,7.5408451796792955,50,200.0,200.0,200.0,200.0,200.0,200.0,9629,improved_rl_isac,3,4546,28887,61.07188160676533,20360711,20374933,0,0.9032664997419676,0.004482321370646693,0.09673350025803246,169555,104638,200,1225,5083
24.0,25.714285714285715,1,10565,0.044150909255405775,0.04139100932994063,21.649590163934427,1,488,16.914491698727947,10.03955130611888,0.016914491698727947,0.3983673469387755,4199,0.1455408824650792,48.607749999999996,0.0996060450819672,1,0.3983673469387755,383,0.0,11.99417567546272,50,1.0,156.24244897959184,156.24244897959184,0.908833976986319,0.3693987596479509,"Ours: ISAC rule, no table exchange",gauss_markov,8.063073887306064,50,200.0,200.0,200.0,200.0,200.0,200.0,9617,improved_rl_isac,3,4595,28851,59.12090163934426,20361720,20375942,0,0.906765943671091,0.00414276983828507,0.09323405632890903,170176,105026,200,1225,5022
24.0,25.714285714285715,1,10213,0.04782770837217975,0.044850498338870434,19.908382066276804,1,513,17.714700093235262,10.488491793726329,0.017714700093235263,0.41877551020408166,3821,0.13194516385234298,48.91075,0.09534259259259259,2,0.41877551020408166,347,0.0,12.326915415753978,50,1.0,152.09224489795918,152.09224489795918,0.872989859197531,-1.2896798451326268,"Ours: ISAC rule, no table exchange",gauss_markov,7.606563164722586,50,200.0,200.0,200.0,200.0,200.0,200.0,9653,improved_rl_isac,3,4547,28959,56.45029239766082,20362729,20376951,0,0.8808736178378872,0.004440076313811644,0.11912638216211277,172970,109430,200,1225,5106
24.0,25.714285714285715,1,11693,0.041950020483408436,0.039634618361975536,22.837890625,1,512,17.67650612808562,10.485303679583865,0.01767650612808562,0.4179591836734694,3708,0.12801657172449507,48.83025,0.09537158203125,0,0.4179591836734694,345,0.0,11.016562331331844,50,1.0,152.34204081632652,152.34204081632652,0.901059018286732,0.49026446700748877,Ours: ISAC rule + table exchange,gauss_markov,7.5408451796792955,50,200.0,200.0,200.0,200.0,200.0,200.0,9655,improved_rl_isac_tables,3,4593,28965,56.572265625,20360711,20389574,0,0.9024318322137137,0.0043032644656779955,0.09756816778628627,172892,108519,200,1225,5062
