training_seed,arm,method,evaluation_episodes,discovery_rate_mean,discovery_rate_sd_across_scenarios,mean_delay_censored_mean,mean_delay_censored_sd_across_scenarios,neighbor_knowledge_recall_mean,neighbor_knowledge_recall_sd_across_scenarios,aligned_handshake_opportunities_mean,aligned_handshake_opportunities_sd_across_scenarios,step_reward_mean_mean,step_reward_mean_sd_across_scenarios,tx_ratio_mean,tx_ratio_sd_across_scenarios
29260711,A,Rule beam + random role,20,0.5211111111111111,0.08172124921401666,215.2822222222222,17.07429182120247,0.8433333333333334,0.1015090812058284,29.45,4.817457289571139,0.028406746592372654,0.0044891416267043545,0.4987166666666667,0.007981905706875415
29260711,B,Learned beam + random role,20,0.5077777777777778,0.08354553877995215,214.14000000000001,18.121980880498096,0.8005555555555557,0.09862439165986985,30.4,5.245549492063173,0.027906034141778946,0.004736669254253837,0.4974833333333333,0.008763610967688058
29260711,C,Rule beam + learned role,20,0.5255555555555554,0.08354553877995216,217.70999999999998,16.006000296266418,0.8394444444444444,0.09622335669144713,32.8,7.931283827848727,0.02836688859388232,0.0045139910445917385,0.5614666666666668,0.012521046609095206
29260711,D,Learned beam + learned role,20,0.5344444444444445,0.09685771267288694,210.52555555555554,20.64537200718698,0.8127777777777778,0.16251255761945166,33.2,10.817140394567756,0.02926385700702667,0.0055100704753373595,0.5478833333333333,0.010691459673099854
29261711,A,Rule beam + random role,20,0.5211111111111111,0.08172124921401666,215.2822222222222,17.07429182120247,0.8433333333333334,0.1015090812058284,29.45,4.817457289571139,0.028406746592372654,0.0044891416267043545,0.4987166666666667,0.007981905706875415
29261711,B,Learned beam + random role,20,0.5077777777777778,0.06539727149437034,211.92333333333335,13.79167281791115,0.8072222222222223,0.07717182502894171,31.05,6.295152688253165,0.02807767326012254,0.0035786481206922186,0.4974833333333333,0.008763610967688058
29261711,C,Rule beam + learned role,20,0.49111111111111116,0.05293221479612271,219.68222222222226,16.298243885038424,0.8355555555555556,0.10078315813796723,27.7,4.437875262116463,0.026850976422429083,0.003385835012252697,0.37628333333333336,0.0315598892296398
29261711,D,Learned beam + learned role,20,0.46111111111111114,0.07625919346147329,215.0077777777778,20.607890103135837,0.7794444444444444,0.14111203204562037,28.4,6.227274473509343,0.025920232851058246,0.004569149010979681,0.3681,0.03837108743412405
29262711,A,Rule beam + random role,20,0.5211111111111111,0.08172124921401666,215.2822222222222,17.07429182120247,0.8433333333333334,0.1015090812058284,29.45,4.817457289571139,0.028406746592372654,0.0044891416267043545,0.4987166666666667,0.007981905706875415
29262711,B,Learned beam + random role,20,0.5255555555555554,0.06044023033125476,209.84333333333333,16.33709623679473,0.8233333333333335,0.09604931590136499,34.45,10.404831873499422,0.028950361255556344,0.0035197988052942867,0.4974833333333333,0.008763610967688058
29262711,C,Rule beam + learned role,20,0.5111111111111112,0.08028539088528897,219.6955555555556,16.40874598405773,0.8138888888888889,0.10980962911272373,31.25,7.1441916046681255,0.027618307480588557,0.004476944315569203,0.5526,0.004470304881212716
29262711,D,Learned beam + learned role,20,0.5044444444444445,0.06492861076926143,210.74666666666667,14.586786547433153,0.8244444444444445,0.08558175341285648,32.25,6.281761402328926,0.02801021821796894,0.003543675683451815,0.5494999999999999,0.004699757365890876
