angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,communication_range_m,communication_range_to_diagonal_ratio,delay_slots,discovery_slot,edge_i,edge_j,elevation_cells,episode,false_alarm_rate,first_true_slot,isac_error_sweep_enabled,miss_detection_rate,node_count,protocol,range_mode,range_sweep_enabled,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slot_duration_ms,train_beamwidth_deg,train_node_count
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,480,479,62,78,18,0,0.01,0,False,0.05,100,uniform_random,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,561,560,68,93,18,0,0.01,0,False,0.05,100,uniform_random,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,72,71,51,66,18,0,0.01,0,False,0.05,100,skyorbs_like_skip_scan,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,160,159,13,18,18,0,0.01,0,False,0.05,100,skyorbs_like_skip_scan,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,274,273,19,68,18,0,0.01,0,False,0.05,100,skyorbs_like_skip_scan,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,240,239,34,47,18,0,0.01,0,False,0.05,100,rl_no_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,326,325,2,58,18,0,0.01,0,False,0.05,100,rl_no_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,339,338,35,47,18,0,0.01,0,False,0.05,100,rl_no_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,152,151,32,59,18,0,0.01,0,False,0.05,100,improved_rl_no_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,223,222,68,99,18,0,0.01,0,False,0.05,100,improved_rl_no_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,410,409,21,52,18,0,0.01,0,False,0.05,100,improved_rl_no_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,479,478,24,77,18,0,0.01,0,False,0.05,100,improved_rl_no_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,6,5,46,98,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,7,6,4,24,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,7,6,21,40,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,8,7,13,88,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,9,8,32,86,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,10,9,0,95,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,10,9,14,77,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,11,10,0,8,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,11,10,37,48,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,13,12,21,83,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,14,13,30,76,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,14,13,74,77,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,17,16,2,77,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,18,17,33,42,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
0.5,1749.7405506677237,density,36,20293731,648,10.0,0,1837.22757820111,1.05,19,18,33,48,18,0,0.01,0,False,0.05,100,improved_rl_isac,singlehop,False,1837.22757820111,1.05,1.0,100.0,10.0,10
