beamwidth_deg,treatment,control,metric,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,delta_ci95,positive_pairs,negative_pairs,zero_pairs
10.0,collision_aware_isac,ablation_isac_one_slot_delay,collision_count,5,836.4,670.6,165.8,100.29307054826869,87.91075237989946,4,1,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,collision_penalized_discovery_rate,5,0.31622813963078905,0.26219433581849516,0.05403380381229393,0.005755023514918326,0.005044500526255122,5,0,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,discovery_rate,5,0.3697373737373737,0.29773737373737375,0.072,0.00961093992851687,0.00842436028306963,5,0,0
10.0,collision_aware_isac,ablation_isac_one_slot_delay,lambda2,5,13.663572884574716,9.477315769218757,4.186257115355958,4.9180029315489024,4.310819636446744,4,1,0
10.0,collision_aware_isac,improved_rl_isac,collision_count,5,836.4,1064.4,-228.0,99.32774033471213,87.0646031404267,0,5,0
10.0,collision_aware_isac,improved_rl_isac,collision_penalized_discovery_rate,5,0.31622813963078905,0.29951165452826,0.016716485102529,0.006175861959725027,0.005413381687347289,5,0,0
10.0,collision_aware_isac,improved_rl_isac,discovery_rate,5,0.3697373737373737,0.36391919191919186,0.005818181818181822,0.010861662707136293,0.009520667135437807,4,1,0
10.0,collision_aware_isac,improved_rl_isac,lambda2,5,13.663572884574716,13.135895800953827,0.5276770836208897,2.927437127199105,2.5660117791793673,3,2,0
10.0,collision_aware_isac,improved_rl_no_isac,collision_count,5,836.4,0.0,836.4,110.7262389860687,97.0558277281689,5,0,0
10.0,collision_aware_isac,improved_rl_no_isac,collision_penalized_discovery_rate,5,0.31622813963078905,0.0006060606060606,0.31562207902472844,0.00591612878061076,0.0051857155178987304,5,0,0
10.0,collision_aware_isac,improved_rl_no_isac,discovery_rate,5,0.3697373737373737,0.0006060606060606,0.3691313131313131,0.012959560531219045,0.011359555656080994,5,0,0
10.0,collision_aware_isac,improved_rl_no_isac,lambda2,5,13.663572884574716,0.0,13.663572884574716,4.468485815899035,3.91680051201079,5,0,0
10.0,collision_aware_isac,uniform_random,collision_count,5,836.4,0.0,836.4,110.7262389860687,97.0558277281689,5,0,0
10.0,collision_aware_isac,uniform_random,collision_penalized_discovery_rate,5,0.31622813963078905,0.0004444444444444399,0.3157836951863446,0.005807010952343383,0.005090069524326032,5,0,0
10.0,collision_aware_isac,uniform_random,discovery_rate,5,0.3697373737373737,0.0004444444444444399,0.3692929292929293,0.012885025227557152,0.011294222581842053,5,0,0
10.0,collision_aware_isac,uniform_random,lambda2,5,13.663572884574716,0.0,13.663572884574716,4.468485815899035,3.91680051201079,5,0,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,collision_count,5,6314.6,6510.8,-196.2,214.74682768320469,188.2338938236151,1,4,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,collision_penalized_discovery_rate,5,0.2504312360188031,0.22069241583938073,0.029738820179422355,0.005863001799965,0.005139147666154743,5,0,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,discovery_rate,5,0.5695757575757576,0.5107070707070707,0.05886868686868687,0.013136440335466699,0.011514597640409682,5,0,0
15.0,collision_aware_isac,ablation_isac_one_slot_delay,lambda2,5,27.346198106159044,23.01237447899308,4.333823627165962,5.09293364295841,4.464153165575853,4,1,0
15.0,collision_aware_isac,improved_rl_isac,collision_count,5,6314.6,8256.2,-1941.6,150.828710794729,132.20719411590278,0,5,0
15.0,collision_aware_isac,improved_rl_isac,collision_penalized_discovery_rate,5,0.2504312360188031,0.20422096629000439,0.04621026972879867,0.0029407845483793104,0.0025777113096840053,5,0,0
15.0,collision_aware_isac,improved_rl_isac,discovery_rate,5,0.5695757575757576,0.5444848484848486,0.025090909090909098,0.01568254605575048,0.013746357704044277,5,0,0
15.0,collision_aware_isac,improved_rl_isac,lambda2,5,27.346198106159044,26.852577255970157,0.4936208501888871,2.8065020340274582,2.460007496214115,3,2,0
15.0,collision_aware_isac,improved_rl_no_isac,collision_count,5,6314.6,0.0,6314.6,432.2901803187299,378.9190498457421,5,0,0
15.0,collision_aware_isac,improved_rl_no_isac,collision_penalized_discovery_rate,5,0.2504312360188031,0.0033939393939393598,0.24703729662486368,0.005619867535145532,0.004926031086586802,5,0,0
15.0,collision_aware_isac,improved_rl_no_isac,discovery_rate,5,0.5695757575757576,0.0033939393939393598,0.5661818181818182,0.013378863188107621,0.011727090639709052,5,0,0
15.0,collision_aware_isac,improved_rl_no_isac,lambda2,5,27.346198106159044,-4.1812100077822326e-16,27.346198106159044,2.2067657467622555,1.9343154623099676,5,0,0
15.0,collision_aware_isac,uniform_random,collision_count,5,6314.6,0.0,6314.6,432.2901803187299,378.9190498457421,5,0,0
15.0,collision_aware_isac,uniform_random,collision_penalized_discovery_rate,5,0.2504312360188031,0.0025858585858585595,0.2478453774329445,0.005409602265242548,0.0047417254513571205,5,0,0
15.0,collision_aware_isac,uniform_random,discovery_rate,5,0.5695757575757576,0.0025858585858585595,0.5669898989898989,0.012136858588376426,0.010638425608069435,5,0,0
15.0,collision_aware_isac,uniform_random,lambda2,5,27.346198106159044,-2.943051281124713e-16,27.346198106159044,2.2067657467622555,1.9343154623099676,5,0,0
