power_profile,control,metric,beamwidth_deg,n_pairs,treatment_mean,control_mean,delta_mean,delta_std,delta_ci95,positive_pairs,negative_pairs,zero_pairs
default,ablation_isac_one_slot_delay,discoveries_per_joule,10.0,10,6.541668603615785,5.001528439424999,1.540140164190786,0.21022117914303295,0.13029643674566052,10,0,0
idle_x4,ablation_isac_one_slot_delay,discoveries_per_joule,10.0,10,6.501555519908837,4.972984270819398,1.528571249089439,0.20868067017496464,0.12934161939503824,10,0,0
rx_x2,ablation_isac_one_slot_delay,discoveries_per_joule,10.0,10,4.743836307308944,3.8998891598512038,0.843947147457739,0.1549921719895613,0.09606514346477872,10,0,0
sense_half,ablation_isac_one_slot_delay,discoveries_per_joule,10.0,10,7.30273476811193,5.550268452127207,1.7524663159847234,0.23438363846810245,0.14527248419198582,10,0,0
sense_x2,ablation_isac_one_slot_delay,discoveries_per_joule,10.0,10,5.41334741384337,4.175823789823765,1.237523624019605,0.17429570897946944,0.10802959964672113,10,0,0
tx_x2,ablation_isac_one_slot_delay,discoveries_per_joule,10.0,10,4.637752135495723,3.2950976426151923,1.3426544928805302,0.14706333586120246,0.09115079991824908,10,0,0
default,ablation_isac_one_slot_delay,energy_j,10.0,10,276.9319,292.13542500000005,-15.203525000000019,0.3336848448677942,0.20682000957058666,0,10,0
idle_x4,ablation_isac_one_slot_delay,energy_j,10.0,10,278.64040000000006,293.81190000000004,-15.171499999999986,0.3186737272579057,0.19751602248369218,0,10,0
rx_x2,ablation_isac_one_slot_delay,energy_j,10.0,10,381.8863,374.652825,7.233474999999993,0.20487616347711884,0.12698356171348074,10,0,0
sense_half,ablation_isac_one_slot_delay,energy_j,10.0,10,248.07090000000002,263.253075,-15.182175000000015,0.32356360035117626,0.20054679722669816,0,10,0
sense_x2,ablation_isac_one_slot_delay,energy_j,10.0,10,334.6539,349.900125,-15.246225000000033,0.35515480681747646,0.22012722985406316,0,10,0
tx_x2,ablation_isac_one_slot_delay,energy_j,10.0,10,390.6179,443.429925,-52.812025000000006,0.9991020096538668,0.61924984121012,0,10,0
default,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,10.0,10,0.15301332699759596,0.2001720304840285,-0.047158703486432585,0.006951393239548218,0.004308518167499891,0,10,0
idle_x4,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,10.0,10,0.15395728037842302,0.2013205404437143,-0.04736326006529128,0.0069808278674222575,0.004326761938867533,0,10,0
rx_x2,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,10.0,10,0.21100501040545588,0.2567098963061422,-0.045704885900686366,0.00892571109063092,0.005532213049471783,0,10,0
sense_half,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,10.0,10,0.13706667715238258,0.18038193845245556,-0.04331526130007296,0.006264598838059409,0.003882838587280363,0,10,0
sense_x2,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,10.0,10,0.18490662668802266,0.2397522145471745,-0.054845587859151834,0.008325476214365843,0.005160183618818653,0,10,0
tx_x2,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,10.0,10,0.21582701976996285,0.3038431744295687,-0.08801615465960586,0.010591109664223225,0.0065644377795630385,0,10,0
default,improved_rl_isac,discoveries_per_joule,10.0,10,6.541668603615785,6.193163019788815,0.34850558382696945,0.18420740313369605,0.11417293133039427,10,0,0
idle_x4,improved_rl_isac,discoveries_per_joule,10.0,10,6.501555519908837,6.1571707954869375,0.3443847244218989,0.18314213515810882,0.11351267139862098,10,0,0
rx_x2,improved_rl_isac,discoveries_per_joule,10.0,10,4.743836307308944,4.827418618538198,-0.08358231122925401,0.1369923020655509,0.0849087085016383,4,6,0
sense_half,improved_rl_isac,discoveries_per_joule,10.0,10,7.30273476811193,6.872804005996777,0.42993076211515346,0.2052532805223551,0.12721730127973493,10,0,0
sense_x2,improved_rl_isac,discoveries_per_joule,10.0,10,5.41334741384337,5.17054808203012,0.24279933181325078,0.15287020726822076,0.09474993610452243,10,0,0
tx_x2,improved_rl_isac,discoveries_per_joule,10.0,10,4.637752135495723,4.081542034955106,0.5562101005406168,0.12783950715141154,0.07923574744016151,10,0,0
default,improved_rl_isac,energy_j,10.0,10,276.9319,291.872225,-14.940325000000007,0.4965088962221904,0.30773940215726536,0,10,0
idle_x4,improved_rl_isac,energy_j,10.0,10,278.64040000000006,293.5781,-14.937699999999984,0.44022419793150747,0.2728537847305324,0,10,0
rx_x2,improved_rl_isac,energy_j,10.0,10,381.8863,374.446325,7.439974999999999,0.5634643147775876,0.34923880052495676,10,0,0
sense_half,improved_rl_isac,energy_j,10.0,10,248.07090000000002,263.00947499999995,-14.938575,0.45868277663689666,0.2842945303419207,0,10,0
sense_x2,improved_rl_isac,energy_j,10.0,10,334.6539,349.597725,-14.943825000000015,0.5749503366234002,0.3563579106212517,0,10,0
tx_x2,improved_rl_isac,energy_j,10.0,10,390.6179,442.8762250000001,-52.25832500000003,1.1001703280376274,0.6818926339437672,0,10,0
default,improved_rl_isac,energy_per_discovery_censored_j,10.0,10,0.15301332699759596,0.16156248995201922,-0.0085491629544233,0.0043686554488954745,0.002707720700078944,0,10,0
idle_x4,improved_rl_isac,energy_per_discovery_censored_j,10.0,10,0.15395728037842302,0.16250664394701808,-0.008549363568595068,0.004395665070973274,0.002724461437282163,0,10,0
rx_x2,improved_rl_isac,energy_per_discovery_censored_j,10.0,10,0.21100501040545588,0.20727010754328665,0.0037349028621692175,0.00597392137658647,0.003702674830105218,6,4,0
sense_half,improved_rl_isac,energy_per_discovery_censored_j,10.0,10,0.13706667715238258,0.14558586353414163,-0.008519186381759056,0.003917195244005191,0.002427902766084546,0,10,0
sense_x2,improved_rl_isac,energy_per_discovery_censored_j,10.0,10,0.18490662668802266,0.19351574278777445,-0.008609116099751813,0.005271972512155711,0.0032676024164415077,0,10,0
tx_x2,improved_rl_isac,energy_per_discovery_censored_j,10.0,10,0.21582701976996285,0.24514939147868292,-0.02932237170872004,0.006257407024750693,0.003878381055210161,0,10,0
default,ablation_isac_one_slot_delay,discoveries_per_joule,15.0,10,10.156378847952954,8.670301284102077,1.4860775638508767,0.2090716016357413,0.12958392122475218,10,0,0
idle_x4,ablation_isac_one_slot_delay,discoveries_per_joule,15.0,10,10.092019503345288,8.61911957728839,1.4728999260568942,0.20823347360167285,0.12906444408728707,10,0,0
rx_x2,ablation_isac_one_slot_delay,discoveries_per_joule,15.0,10,7.313296021005942,6.754639909670925,0.5586561113350184,0.15142017695780244,0.09385119800691068,10,0,0
sense_half,ablation_isac_one_slot_delay,discoveries_per_joule,15.0,10,11.344788434817001,9.622168234231204,1.7226202005857991,0.23351514572754742,0.1447341868144566,10,0,0
sense_x2,ablation_isac_one_slot_delay,discoveries_per_joule,15.0,10,8.39711904058628,7.238227266262197,1.158891774324082,0.1728954877497014,0.1071617335371401,10,0,0
tx_x2,ablation_isac_one_slot_delay,discoveries_per_joule,15.0,10,7.256586886144643,5.717072295524288,1.5395145906203567,0.14956843884828874,0.09270347883589596,10,0,0
default,ablation_isac_one_slot_delay,energy_j,15.0,10,275.21805,291.59574999999995,-16.377699999999983,0.25716479800572567,0.1593923931601831,0,10,0
idle_x4,ablation_isac_one_slot_delay,energy_j,15.0,10,276.9732,293.32719999999995,-16.353999999999992,0.23995832971581,0.14872771362459833,0,10,0
rx_x2,ablation_isac_one_slot_delay,energy_j,15.0,10,382.20675000000006,374.29045,7.916300000000007,0.29486024938376726,0.182756275981601,10,0,0
sense_half,ablation_isac_one_slot_delay,energy_j,15.0,10,246.38815000000005,262.75005,-16.361899999999988,0.24539999094448808,0.15210049019717833,0,10,0
sense_x2,ablation_isac_one_slot_delay,energy_j,15.0,10,332.87785,349.28715,-16.409299999999973,0.28368989329116223,0.17583281754615798,0,10,0
tx_x2,ablation_isac_one_slot_delay,energy_j,15.0,10,385.20255,442.22825,-57.02570000000003,0.7363897745080218,0.4564191108882169,0,10,0
default,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,15.0,10,0.09849032881583508,0.1153832114530976,-0.01689288263726252,0.0024578057986839206,0.0015233638165612507,0,10,0
idle_x4,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,15.0,10,0.09911844736258577,0.11606830883237125,-0.016949861469785492,0.0024771798553960673,0.0015353719813198715,0,10,0
rx_x2,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,15.0,10,0.13677630844017727,0.14810366402593175,-0.011327355585754475,0.0031220157142353936,0.0019350453873729573,0,10,0
sense_half,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,15.0,10,0.08817325028390623,0.10396917139405074,-0.01579592111014451,0.002216993763468381,0.0013741069707859414,0,10,0
sense_x2,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,15.0,10,0.11912448587969279,0.13821129157119136,-0.01908680569149855,0.0029395643540975225,0.0018219608627676176,0,10,0
tx_x2,ablation_isac_one_slot_delay,energy_per_discovery_censored_j,15.0,10,0.13785114809455337,0.1749895244221761,-0.03713837632762277,0.0037756770028662045,0.0023401888514823586,0,10,0
default,improved_rl_isac,discoveries_per_joule,15.0,10,10.156378847952954,9.204469602544801,0.951909245408155,0.21049047442319135,0.1304633476895535,10,0,0
idle_x4,improved_rl_isac,discoveries_per_joule,15.0,10,10.092019503345288,9.14971400370703,0.9423054996382565,0.20912555481030407,0.1296173617488007,10,0,0
rx_x2,improved_rl_isac,discoveries_per_joule,15.0,10,7.313296021005942,7.171599900815542,0.14169612019040095,0.15370779885852515,0.09526908075069787,8,2,0
sense_half,improved_rl_isac,discoveries_per_joule,15.0,10,11.344788434817001,10.214873867081526,1.1299145677354783,0.23500998322707706,0.14566069669560414,10,0,0
sense_x2,improved_rl_isac,discoveries_per_joule,15.0,10,8.39711904058628,7.684287223160531,0.7128318174257491,0.1741855779768644,0.10796133974411208,10,0,0
tx_x2,improved_rl_isac,discoveries_per_joule,15.0,10,7.256586886144643,6.0686996925405925,1.1878871936040523,0.1505586659725777,0.09331722796616777,10,0,0
default,improved_rl_isac,energy_j,15.0,10,275.21805,291.532475,-16.314424999999993,0.33099586792485836,0.2051533643943773,0,10,0
idle_x4,improved_rl_isac,energy_j,15.0,10,276.9732,293.27689999999996,-16.303700000000003,0.30378759026661023,0.18828949918675134,0,10,0
rx_x2,improved_rl_isac,energy_j,15.0,10,382.20675000000006,374.17287500000003,8.033875000000018,0.46643268315662695,0.28909797216804506,10,0,0
sense_half,improved_rl_isac,energy_j,15.0,10,246.38815000000005,262.695425,-16.30727499999999,0.3123067280112671,0.19356971546562118,0,10,0
sense_x2,improved_rl_isac,energy_j,15.0,10,332.87785,349.20657500000004,-16.328724999999984,0.37377287090931327,0.23166682553209006,0,10,0
tx_x2,improved_rl_isac,energy_j,15.0,10,385.20255,442.16897499999993,-56.966424999999994,0.9186454328248941,0.5693823382482233,0,10,0
default,improved_rl_isac,energy_per_discovery_censored_j,15.0,10,0.09849032881583508,0.1086538765423666,-0.010163547726531523,0.002101833423842874,0.001302729852796253,0,10,0
idle_x4,improved_rl_isac,energy_per_discovery_censored_j,15.0,10,0.09911844736258577,0.1093039507972706,-0.010185503434684821,0.0021136840277766306,0.0013100749332117807,0,10,0
rx_x2,improved_rl_isac,energy_per_discovery_censored_j,15.0,10,0.13677630844017727,0.13945466435879178,-0.0026783559186144695,0.0028548135554132504,0.0017694317735249202,2,8,0
sense_half,improved_rl_isac,energy_per_discovery_censored_j,15.0,10,0.08817325028390623,0.0979062895700042,-0.009733039286097991,0.0018854545822022317,0.0011686168572938036,0,10,0
sense_x2,improved_rl_isac,energy_per_discovery_censored_j,15.0,10,0.11912448587969279,0.13014905048709138,-0.011024564607398589,0.0025347012002034527,0.0015710240801986499,0,10,0
tx_x2,improved_rl_isac,energy_per_discovery_censored_j,15.0,10,0.13785114809455337,0.16479509990528196,-0.026943951810728596,0.003023927962487257,0.0018742499689794597,0,10,0
