protocol,beamwidth_deg,slots,slot_duration_ms,n,discovery_rate_mean,discovery_rate_std,collision_penalized_discovery_rate_mean,lambda2_mean,mean_delay_censored_mean,true_edges_seen_mean,duration_s,discovery_rate_ci95,horizon_label,source
collision_aware_isac,10.0,600,5.0,10,0.36597979797979796,0.011917936360281179,0.3147029162822376,12.932241686790974,477.32860606060603,4950.0,3.0,0.007386813485855421,600 slots,06_analysis\paper_tables\round13_collision_energy_10seed
collision_aware_isac,10.0,3000,5.0,10,0.7717979797979797,0.007683970865964878,0.3919391726921542,48.2809822066875,1350.2239393939394,4950.0,15.0,0.00476257448452178,3000 slots,round15_long_horizon
improved_rl_isac,10.0,600,5.0,10,0.36517171717171715,0.009205266514643587,0.29911403868346936,13.259542885306468,477.62284848484853,4950.0,3.0,0.005705483296410077,600 slots,06_analysis\paper_tables\round13_collision_energy_10seed
improved_rl_isac,10.0,3000,5.0,10,0.7734747474747474,0.008473644465233921,0.33241121019645564,48.759374653471596,1348.1245050505051,4950.0,15.0,0.005252019252153258,3000 slots,round15_long_horizon
improved_rl_no_isac,10.0,600,5.0,10,0.00058585858585858,0.00022232422921507087,0.00058585858585858,0.0,599.8161818181818,4950.0,3.0,0.00013779798489875066,600 slots,06_analysis\paper_tables\round13_collision_energy_10seed
improved_rl_no_isac,10.0,3000,5.0,10,0.0034343434343434,0.0007437953546927374,0.0034343434343434,-4.125152079124469e-16,2994.8636161616164,4950.0,15.0,0.0004610091370408444,3000 slots,round15_long_horizon
uniform_random,10.0,600,5.0,10,0.00048484848484848,0.0001043227837362257,0.00048484848484848,0.0,599.8599191919192,4950.0,3.0,6.465993125730615e-05,600 slots,06_analysis\paper_tables\round13_collision_energy_10seed
uniform_random,10.0,3000,5.0,10,0.00248484848484846,0.0005557085800882843,0.00248484848484846,-1.676616846837496e-16,2996.3316565656564,4950.0,15.0,0.0003444317463619061,3000 slots,round15_long_horizon
collision_aware_isac,15.0,600,5.0,10,0.5646868686868687,0.010278044570036405,0.2479374234380502,27.765230308809322,397.843797979798,4950.0,3.0,0.0063703980238720434,600 slots,06_analysis\paper_tables\round13_collision_energy_10seed
collision_aware_isac,15.0,3000,5.0,10,0.8829494949494949,0.0048645450433327485,0.10925784667576033,67.78751122666117,885.0537373737374,4950.0,15.0,0.003015076255013138,3000 slots,round15_long_horizon
improved_rl_isac,15.0,600,5.0,10,0.5421010101010101,0.005735539771062506,0.20173425551323176,27.045252709710127,408.5351111111111,4950.0,3.0,0.0035549243802594915,600 slots,06_analysis\paper_tables\round13_collision_energy_10seed
improved_rl_isac,15.0,3000,5.0,10,0.8808080808080808,0.005042867401171464,0.08176974742511157,67.80128521517,918.2270505050504,4950.0,15.0,0.003125601597479514,3000 slots,round15_long_horizon
improved_rl_no_isac,15.0,600,5.0,10,0.0035353535353535,0.0007205701871728109,0.0035353535353535,-3.4005091612201684e-16,598.9177777777778,4950.0,3.0,0.0004466140290740658,600 slots,06_analysis\paper_tables\round13_collision_energy_10seed
improved_rl_no_isac,15.0,3000,5.0,10,0.01684848484848478,0.0015243268758971878,0.016847187545895082,-1.104888963128099e-15,2973.7334545454546,4950.0,15.0,0.0009447875859830111,3000 slots,round15_long_horizon
uniform_random,15.0,600,5.0,10,0.00268686868686866,0.0008413467043305225,0.00268686868686866,-3.492015896290756e-16,599.1463434343434,4950.0,3.0,0.0005214720899618976,600 slots,06_analysis\paper_tables\round13_collision_energy_10seed
uniform_random,15.0,3000,5.0,10,0.01248484848484846,0.001440510917938942,0.01248484848484846,-1.2867835817576244e-15,2980.996303030303,4950.0,15.0,0.0008928379170252843,3000 slots,round15_long_horizon
