protocol,beamwidth_deg,slots,slot_duration_ms,n,discovery_rate_mean,discovery_rate_std,collision_penalized_discovery_rate_mean,lambda2_mean,mean_delay_censored_mean,true_edges_seen_mean,duration_s,discovery_rate_ci95
collision_aware_isac,10.0,3000,5.0,10,0.7717979797979797,0.007683970865964878,0.3919391726921542,48.2809822066875,1350.2239393939394,4950.0,15.0,0.00476257448452178
improved_rl_isac,10.0,3000,5.0,10,0.7734747474747474,0.008473644465233921,0.33241121019645564,48.759374653471596,1348.1245050505051,4950.0,15.0,0.005252019252153258
improved_rl_no_isac,10.0,3000,5.0,10,0.0034343434343434,0.0007437953546927374,0.0034343434343434,-4.125152079124469e-16,2994.8636161616164,4950.0,15.0,0.0004610091370408444
skyorbs_like_skip_scan,10.0,3000,5.0,10,0.00359595959595956,0.0006374227375730162,0.00359595959595956,-3.8748252299716743e-16,2994.5524040404043,4950.0,15.0,0.000395078705889662
uniform_random,10.0,3000,5.0,10,0.00248484848484846,0.0005557085800882843,0.00248484848484846,-1.676616846837496e-16,2996.3316565656564,4950.0,15.0,0.0003444317463619061
collision_aware_isac,15.0,3000,5.0,10,0.8829494949494949,0.0048645450433327485,0.10925784667576033,67.78751122666117,885.0537373737374,4950.0,15.0,0.003015076255013138
improved_rl_isac,15.0,3000,5.0,10,0.8808080808080808,0.005042867401171464,0.08176974742511157,67.80128521517,918.2270505050504,4950.0,15.0,0.003125601597479514
improved_rl_no_isac,15.0,3000,5.0,10,0.01684848484848478,0.0015243268758971878,0.016847187545895082,-1.104888963128099e-15,2973.7334545454546,4950.0,15.0,0.0009447875859830111
skyorbs_like_skip_scan,15.0,3000,5.0,10,0.01787878787878783,0.002611978768110373,0.01787800460175254,-1.0557134139180843e-15,2973.2200808080806,4950.0,15.0,0.0016189212130169929
uniform_random,15.0,3000,5.0,10,0.01248484848484846,0.001440510917938942,0.01248484848484846,-1.2867835817576244e-15,2980.996303030303,4950.0,15.0,0.0008928379170252843
