angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discovery_rate,elevation_cells,empty_scan_ratio,episode,false_alarm_rate,finite_time_discovery_rate,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,protocol,range_mode,range_sweep_enabled,scenario_seed,seed,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slots,train_beamwidth_deg,train_node_count,true_edges_seen
0.0,815.56096023333,density,36,20290704,648,10.0,0,0,856.3390082449965,1.05,96,4,0.0008080808080808081,18,0.9010757080610022,0,0.0,0.0008080808080808081,True,0.93,0.0,3,0.03,599.7082828282828,599.7082828282828,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20290704,20310583,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,0,1024,856.3390082449965,1.05,1,1804,0.36444444444444446,18,0.5064694368905133,0,0.0,0.36444444444444446,True,0.0,10.791232168390762,100,1.0,479.7319191919192,479.7319191919192,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20290704,20304926,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.5,815.56096023333,density,36,20290704,648,10.0,1,0,856.3390082449965,1.05,96,4,0.0008080808080808081,18,0.9010757080610022,0,0.01,0.0008080808080808081,True,0.93,0.0,3,0.03,599.7082828282828,599.7082828282828,0.05,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20290704,20310583,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.5,815.56096023333,density,36,20290704,648,10.0,1,667,856.3390082449965,1.05,1,1597,0.32262626262626265,18,0.5593041553545799,0,0.01,0.32262626262626265,True,0.0,12.488146044041711,100,1.0,497.500404040404,497.500404040404,0.05,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20290704,20304926,856.3390082449965,1.05,1.0,600,10.0,10,4950
1.0,815.56096023333,density,36,20290704,648,10.0,2,0,856.3390082449965,1.05,96,4,0.0008080808080808081,18,0.9010757080610022,0,0.05,0.0008080808080808081,True,0.93,0.0,3,0.03,599.7082828282828,599.7082828282828,0.15,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20290704,20310583,856.3390082449965,1.05,1.0,600,10.0,10,4950
1.0,815.56096023333,density,36,20290704,648,10.0,2,358,856.3390082449965,1.05,1,1358,0.27434343434343433,18,0.6034124731778224,0,0.05,0.27434343434343433,True,0.0,9.545093670427338,100,1.0,515.109494949495,515.109494949495,0.15,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20290704,20304926,856.3390082449965,1.05,1.0,600,10.0,10,4950
1.5,815.56096023333,density,36,20290704,648,10.0,3,0,856.3390082449965,1.05,96,4,0.0008080808080808081,18,0.9010757080610022,0,0.1,0.0008080808080808081,True,0.93,0.0,3,0.03,599.7082828282828,599.7082828282828,0.3,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20290704,20310583,856.3390082449965,1.05,1.0,600,10.0,10,4950
1.5,815.56096023333,density,36,20290704,648,10.0,3,370,856.3390082449965,1.05,1,1390,0.2808080808080808,18,0.6222691914554495,0,0.1,0.2808080808080808,True,0.0,13.878175818926215,100,1.0,509.6537373737374,509.6537373737374,0.3,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20290704,20304926,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.0,815.56096023333,density,36,20291713,648,10.0,4,0,856.3390082449965,1.05,98,2,0.00040404040404040404,18,0.9014206720544449,0,0.0,0.00040404040404040404,True,0.97,0.0,3,0.03,599.909494949495,599.909494949495,0.0,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20291713,20311592,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.0,815.56096023333,density,36,20291713,648,10.0,4,1073,856.3390082449965,1.05,1,1833,0.3703030303030303,18,0.4903026944656092,0,0.0,0.3703030303030303,True,0.0,15.406698065090632,100,1.0,472.68585858585857,472.68585858585857,0.0,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20291713,20305935,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.5,815.56096023333,density,36,20291713,648,10.0,5,0,856.3390082449965,1.05,98,2,0.00040404040404040404,18,0.9014206720544449,0,0.01,0.00040404040404040404,True,0.97,0.0,3,0.03,599.909494949495,599.909494949495,0.05,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20291713,20311592,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.5,815.56096023333,density,36,20291713,648,10.0,5,750,856.3390082449965,1.05,1,1705,0.34444444444444444,18,0.5444874943785243,0,0.01,0.34444444444444444,True,0.0,15.042355351712061,100,1.0,488.07838383838384,488.07838383838384,0.05,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20291713,20305935,856.3390082449965,1.05,1.0,600,10.0,10,4950
1.0,815.56096023333,density,36,20291713,648,10.0,6,0,856.3390082449965,1.05,98,2,0.00040404040404040404,18,0.9014206720544449,0,0.05,0.00040404040404040404,True,0.97,0.0,3,0.03,599.909494949495,599.909494949495,0.15,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20291713,20311592,856.3390082449965,1.05,1.0,600,10.0,10,4950
1.0,815.56096023333,density,36,20291713,648,10.0,6,402,856.3390082449965,1.05,1,1499,0.30282828282828284,18,0.5845528455284553,0,0.05,0.30282828282828284,True,0.0,13.316038102367475,100,1.0,505.9032323232323,505.9032323232323,0.15,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20291713,20305935,856.3390082449965,1.05,1.0,600,10.0,10,4950
1.5,815.56096023333,density,36,20291713,648,10.0,7,0,856.3390082449965,1.05,98,2,0.00040404040404040404,18,0.9014206720544449,0,0.1,0.00040404040404040404,True,0.97,0.0,3,0.03,599.909494949495,599.909494949495,0.3,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20291713,20311592,856.3390082449965,1.05,1.0,600,10.0,10,4950
1.5,815.56096023333,density,36,20291713,648,10.0,7,386,856.3390082449965,1.05,1,1501,0.30323232323232324,18,0.6002494759273055,0,0.1,0.30323232323232324,True,0.0,11.633155400051786,100,1.0,501.8818181818182,501.8818181818182,0.3,gauss_markov,3.9580639242601303,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20291713,20305935,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.0,815.56096023333,density,36,20292722,648,10.0,8,0,856.3390082449965,1.05,96,4,0.0008080808080808081,18,0.9007710244583256,0,0.0,0.0008080808080808081,True,0.92,0.0,2,0.02,599.7141414141414,599.7141414141414,0.0,gauss_markov,3.8656371092945854,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20292722,20312601,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.0,815.56096023333,density,36,20292722,648,10.0,8,1053,856.3390082449965,1.05,1,1790,0.3616161616161616,18,0.4989668883371243,0,0.0,0.3616161616161616,True,0.0,12.568693688541982,100,1.0,481.5410101010101,481.5410101010101,0.0,gauss_markov,3.8656371092945854,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20292722,20306944,856.3390082449965,1.05,1.0,600,10.0,10,4950
0.5,815.56096023333,density,36,20292722,648,10.0,9,0,856.3390082449965,1.05,96,4,0.0008080808080808081,18,0.9007710244583256,0,0.01,0.0008080808080808081,True,0.92,0.0,2,0.02,599.7141414141414,599.7141414141414,0.05,gauss_markov,3.8656371092945854,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20292722,20312601,856.3390082449965,1.05,1.0,600,10.0,10,4950
