angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discovery_rate,elevation_cells,empty_scan_ratio,episode,false_alarm_rate,finite_time_discovery_rate,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,protocol,range_mode,range_sweep_enabled,scenario_seed,seed,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slots,train_beamwidth_deg,train_node_count,true_edges_seen
0.0,647.3111631092913,density,36,20290704,648,10.0,0,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.0,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.0,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,0,206,679.6767212647559,1.05,1,463,0.37795918367346937,18,0.6264424320827943,0,0.0,0.37795918367346937,True,0.0,7.413808332166518,50,1.0,314.35755102040815,314.35755102040815,0.0,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,1,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.0,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.02,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,1,187,679.6767212647559,1.05,1,467,0.3812244897959184,18,0.6323635987162232,0,0.0,0.3812244897959184,True,0.0,8.747032564103808,50,1.0,314.72163265306125,314.72163265306125,0.02,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,2,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.0,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.05,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,2,165,679.6767212647559,1.05,1,429,0.35020408163265304,18,0.6398590527515805,0,0.0,0.35020408163265304,True,0.0,7.378401129127239,50,1.0,323.1608163265306,323.1608163265306,0.05,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,3,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.005,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.0,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,3,235,679.6767212647559,1.05,1,462,0.37714285714285717,18,0.6353191931794552,0,0.005,0.37714285714285717,True,0.0,9.211916624730117,50,1.0,316.0073469387755,316.0073469387755,0.0,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,4,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.005,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.02,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,4,259,679.6767212647559,1.05,1,453,0.36979591836734693,18,0.6279431594232964,0,0.005,0.36979591836734693,True,0.0,8.51531443705046,50,1.0,315.59020408163263,315.59020408163263,0.02,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,5,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.005,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.05,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,5,194,679.6767212647559,1.05,1,454,0.3706122448979592,18,0.6480136915257754,0,0.005,0.3706122448979592,True,0.0,7.492238528388775,50,1.0,320.92408163265304,320.92408163265304,0.05,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,6,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.01,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.0,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,6,239,679.6767212647559,1.05,1,476,0.38857142857142857,18,0.6402306014334683,0,0.01,0.38857142857142857,True,0.0,7.507883713462284,50,1.0,311.61224489795916,311.61224489795916,0.0,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,7,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.01,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.02,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,7,217,679.6767212647559,1.05,1,440,0.35918367346938773,18,0.646900826446281,0,0.01,0.35918367346938773,True,0.0,8.269878204484964,50,1.0,321.8791836734694,321.8791836734694,0.02,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,8,0,679.6767212647559,1.05,50,0,0.0,18,0.9391246616618151,0,0.01,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.05,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20290704,648,10.0,8,203,679.6767212647559,1.05,1,426,0.34775510204081633,18,0.6528346905959853,0,0.01,0.34775510204081633,True,0.0,4.686698759620473,50,1.0,325.4865306122449,325.4865306122449,0.05,gauss_markov,3.1176394762977684,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,815.56096023333,density,36,20290704,648,10.0,9,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.0,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.0,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,9,706,856.3390082449965,1.05,1,1348,0.2723232323232323,18,0.5004413979332191,0,0.0,0.2723232323232323,True,0.0,6.803240787282121,100,1.0,343.8941414141414,343.8941414141414,0.0,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,10,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.0,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.02,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,10,731,856.3390082449965,1.05,1,1347,0.2721212121212121,18,0.5137188796680497,0,0.0,0.2721212121212121,True,0.0,6.722312672267746,100,1.0,342.9638383838384,342.9638383838384,0.02,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,11,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.0,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.05,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,11,573,856.3390082449965,1.05,1,1285,0.2595959595959596,18,0.5153901958752203,0,0.0,0.2595959595959596,True,0.0,7.685534904266797,100,1.0,346.2383838383838,346.2383838383838,0.05,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,12,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.005,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.0,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,12,601,856.3390082449965,1.05,1,1290,0.2606060606060606,18,0.5079047792113393,0,0.005,0.2606060606060606,True,0.0,3.9050850215562534,100,1.0,346.4569696969697,346.4569696969697,0.0,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,13,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.005,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.02,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,13,700,856.3390082449965,1.05,1,1295,0.26161616161616164,18,0.5097627926248187,0,0.005,0.26161616161616164,True,0.0,4.77288123023623,100,1.0,345.47777777777776,345.47777777777776,0.02,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,14,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.005,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.05,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,14,605,856.3390082449965,1.05,1,1283,0.2591919191919192,18,0.5034774484870504,0,0.005,0.2591919191919192,True,0.0,7.535133398674532,100,1.0,345.5953535353535,345.5953535353535,0.05,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,15,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.01,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.0,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,15,658,856.3390082449965,1.05,1,1245,0.2515151515151515,18,0.5172279591095429,0,0.01,0.2515151515151515,True,0.0,6.7535143749791455,100,1.0,348.1290909090909,348.1290909090909,0.0,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,16,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.01,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.02,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,16,626,856.3390082449965,1.05,1,1242,0.2509090909090909,18,0.5203458931678309,0,0.01,0.2509090909090909,True,0.0,6.76662457152851,100,1.0,348.4129292929293,348.4129292929293,0.02,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,17,0,856.3390082449965,1.05,97,3,0.0006060606060606061,18,0.9003396062610116,0,0.01,0.0006060606060606061,True,0.94,0.0,2,0.02,399.85636363636365,399.85636363636365,0.05,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20290704,20310583,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,815.56096023333,density,36,20290704,648,10.0,17,706,856.3390082449965,1.05,1,1289,0.2604040404040404,18,0.513071641404327,0,0.01,0.2604040404040404,True,0.0,8.512704734909631,100,1.0,346.4729292929293,346.4729292929293,0.05,gauss_markov,3.131612745534342,100,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20290704,20304926,856.3390082449965,1.05,1.0,400,10.0,10,4950
0.0,647.3111631092913,density,36,20291713,648,10.0,18,0,679.6767212647559,1.05,50,0,0.0,18,0.944376403347622,0,0.0,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.0,gauss_markov,3.3199112694182755,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20291713,20311592,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20291713,648,10.0,18,332,679.6767212647559,1.05,1,518,0.4228571428571429,18,0.6017951644702708,0,0.0,0.4228571428571429,True,0.0,9.748975126727048,50,1.0,304.9812244897959,304.9812244897959,0.0,gauss_markov,3.3199112694182755,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20291713,20305935,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20291713,648,10.0,19,0,679.6767212647559,1.05,50,0,0.0,18,0.944376403347622,0,0.0,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.02,gauss_markov,3.3199112694182755,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20291713,20311592,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20291713,648,10.0,19,296,679.6767212647559,1.05,1,504,0.4114285714285714,18,0.6032693305656461,0,0.0,0.4114285714285714,True,0.0,11.777080597982575,50,1.0,309.4089795918367,309.4089795918367,0.02,gauss_markov,3.3199112694182755,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20291713,20305935,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20291713,648,10.0,20,0,679.6767212647559,1.05,50,0,0.0,18,0.944376403347622,0,0.0,0.0,True,1.0,0.0,1,0.02,400.0,400.0,0.05,gauss_markov,3.3199112694182755,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_no_isac,singlehop,False,20291713,20311592,679.6767212647559,1.05,1.0,400,10.0,10,1225
0.0,647.3111631092913,density,36,20291713,648,10.0,20,327,679.6767212647559,1.05,1,490,0.4,18,0.6096068056852371,0,0.0,0.4,True,0.0,9.34032895687001,50,1.0,305.8432653061225,305.8432653061225,0.05,gauss_markov,3.3199112694182755,50,400.0,400.0,400.0,400.0,400.0,400.0,improved_rl_isac,singlehop,False,20291713,20305935,679.6767212647559,1.05,1.0,400,10.0,10,1225
