angular_cell_offset_std,area_diagonal_m_max,area_diagonal_m_mean,area_diagonal_m_min,area_diagonal_m_std,area_scale,azimuth_cells,base_seed_max,base_seed_mean,base_seed_min,base_seed_std,beam_count,beamwidth_deg,case_id_max,case_id_mean,case_id_min,case_id_std,collision_count_max,collision_count_mean,collision_count_min,collision_count_std,communication_range_m_max,communication_range_m_mean,communication_range_m_min,communication_range_m_std,communication_range_to_diagonal_ratio,connected_components_max,connected_components_mean,connected_components_min,connected_components_std,discovered_edges_max,discovered_edges_mean,discovered_edges_min,discovered_edges_std,discovery_rate_max,discovery_rate_mean,discovery_rate_min,discovery_rate_std,elevation_cells,empty_scan_ratio_max,empty_scan_ratio_mean,empty_scan_ratio_min,empty_scan_ratio_std,false_alarm_rate,finite_time_discovery_rate_max,finite_time_discovery_rate_mean,finite_time_discovery_rate_min,finite_time_discovery_rate_std,isac_error_sweep_enabled_max,isac_error_sweep_enabled_mean,isac_error_sweep_enabled_min,isac_error_sweep_enabled_std,isolated_node_ratio_max,isolated_node_ratio_mean,isolated_node_ratio_min,isolated_node_ratio_std,lambda2_max,lambda2_mean,lambda2_min,lambda2_std,largest_component_size_max,largest_component_size_mean,largest_component_size_min,largest_component_size_std,lcc_ratio_max,lcc_ratio_mean,lcc_ratio_min,lcc_ratio_std,mean_delay_censored_max,mean_delay_censored_mean,mean_delay_censored_min,mean_delay_censored_std,mean_discovery_delay_max,mean_discovery_delay_mean,mean_discovery_delay_min,mean_discovery_delay_std,miss_detection_rate,mobility_model,moved_distance_mean_m_max,moved_distance_mean_m_mean,moved_distance_mean_m_min,moved_distance_mean_m_std,n_episodes,node_count,p90_delay_censored_max,p90_delay_censored_mean,p90_delay_censored_min,p90_delay_censored_std,p90_discovery_delay_max,p90_discovery_delay_mean,p90_discovery_delay_min,p90_discovery_delay_std,p95_delay_censored_max,p95_delay_censored_mean,p95_delay_censored_min,p95_delay_censored_std,p95_discovery_delay_max,p95_discovery_delay_mean,p95_discovery_delay_min,p95_discovery_delay_std,p99_delay_censored_max,p99_delay_censored_mean,p99_delay_censored_min,p99_delay_censored_std,p99_discovery_delay_max,p99_discovery_delay_mean,p99_discovery_delay_min,p99_discovery_delay_std,protocol,range_mode,range_sweep_enabled,sensing_range_m_max,sensing_range_m_mean,sensing_range_m_min,sensing_range_m_std,sensing_range_to_diagonal_ratio_max,sensing_range_to_diagonal_ratio_mean,sensing_range_to_diagonal_ratio_min,sensing_range_to_diagonal_ratio_std,sensing_to_comm_range_ratio,slots_max,slots_mean,slots_min,slots_std,train_beamwidth_deg_max,train_beamwidth_deg_mean,train_beamwidth_deg_min,train_beamwidth_deg_std,train_node_count_max,train_node_count_mean,train_node_count_min,train_node_count_std,true_edges_seen_max,true_edges_seen_mean,true_edges_seen_min,true_edges_seen_std
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,9.0,5.0,1.0,3.265986323710904,1073.0,1050.0,1024.0,20.11632835948615,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1833.0,1809.0,1790.0,17.90716802475106,0.3703030303030303,0.3654545454545455,0.3616161616161616,0.0036176097019699088,18,0.5064694368905133,0.49857967323108227,0.4903026944656092,0.006605721853668915,0.0,0.3703030303030303,0.3654545454545455,0.3616161616161616,0.0036176097019699088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.406698065090632,12.922207974007792,10.791232168390762,1.9007648676995244,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,481.5410101010101,477.98626262626266,472.68585858585857,3.820027462640161,481.5410101010101,477.98626262626266,472.68585858585857,3.820027462640161,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,improved_rl_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,24,20292722.0,20291713.0,20290704.0,823.8450501560756,288,15.0,10.0,6.0,2.0,3.265986323710904,8609.0,8285.0,7804.0,346.8842266040165,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,2702.0,2693.0,2675.0,12.727922061357855,0.5458585858585858,0.544040404040404,0.5404040404040404,0.002571297386132864,12,0.33800863399157405,0.32927091871128283,0.3237883550106795,0.006245056307655222,0.0,0.5458585858585858,0.544040404040404,0.5404040404040404,0.002571297386132864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.31266789567571,26.84126556281136,21.743589094051178,3.9315799833225697,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,407.5212121212121,406.7448484848485,405.35737373737373,0.9834096231769839,407.5212121212121,406.7448484848485,405.35737373737373,0.9834096231769839,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,improved_rl_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,12,20292722.0,20291713.0,20290704.0,823.8450501560756,72,30.0,11.0,7.0,3.0,3.265986323710904,85808.0,82742.33333333333,80904.0,2182.0577953441616,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,2350.0,2261.0,2187.0,67.38446903157038,0.47474747474747475,0.45676767676767677,0.44181818181818183,0.013613024046781892,6,0.18766695576756287,0.18151738462479008,0.17710485649297658,0.004483486298852403,0.0,0.47474747474747475,0.45676767676767677,0.44181818181818183,0.013613024046781892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.377586597625317,25.981247793431113,24.85799765969724,1.0465865692757974,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,449.01616161616164,438.6632323232323,430.21696969696967,7.792258446132566,449.01616161616164,438.6632323232323,430.21696969696967,7.792258446132566,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,improved_rl_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,72,20292722.0,20291713.0,20290704.0,823.8450501560756,2592,5.0,8.0,4.0,0.0,3.265986323710904,19.0,13.0,8.0,4.546060565661952,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,425.0,403.0,390.0,15.641824275533422,0.08585858585858586,0.08141414141414141,0.07878787878787878,0.003159964500107763,36,0.8185465893892109,0.8160881469010368,0.8121546961325967,0.002810197136753585,0.0,0.08585858585858586,0.08141414141414141,0.07878787878787878,0.003159964500107763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9216510896110051,0.8429791719672918,0.7649750652345871,0.06396446217580312,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,577.6234343434344,576.6393939393939,575.3236363636364,0.9677447661030327,577.6234343434344,576.6393939393939,575.3236363636364,0.9677447661030327,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,improved_rl_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,9.0,5.0,1.0,3.265986323710904,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,98.0,96.66666666666667,96.0,0.9428090415820634,4.0,3.3333333333333335,2.0,0.9428090415820634,0.0008080808080808081,0.0006734006734006734,0.00040404040404040404,0.00019046647304688148,18,0.9014206720544449,0.9010891348579242,0.9007710244583256,0.0002653874010355218,0.0,0.0008080808080808081,0.0006734006734006734,0.00040404040404040404,0.00019046647304688148,0.0,0.0,0.0,0.0,0.97,0.9400000000000001,0.92,0.021602468994692835,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,2.0,0.4714045207910317,0.03,0.02666666666666667,0.02,0.004714045207910316,599.909494949495,599.7773063973063,599.7082828282828,0.09350201692779538,599.909494949495,599.7773063973063,599.7082828282828,0.09350201692779538,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,improved_rl_no_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,24,20292722.0,20291713.0,20290704.0,823.8450501560756,288,15.0,10.0,6.0,2.0,3.265986323710904,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,85.0,81.33333333333333,76.0,3.858612300930075,24.0,18.666666666666668,15.0,3.858612300930075,0.0048484848484848485,0.003771043771043771,0.0030303030303030303,0.0007795176365515303,12,0.837479326865697,0.8344309835492593,0.8318442231619152,0.002323559415841279,0.0,0.0048484848484848485,0.003771043771043771,0.0030303030303030303,0.0007795176365515303,0.0,0.0,0.0,0.0,0.73,0.6733333333333333,0.58,0.06649979114420002,0.0,-5.148781885218723e-16,-8.5453046049087355e-16,3.702104521759944e-16,4.0,4.0,4.0,0.0,0.04,0.04,0.04,0.0,598.9668686868687,598.7413468013468,598.5266666666666,0.17987516470870304,598.9668686868687,598.7413468013468,598.5266666666666,0.17987516470870304,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,improved_rl_no_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,12,20292722.0,20291713.0,20290704.0,823.8450501560756,72,30.0,11.0,7.0,3.0,3.265986323710904,24.0,19.0,16.0,3.559026084010437,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,2.0,1.6666666666666667,1.0,0.4714045207910317,238.0,233.0,227.0,4.546060565661952,0.04808080808080808,0.04707070707070707,0.045858585858585856,0.0009183960738711017,6,0.6696194851347838,0.6662432817564096,0.662200257543591,0.003065368061795692,0.0,0.04808080808080808,0.04707070707070707,0.045858585858585856,0.0009183960738711017,0.0,0.0,0.0,0.0,0.01,0.006666666666666667,0.0,0.004714045207910317,0.5771243038762923,0.19237476795876682,3.286125065615604e-15,0.2720590059056594,100.0,99.33333333333333,99.0,0.4714045207910317,1.0,0.9933333333333333,0.99,0.004714045207910321,586.9787878787879,585.6917171717172,584.880606060606,0.9203241777680734,586.9787878787879,585.6917171717172,584.880606060606,0.9203241777680734,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,improved_rl_no_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,72,20292722.0,20291713.0,20290704.0,823.8450501560756,2592,5.0,8.0,4.0,0.0,3.265986323710904,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.9670681091379193,0.9666299868287647,0.9662657571066465,0.0003316999460718332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.01,0.01,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,improved_rl_no_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,9.0,5.0,1.0,3.265986323710904,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,99.0,97.0,95.0,1.632993161855452,5.0,3.0,1.0,1.632993161855452,0.00101010101010101,0.0006060606060606061,0.00020202020202020202,0.00032989760845564687,18,0.9021458909063932,0.9011783128791859,0.8998127167201321,0.0009932234628782473,0.0,0.00101010101010101,0.0006060606060606061,0.00020202020202020202,0.00032989760845564687,0.0,0.0,0.0,0.0,0.98,0.94,0.9,0.032659863237109024,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.02,0.02,0.02,0.0,599.9038383838384,599.7792592592592,599.6886868686869,0.09106732705844563,599.9038383838384,599.7792592592592,599.6886868686869,0.09106732705844563,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,rl_no_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,24,20292722.0,20291713.0,20290704.0,823.8450501560756,288,15.0,10.0,6.0,2.0,3.265986323710904,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,84.0,82.33333333333333,80.0,1.699673171197595,20.0,17.666666666666668,16.0,1.699673171197595,0.00404040404040404,0.003569023569023569,0.0032323232323232323,0.00034336831741365556,12,0.8369707833607452,0.8342573016507863,0.8323905261791271,0.0019633937545183466,0.0,0.00404040404040404,0.003569023569023569,0.0032323232323232323,0.00034336831741365556,0.0,0.0,0.0,0.0,0.73,0.71,0.69,0.016329931618554536,-5.177796335853124e-16,-6.835649764581786e-16,-8.417166772906381e-16,1.3235685711801338e-16,5.0,4.666666666666667,4.0,0.4714045207910317,0.05,0.04666666666666667,0.04,0.004714045207910318,598.9951515151515,598.8665993265994,598.78,0.09270949461455488,598.9951515151515,598.8665993265994,598.78,0.09270949461455488,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,rl_no_isac,singlehop,False,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0
