angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discovery_rate,elevation_cells,empty_scan_ratio,episode,false_alarm_rate,finite_time_discovery_rate,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,protocol,range_mode,range_sweep_enabled,scenario_seed,seed,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slots,train_beamwidth_deg,train_node_count,true_edges_seen
0.0,815.56096023333,density,36,20290704,648,10.0,0,0,530.1146241516645,0.65,97,3,0.0006422607578676942,18,0.9008938372275365,0,0.0,0.0006422607578676942,False,0.95,0.0,3,0.03,599.8407193320488,599.8407193320488,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,base,True,20290704,20301901,265.0573120758323,0.325,0.5,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,0,0,530.1146241516645,0.65,96,4,0.0008563476771569257,18,0.9019437636165577,0,0.0,0.0008563476771569257,False,0.93,0.0,3,0.03,599.6908584885464,599.6908584885464,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20290704,20310583,265.0573120758323,0.325,0.5,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,0,312,530.1146241516645,0.65,1,1262,0.2701776921430101,18,0.5965707562676263,0,0.0,0.2701776921430101,False,0.0,7.667605562812009,100,1.0,511.64975380004284,511.64975380004284,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20290704,20304926,265.0573120758323,0.325,0.5,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,1,0,530.1146241516645,0.65,97,3,0.0006422607578676942,18,0.9008938372275365,0,0.0,0.0006422607578676942,False,0.95,0.0,3,0.03,599.8407193320488,599.8407193320488,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,base,True,20290704,20301901,397.58596811374844,0.4875000000000001,0.75,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,1,0,530.1146241516645,0.65,96,4,0.0008563476771569257,18,0.9019437636165577,0,0.0,0.0008563476771569257,False,0.93,0.0,3,0.03,599.6908584885464,599.6908584885464,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20290704,20310583,397.58596811374844,0.4875000000000001,0.75,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,1,671,530.1146241516645,0.65,1,1650,0.35324341682723187,18,0.5140942618693077,0,0.0,0.35324341682723187,False,0.0,14.369833402911901,100,1.0,483.5223720830657,483.5223720830657,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20290704,20304926,397.58596811374844,0.4875000000000001,0.75,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,2,0,530.1146241516645,0.65,97,3,0.0006422607578676942,18,0.9008938372275365,0,0.0,0.0006422607578676942,False,0.95,0.0,3,0.03,599.8407193320488,599.8407193320488,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,base,True,20290704,20301901,530.1146241516645,0.65,1.0,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,2,0,530.1146241516645,0.65,96,4,0.0008563476771569257,18,0.9019437636165577,0,0.0,0.0008563476771569257,False,0.93,0.0,3,0.03,599.6908584885464,599.6908584885464,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_no_isac,base,True,20290704,20310583,530.1146241516645,0.65,1.0,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,2,715,530.1146241516645,0.65,1,1554,0.33269107257546565,18,0.511505895797621,0,0.0,0.33269107257546565,False,0.0,10.637930368260657,100,1.0,487.02012417041317,487.02012417041317,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,improved_rl_isac,base,True,20290704,20304926,530.1146241516645,0.65,1.0,600,10.0,10,4671
0.0,815.56096023333,density,36,20290704,648,10.0,3,0,530.1146241516645,0.65,97,3,0.0006422607578676942,18,0.9008938372275365,0,0.0,0.0006422607578676942,False,0.95,0.0,3,0.03,599.8407193320488,599.8407193320488,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,uniform_random,base,True,20290704,20301901,662.6432801895807,0.8125,1.25,600,10.0,10,4671
