angular_cell_offset_std,area_diagonal_m_max,area_diagonal_m_mean,area_diagonal_m_min,area_diagonal_m_std,area_scale,azimuth_cells,base_seed_max,base_seed_mean,base_seed_min,base_seed_std,beam_count,beamwidth_deg,case_id_max,case_id_mean,case_id_min,case_id_std,collision_count_max,collision_count_mean,collision_count_min,collision_count_std,collision_normalized_efficiency_max,collision_normalized_efficiency_mean,collision_normalized_efficiency_min,collision_normalized_efficiency_std,collision_penalized_discovery_rate_max,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_min,collision_penalized_discovery_rate_std,collisions_per_discovery_censored_max,collisions_per_discovery_censored_mean,collisions_per_discovery_censored_min,collisions_per_discovery_censored_std,communication_range_m_max,communication_range_m_mean,communication_range_m_min,communication_range_m_std,communication_range_to_diagonal_ratio,connected_components_max,connected_components_mean,connected_components_min,connected_components_std,discovered_edges_max,discovered_edges_mean,discovered_edges_min,discovered_edges_std,discoveries_per_1000_scan_actions_max,discoveries_per_1000_scan_actions_mean,discoveries_per_1000_scan_actions_min,discoveries_per_1000_scan_actions_std,discovery_per_scan_action_max,discovery_per_scan_action_mean,discovery_per_scan_action_min,discovery_per_scan_action_std,discovery_rate_max,discovery_rate_mean,discovery_rate_min,discovery_rate_std,elevation_cells,empty_scan_count_max,empty_scan_count_mean,empty_scan_count_min,empty_scan_count_std,empty_scan_ratio_max,empty_scan_ratio_mean,empty_scan_ratio_min,empty_scan_ratio_std,false_alarm_rate,finite_time_discovery_rate_max,finite_time_discovery_rate_mean,finite_time_discovery_rate_min,finite_time_discovery_rate_std,idle_actions_max,idle_actions_mean,idle_actions_min,idle_actions_std,isac_error_sweep_enabled_max,isac_error_sweep_enabled_mean,isac_error_sweep_enabled_min,isac_error_sweep_enabled_std,isolated_node_ratio_max,isolated_node_ratio_mean,isolated_node_ratio_min,isolated_node_ratio_std,lambda2_max,lambda2_mean,lambda2_min,lambda2_std,largest_component_size_max,largest_component_size_mean,largest_component_size_min,largest_component_size_std,lcc_ratio_max,lcc_ratio_mean,lcc_ratio_min,lcc_ratio_std,mean_delay_censored_max,mean_delay_censored_mean,mean_delay_censored_min,mean_delay_censored_std,mean_discovery_delay_max,mean_discovery_delay_mean,mean_discovery_delay_min,mean_discovery_delay_std,miss_detection_rate,mobility_model,moved_distance_mean_m_max,moved_distance_mean_m_mean,moved_distance_mean_m_min,moved_distance_mean_m_std,n_episodes,node_count,p90_delay_censored_max,p90_delay_censored_mean,p90_delay_censored_min,p90_delay_censored_std,p90_discovery_delay_max,p90_discovery_delay_mean,p90_discovery_delay_min,p90_discovery_delay_std,p95_delay_censored_max,p95_delay_censored_mean,p95_delay_censored_min,p95_delay_censored_std,p95_discovery_delay_max,p95_discovery_delay_mean,p95_discovery_delay_min,p95_discovery_delay_std,p99_delay_censored_max,p99_delay_censored_mean,p99_delay_censored_min,p99_delay_censored_std,p99_discovery_delay_max,p99_discovery_delay_mean,p99_discovery_delay_min,p99_discovery_delay_std,piggyback_sense_actions_max,piggyback_sense_actions_mean,piggyback_sense_actions_min,piggyback_sense_actions_std,protocol,range_mode,range_sweep_enabled,rx_actions_max,rx_actions_mean,rx_actions_min,rx_actions_std,scan_actions_max,scan_actions_mean,scan_actions_min,scan_actions_per_discovery_censored_max,scan_actions_per_discovery_censored_mean,scan_actions_per_discovery_censored_min,scan_actions_per_discovery_censored_std,scan_actions_std,sense_actions_max,sense_actions_mean,sense_actions_min,sense_actions_std,sensing_range_m_max,sensing_range_m_mean,sensing_range_m_min,sensing_range_m_std,sensing_range_to_diagonal_ratio_max,sensing_range_to_diagonal_ratio_mean,sensing_range_to_diagonal_ratio_min,sensing_range_to_diagonal_ratio_std,sensing_to_comm_range_ratio,slot_duration_ms,slots_max,slots_mean,slots_min,slots_std,train_beamwidth_deg_max,train_beamwidth_deg_mean,train_beamwidth_deg_min,train_beamwidth_deg_std,train_node_count_max,train_node_count_mean,train_node_count_min,train_node_count_std,true_edges_seen_max,true_edges_seen_mean,true_edges_seen_min,true_edges_seen_std,tx_actions_max,tx_actions_mean,tx_actions_min,tx_actions_std
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,8.0,4.0,0.0,3.265986323710904,782.0,733.0,669.0,47.33568069296845,0.6972850678733031,0.6834210761330723,0.6751142501038637,0.00986738257074773,0.28349616189811583,0.27799384166119523,0.27424808684819363,0.003974574576700352,0.48123076923076924,0.46352893735501605,0.43413367942894227,0.02092982125335486,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1625.0,1580.0,1541.0,34.55430508634199,28.143888879267045,27.3576409648028,26.683058595373318,0.6015857794452866,0.028143888879267047,0.027357640964802806,0.02668305859537332,0.0006015857794452866,0.3282828282828283,0.3191919191919192,0.3113131313131313,0.006980667694210504,18,31291.0,31013.666666666668,30679.0,253.11569598813023,0.5418167336196149,0.5369985818451884,0.5313393027243284,0.00431854612503366,0.0,0.3282828282828283,0.3191919191919192,0.3113131313131313,0.006980667694210504,2261.0,2246.3333333333335,2230.0,12.710450643291745,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.385787299465626,10.55124419788501,8.70474659810235,2.0347335529371366,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,499.1614141414141,495.93474747474744,490.8858585858586,3.6158517031391813,499.1614141414141,495.93474747474744,490.8858585858586,3.6158517031391813,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57770.0,57753.666666666664,57739.0,12.710450643291747,ablation_isac_one_slot_delay,singlehop,False,27527.0,27512.666666666668,27489.0,16.858891488535722,57770.0,57753.666666666664,57739.0,37.4769630110318,36.57044122652938,35.53169230769231,0.7996384760663174,12.710450643291747,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30281.0,30241.0,30217.0,28.472208672083497
0.5,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,9.0,5.0,1.0,3.265986323710904,551.0,478.0,402.0,60.86597297888753,0.7769145394006659,0.7568727450156866,0.7422825070159027,0.01465455599328633,0.2884930012724959,0.2725999301423483,0.2615844544095665,0.011514068965514013,0.34719596723377444,0.3217167929031688,0.28714285714285714,0.025346005891729893,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1587.0,1480.3333333333333,1400.0,78.58046124125825,27.487659132242143,25.62465575260289,24.21056272265071,1.3750104474709501,0.027487659132242142,0.02562465575260289,0.02421056272265071,0.0013750104474709493,0.3206060606060606,0.2990572390572391,0.2828282828282828,0.015874840654799653,18,33944.0,33655.666666666664,33329.0,252.53162618219173,0.5877341829137376,0.5825629124736591,0.5772754828093877,0.004270536398174982,0.01,0.3206060606060606,0.2990572390572391,0.2828282828282828,0.015874840654799653,2265.0,2228.3333333333335,2174.0,39.19467083956979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.663325406348768,9.29988292698003,6.790758120260058,1.7764450160784278,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,510.8187878787879,504.9171717171717,495.70242424242423,6.600946483660899,510.8187878787879,504.9171717171717,495.70242424242423,6.600946483660899,0.05,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57826.0,57771.666666666664,57735.0,39.19467083956979,ablation_isac_one_slot_delay,singlehop,False,27553.0,27534.666666666668,27514.0,16.006942938057293,57826.0,57771.666666666664,57735.0,41.30428571428571,39.13500606532022,36.379962192816635,2.0525724234410982,39.19467083956979,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30273.0,30237.0,30217.0,25.508168626278653
1.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,10.0,6.0,2.0,3.265986323710904,251.0,245.66666666666666,242.0,3.858612300930075,0.8404185742315239,0.8315840949996708,0.8227401129943502,0.007217204706144454,0.24740084713130536,0.23385267333309015,0.2239953855027879,0.009905247361276185,0.21545064377682405,0.2026147908367868,0.18988326848249026,0.01043809795935601,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1285.0,1215.0,1165.0,50.99019513592785,22.23452667278044,21.033323169297745,20.15989478784523,0.8781046871772114,0.02223452667278044,0.021033323169297746,0.020159894787845228,0.0008781046871772117,0.2595959595959596,0.24545454545454545,0.23535353535353534,0.010301049522409672,18,37185.0,36916.666666666664,36512.0,291.1727246078443,0.6442977440482378,0.6390860799992502,0.6317720139117194,0.00532531999739445,0.05,0.2595959595959596,0.24545454545454545,0.23535353535353534,0.010301049522409672,2286.0,2235.0,2207.0,36.12016980395672,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.611004470912732,7.9369231820903705,5.701593593437838,1.6446120297862448,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,528.7775757575757,524.9446464646466,520.3767676767677,3.468766079625168,528.7775757575757,524.9446464646466,520.3767676767677,3.468766079625168,0.15,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57793.0,57765.0,57714.0,36.12016980395672,ablation_isac_one_slot_delay,singlehop,False,27363.0,27332.333333333332,27307.0,23.170862929310356,57793.0,57765.0,57714.0,49.60343347639485,47.62492168742762,44.97509727626459,1.9482247428361719,36.12016980395672,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30481.0,30432.666666666668,30387.0,38.42163742245016
1.5,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,11.0,7.0,3.0,3.265986323710904,190.0,174.0,144.0,21.228911104120876,0.8852589641434263,0.8737285719036388,0.8665730337078652,0.008231869370136058,0.2434799532892176,0.2338858331559179,0.21809972516686296,0.01124854153775963,0.1539708265802269,0.1446211880184711,0.12961296129612962,0.010718865464774338,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1251.0,1198.6666666666667,1111.0,62.37699005954751,21.651839800616152,20.730887817601342,19.21679869927699,1.0789547526086438,0.021651839800616152,0.02073088781760134,0.01921679869927699,0.0010789547526086432,0.25272727272727274,0.24215488215488215,0.22444444444444445,0.012601412133241924,18,38707.0,38029.333333333336,37563.0,490.3606382608167,0.669509115439167,0.6577153254120222,0.6501263456679013,0.008453136031029786,0.1,0.25272727272727274,0.24215488215488215,0.22444444444444445,0.012601412133241924,2222.0,2179.6666666666665,2131.0,37.4195433192633,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.22209584064709,8.758025377048503,8.482309538399601,0.3300798305493233,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,531.7549494949495,524.8079461279461,519.229696969697,5.204203670644409,531.7549494949495,524.8079461279461,519.229696969697,5.204203670644409,0.3,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57869.0,57820.333333333336,57778.0,37.4195433192633,ablation_isac_one_slot_delay,singlehop,False,27589.0,27414.0,27317.0,123.98655841125144,57869.0,57820.333333333336,57778.0,52.037803780378034,48.37290577718227,46.185451638689045,2.6076345190732146,37.4195433192633,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30478.0,30406.333333333332,30280.0,89.60034722154944
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,8.0,4.0,0.0,3.265986323710904,1175.0,1127.0,1075.0,40.92269134192748,0.6254383168632451,0.6188736440736952,0.6132010943912448,0.005035495088931053,0.3203265306122449,0.3012700187554205,0.2886307053941909,0.013712321988203548,0.6307863915225879,0.6159454831945907,0.5988786952089704,0.013121005454313191,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1962.0,1831.3333333333333,1739.0,94.9888882390403,33.989328528861485,31.729860657890622,30.12142102437081,1.6448009890343942,0.03398932852886148,0.03172986065789062,0.03012142102437081,0.0016448009890343929,0.39636363636363636,0.36996632996633,0.3513131313131313,0.01918967439172532,18,31723.0,31322.666666666668,31056.0,288.2387127981867,0.5494777683473923,0.542699479656157,0.5380084540225902,0.004909432626703268,0.0,0.39636363636363636,0.36996632996633,0.3513131313131313,0.01918967439172532,2308.0,2283.6666666666665,2267.0,17.594190960528863,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.972088910914927,12.754800606165604,10.610482894001834,1.520884916727751,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,482.7149494949495,477.90895622895624,468.4676767676768,6.676356472681809,482.7149494949495,477.90895622895624,468.4676767676768,6.676356472681809,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57733.0,57716.333333333336,57692.0,17.594190960528863,improved_rl_isac,singlehop,False,27538.0,27509.333333333332,27490.0,20.677416559027765,57733.0,57716.333333333336,57692.0,33.19896492236918,31.598734946659437,29.420998980632007,1.5954918867173058,17.594190960528863,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30233.0,30207.0,30186.0,19.510680835549195
0.5,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,9.0,5.0,1.0,3.265986323710904,798.0,716.3333333333334,639.0,64.98375865467378,0.7248062015503876,0.710060849213749,0.6920108066383636,0.013591056251311106,0.31296361709643233,0.3086751390700205,0.30112721417069244,0.005353696790887478,0.44506413831567204,0.40884971725839697,0.37967914438502676,0.027154020030878852,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1793.0,1749.3333333333333,1683.0,47.68181577452305,31.02290815973424,30.288219835141565,29.142352513376395,0.8209439731386174,0.031022908159734238,0.03028821983514156,0.029142352513376393,0.0008209439731386177,0.3622222222222222,0.3534006734006734,0.34,0.009632690055459187,18,34350.0,33913.0,33591.0,320.35293037523473,0.5947948953264879,0.5871783591114621,0.5811993909613122,0.005669841656295974,0.01,0.3622222222222222,0.3534006734006734,0.34,0.009632690055459187,2279.0,2244.0,2204.0,30.822070014844883,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.538446626754315,12.258821798766212,11.733212310802609,0.3719156854306259,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,488.71939393939397,483.34632996632996,477.9141414141414,4.411423981778201,488.71939393939397,483.34632996632996,477.9141414141414,4.411423981778201,0.05,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57796.0,57756.0,57721.0,30.822070014844883,improved_rl_isac,singlehop,False,27500.0,27426.0,27381.0,52.73202695389839,57796.0,57756.0,57721.0,34.31431966726085,33.04083057194064,32.23424428332404,0.9111081435613625,30.822070014844883,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30415.0,30330.0,30221.0,80.99794236069621
1.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,10.0,6.0,2.0,3.265986323710904,422.0,397.6666666666667,358.0,28.288199345702832,0.7947247706422018,0.7825660991399733,0.7732401934443848,0.008996858189712364,0.272608614581391,0.2671981171867537,0.26111529766390357,0.00471614929255597,0.29325920778318276,0.27801540205417347,0.2582972582972583,0.0146196044988697,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1462.0,1429.0,1386.0,31.822423959633664,25.239098159721024,24.713847148268073,23.994183228308287,0.5264982309936476,0.025239098159721023,0.024713847148268075,0.023994183228308288,0.0005264982309936468,0.29535353535353537,0.2886868686868687,0.28,0.006428772517097702,18,37395.0,37007.333333333336,36641.0,308.1886146862376,0.6473755280105256,0.6400381346340878,0.6342345773038842,0.005473307113080112,0.05,0.29535353535353537,0.2886868686868687,0.28,0.006428772517097702,2236.0,2179.3333333333335,2074.0,74.55348564770276,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.365748144080005,11.48768571116804,7.767678195400052,2.6304838659799854,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,511.639797979798,510.0260606060606,509.1462626262626,1.1426372755792598,511.639797979798,510.0260606060606,509.1462626262626,1.1426372755792598,0.15,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57926.0,57820.666666666664,57764.0,74.55348564770277,improved_rl_isac,singlehop,False,27478.0,27387.666666666668,27316.0,67.44050876307371,57926.0,57820.666666666664,57764.0,41.676767676767675,40.481719746385224,39.621067031463745,0.8719103187324334,74.55348564770277,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30448.0,30433.0,30403.0,21.213203435596427
1.5,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,11.0,7.0,3.0,3.265986323710904,370.0,340.3333333333333,293.0,33.82635395992631,0.8272405660377359,0.8091238183677403,0.7950138504155124,0.013458108156521622,0.27863602110022606,0.271989250542716,0.26759488842265877,0.0047806317942117645,0.2578397212543554,0.2362444559900175,0.20883820384889523,0.02042241992469753,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.0,1.0,1.0,0.0,1479.0,1439.0,1403.0,31.15552385479446,25.608172452601508,24.886864242866224,24.268737783466815,0.5516678731639004,0.025608172452601507,0.024886864242866225,0.024268737783466814,0.0005516678731639001,0.29878787878787877,0.2907070707070707,0.2834343434343434,0.0062940452231907956,18,38054.0,37926.666666666664,37699.0,161.36156777732285,0.6577813910847417,0.6559155591353282,0.6527400225088736,0.002256892263746016,0.1,0.29878787878787877,0.2907070707070707,0.2834343434343434,0.0062940452231907956,2245.0,2177.6666666666665,2099.0,60.140576060500855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.407251923041892,11.17332753930141,7.709910630611795,2.483097977968463,100.0,100.0,100.0,0.0,1.0,1.0,1.0,0.0,512.4646464646464,509.22734006734004,504.77050505050505,3.2573394629757186,512.4646464646464,509.22734006734004,504.77050505050505,3.2573394629757186,0.3,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,57901.0,57822.333333333336,57755.0,60.14057606050086,improved_rl_isac,singlehop,False,27624.0,27610.333333333332,27586.0,17.249798710580816,57901.0,57822.333333333336,57755.0,41.205274411974344,40.201479046153686,39.0500338066261,0.8860458530797471,60.14057606050086,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,30280.0,30212.0,30169.0,48.641546028061235
0.0,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,8.0,4.0,0.0,3.265986323710904,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0008080808080808081,0.0006060606060606061,0.00040404040404040404,0.00016494880422782344,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,98.0,97.0,96.0,0.816496580927726,4.0,3.0,2.0,0.816496580927726,0.06808162987421919,0.05105726484594816,0.034028073160357296,0.013902306731582778,6.808162987421919e-05,5.1057264845948154e-05,3.4028073160357296e-05,1.3902306731582779e-05,0.0008080808080808081,0.0006060606060606061,0.00040404040404040404,0.00016494880422782344,18,52981.0,52957.666666666664,52924.0,24.390344173235622,0.9015522875816994,0.9012536681673128,0.9007880448657941,0.00033360101512783084,0.0,0.0008080808080808081,0.0006060606060606061,0.00040404040404040404,0.00016494880422782344,1248.0,1240.0,1225.0,10.614455552060438,1.0,1.0,1.0,0.0,0.97,0.9433333333333334,0.92,0.02054804667656323,0.0,0.0,0.0,0.0,3.0,2.3333333333333335,2.0,0.4714045207910317,0.03,0.023333333333333334,0.02,0.004714045207910316,599.909494949495,599.7862626262627,599.7141414141414,0.08755954241939595,599.909494949495,599.7862626262627,599.7141414141414,0.08755954241939595,0.0,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,improved_rl_no_isac,singlehop,False,27252.0,26993.0,26814.0,187.54732736032258,58775.0,58760.0,58752.0,29387.5,21219.916666666668,14688.25,6111.418555776465,10.614455552060438,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,31939.0,31767.0,31500.0,191.3966213564562
0.5,815.56096023333,815.5609602333301,815.56096023333,1.1368683772161603e-13,density,36,20292722.0,20291713.0,20290704.0,823.8450501560756,648,10.0,9.0,5.0,1.0,3.265986323710904,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0008080808080808081,0.0006060606060606061,0.00040404040404040404,0.00016494880422782344,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,98.0,97.0,96.0,0.816496580927726,4.0,3.0,2.0,0.816496580927726,0.06808162987421919,0.05105726484594816,0.034028073160357296,0.013902306731582778,6.808162987421919e-05,5.1057264845948154e-05,3.4028073160357296e-05,1.3902306731582779e-05,0.0008080808080808081,0.0006060606060606061,0.00040404040404040404,0.00016494880422782344,18,52981.0,52957.666666666664,52924.0,24.390344173235622,0.9015522875816994,0.9012536681673128,0.9007880448657941,0.00033360101512783084,0.01,0.0008080808080808081,0.0006060606060606061,0.00040404040404040404,0.00016494880422782344,1248.0,1240.0,1225.0,10.614455552060438,1.0,1.0,1.0,0.0,0.97,0.9433333333333334,0.92,0.02054804667656323,0.0,0.0,0.0,0.0,3.0,2.3333333333333335,2.0,0.4714045207910317,0.03,0.023333333333333334,0.02,0.004714045207910316,599.909494949495,599.7862626262627,599.7141414141414,0.08755954241939595,599.909494949495,599.7862626262627,599.7141414141414,0.08755954241939595,0.05,gauss_markov,3.9580639242601303,3.8741747144229457,3.7988231097141214,0.06528949522608239,3,100,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,improved_rl_no_isac,singlehop,False,27252.0,26993.0,26814.0,187.54732736032258,58775.0,58760.0,58752.0,29387.5,21219.916666666668,14688.25,6111.418555776465,10.614455552060438,0.0,0.0,0.0,0.0,856.3390082449965,856.3390082449965,856.3390082449965,0.0,1.05,1.05,1.05,0.0,1.0,5.0,600.0,600.0,600.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4950.0,4950.0,4950.0,0.0,31939.0,31767.0,31500.0,191.3966213564562
