angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discovery_per_scan_action,discovery_rate,elevation_cells,empty_scan_count,empty_scan_ratio,episode,false_alarm_rate,finite_time_discovery_rate,idle_actions,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,range_mode,range_sweep_enabled,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slot_duration_ms,slots,train_beamwidth_deg,train_node_count,true_edges_seen,tx_actions
0.0,815.56096023333,density,36,20290704,648,10.0,0,0,1.0,0.0006060606060606061,0.0,856.3390082449965,1.05,97,3,0.05106209150326797,5.1062091503267975e-05,0.0006060606060606061,18,52968,0.9015522875816994,0,0.0,0.0006060606060606061,1248,True,0.94,0.0,2,0.02,599.7351515151515,599.7351515151515,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27252,58752,19584.0,20290704,20310583,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31500
0.0,815.56096023333,density,36,20290704,648,10.0,0,669,0.6972850678733031,0.27424808684819363,0.43413367942894227,856.3390082449965,1.05,1,1541,26.683058595373318,0.02668305859537332,0.3113131313131313,18,31291,0.5418167336196149,0,0.0,0.3113131313131313,2248,True,0.0,8.70474659810235,100,1.0,499.1614141414141,499.1614141414141,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57752,ablation_isac_one_slot_delay,singlehop,False,27527,57752,37.4769630110318,20290704,20333532,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30225
0.0,815.56096023333,density,36,20290704,648,10.0,0,1075,0.6179815209665956,0.2886307053941909,0.618171362852214,856.3390082449965,1.05,1,1739,30.12142102437081,0.03012142102437081,0.3513131313131313,18,31723,0.5494777683473923,0,0.0,0.3513131313131313,2267,True,0.0,10.610482894001834,100,1.0,482.54424242424244,482.54424242424244,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57733,improved_rl_isac,singlehop,False,27500,57733,33.19896492236918,20290704,20304926,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30233
0.5,815.56096023333,density,36,20290704,648,10.0,1,0,1.0,0.0006060606060606061,0.0,856.3390082449965,1.05,97,3,0.05106209150326797,5.1062091503267975e-05,0.0006060606060606061,18,52968,0.9015522875816994,0,0.01,0.0006060606060606061,1248,True,0.94,0.0,2,0.02,599.7351515151515,599.7351515151515,0.05,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27252,58752,19584.0,20290704,20310583,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31500
0.5,815.56096023333,density,36,20290704,648,10.0,1,402,0.7769145394006659,0.2615844544095665,0.28714285714285714,856.3390082449965,1.05,1,1400,24.21056272265071,0.02421056272265071,0.2828282828282828,18,33694,0.5826790716978522,0,0.01,0.2828282828282828,2174,True,0.0,10.445565254331267,100,1.0,510.8187878787879,510.8187878787879,0.05,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57826,ablation_isac_one_slot_delay,singlehop,False,27553,57826,41.30428571428571,20290704,20333532,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30273
0.5,815.56096023333,density,36,20290704,648,10.0,1,639,0.7248062015503876,0.30112721417069244,0.37967914438502676,856.3390082449965,1.05,1,1683,29.142352513376395,0.029142352513376393,0.34,18,34350,0.5947948953264879,0,0.01,0.34,2249,True,0.0,12.538446626754315,100,1.0,488.71939393939397,488.71939393939397,0.05,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57751,improved_rl_isac,singlehop,False,27397,57751,34.31431966726085,20290704,20304926,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30354
1.0,815.56096023333,density,36,20290704,648,10.0,2,0,1.0,0.0006060606060606061,0.0,856.3390082449965,1.05,97,3,0.05106209150326797,5.1062091503267975e-05,0.0006060606060606061,18,52968,0.9015522875816994,0,0.05,0.0006060606060606061,1248,True,0.94,0.0,2,0.02,599.7351515151515,599.7351515151515,0.15,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27252,58752,19584.0,20290704,20310583,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31500
1.0,815.56096023333,density,36,20290704,648,10.0,2,242,0.8315935977731385,0.2301617873651772,0.20251046025104602,856.3390082449965,1.05,1,1195,20.705548047267563,0.020705548047267562,0.24141414141414141,18,37185,0.6442977440482378,0,0.05,0.24141414141414141,2286,True,0.0,8.498171481920542,100,1.0,525.679595959596,525.679595959596,0.15,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57714,ablation_isac_one_slot_delay,singlehop,False,27327,57714,48.29623430962343,20290704,20333532,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30387
1.0,815.56096023333,density,36,20290704,648,10.0,2,358,0.7947247706422018,0.26111529766390357,0.2582972582972583,856.3390082449965,1.05,1,1386,23.994183228308287,0.023994183228308288,0.28,18,37395,0.6473755280105256,0,0.05,0.28,2236,True,0.0,7.767678195400052,100,1.0,511.639797979798,511.639797979798,0.15,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57764,improved_rl_isac,singlehop,False,27316,57764,41.676767676767675,20290704,20304926,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30448
1.5,815.56096023333,density,36,20290704,648,10.0,3,0,1.0,0.0006060606060606061,0.0,856.3390082449965,1.05,97,3,0.05106209150326797,5.1062091503267975e-05,0.0006060606060606061,18,52968,0.9015522875816994,0,0.1,0.0006060606060606061,1248,True,0.94,0.0,2,0.02,599.7351515151515,599.7351515151515,0.3,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27252,58752,19584.0,20290704,20310583,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31500
