angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discovery_per_scan_action,discovery_rate,elevation_cells,empty_scan_count,empty_scan_ratio,episode,false_alarm_rate,finite_time_discovery_rate,idle_actions,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,range_mode,range_sweep_enabled,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slot_duration_ms,slots,train_beamwidth_deg,train_node_count,true_edges_seen,tx_actions
0.0,378.549864614954,density,120,20290704,7200,3.0,0,0,0.0,0.0,0.0,397.4773578457017,1.05,10,0,0.0,0.0,0.0,60,5112,0.9986325454190271,0,0.0,0.0,0,False,1.0,0.0,1,0.1,600.0,600.0,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,0,uniform_random,singlehop,False,2554,5119,5119.0,20290704,20301901,881,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,2565
0.0,378.549864614954,density,120,20290704,7200,3.0,0,0,0.0,0.0,0.0,397.4773578457017,1.05,10,0,0.0,0.0,0.0,60,5876,0.9991498044550247,0,0.0,0.0,119,False,1.0,0.0,1,0.1,600.0,600.0,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,2718,5881,5881.0,20290704,20310583,0,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,3163
0.0,378.549864614954,density,120,20290704,7200,3.0,0,0,0.0,0.0,0.0,397.4773578457017,1.05,10,0,0.0,0.0,0.0,60,5926,0.9971394918391385,0,0.0,0.0,57,False,1.0,0.0,1,0.1,600.0,600.0,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,5943,improved_rl_isac,singlehop,False,2596,5943,5943.0,20290704,20304926,0,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,3347
0.0,378.549864614954,density,72,20290704,2592,5.0,1,0,0.0,0.0,0.0,397.4773578457017,1.05,10,0,0.0,0.0,0.0,36,5102,0.9966790388747803,0,0.0,0.0,0,False,1.0,0.0,1,0.1,600.0,600.0,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,0,uniform_random,singlehop,False,2554,5119,5119.0,20290704,20301901,881,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,2565
0.0,378.549864614954,density,72,20290704,2592,5.0,1,0,0.0,0.0,0.0,397.4773578457017,1.05,10,0,0.0,0.0,0.0,36,5866,0.997449413365074,0,0.0,0.0,119,False,1.0,0.0,1,0.1,600.0,600.0,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,2718,5881,5881.0,20290704,20310583,0,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,3163
0.0,378.549864614954,density,72,20290704,2592,5.0,1,0,1.0,0.06666666666666667,0.0,397.4773578457017,1.05,7,3,0.5061582588155896,0.0005061582588155897,0.06666666666666667,36,5832,0.9839716551375063,0,0.0,0.06666666666666667,73,False,0.4,0.0,2,0.2,583.2222222222222,583.2222222222222,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,5927,improved_rl_isac,singlehop,False,2620,5927,1975.6666666666667,20290704,20304926,0,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,3307
0.0,378.549864614954,density,36,20290704,648,10.0,2,0,0.0,0.0,0.0,397.4773578457017,1.05,10,0,0.0,0.0,0.0,18,5057,0.987888259425669,0,0.0,0.0,0,False,1.0,0.0,1,0.1,600.0,600.0,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,0,uniform_random,singlehop,False,2554,5119,5119.0,20290704,20301901,881,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,2565
0.0,378.549864614954,density,36,20290704,648,10.0,2,0,0.0,0.0,0.0,397.4773578457017,1.05,10,0,0.0,0.0,0.0,18,5811,0.9880972623703452,0,0.0,0.0,119,False,1.0,0.0,1,0.1,600.0,600.0,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,2718,5881,5881.0,20290704,20310583,0,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,3163
0.0,378.549864614954,density,36,20290704,648,10.0,2,16,0.6595744680851063,0.5081967213114754,0.5161290322580645,397.4773578457017,1.05,1,31,5.343906223064989,0.005343906223064989,0.6888888888888889,18,5184,0.8936390277538355,0,0.0,0.6888888888888889,199,False,0.0,3.561189833948035,10,1.0,331.6666666666667,331.6666666666667,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,5801,improved_rl_isac,singlehop,False,2682,5801,187.1290322580645,20290704,20304926,0,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,3119
0.0,378.549864614954,density,24,20290704,288,15.0,3,0,0.0,0.0,0.0,397.4773578457017,1.05,10,0,0.0,0.0,0.0,12,4973,0.9714788044539949,0,0.0,0.0,0,False,1.0,0.0,1,0.1,600.0,600.0,0.0,gauss_markov,3.371907089390524,10,600.0,600.0,600.0,600.0,600.0,600.0,0,uniform_random,singlehop,False,2554,5119,5119.0,20290704,20301901,881,397.4773578457017,1.05,1.0,5.0,600,10.0,10,45,2565
