angular_cell_offset_std,area_diagonal_m,area_scale,azimuth_cells,base_seed,beam_count,beamwidth_deg,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,communication_range_m,communication_range_to_diagonal_ratio,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discovery_per_scan_action,discovery_rate,elevation_cells,empty_scan_count,empty_scan_ratio,episode,false_alarm_rate,finite_time_discovery_rate,idle_actions,isac_error_sweep_enabled,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_discovery_delay,miss_detection_rate,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p90_discovery_delay,p95_delay_censored,p95_discovery_delay,p99_delay_censored,p99_discovery_delay,piggyback_sense_actions,protocol,range_mode,range_sweep_enabled,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_range_m,sensing_range_to_diagonal_ratio,sensing_to_comm_range_ratio,slot_duration_ms,slots,train_beamwidth_deg,train_node_count,true_edges_seen,tx_actions
0.0,815.56096023333,density,24,20290704,288,15.0,0,0,1.0,0.0030303030303030303,0.0,856.3390082449965,1.05,85,15,0.25556274917368044,0.0002555627491736804,0.0030303030303030303,12,48957,0.8341057007530582,0,0.0,0.0030303030303030303,1306,True,0.73,0.0,4,0.04,598.9668686868687,598.9668686868687,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27248,58694,3912.9333333333334,20290704,20310583,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31446
0.0,815.56096023333,density,24,20290704,288,15.0,0,7289,0.2616491085899514,0.21104665413841,2.821912504839334,856.3390082449965,1.05,1,2583,44.840636066939794,0.0448406360669398,0.5218181818181818,12,22823,0.39620512464412194,0,0.0,0.5218181818181818,2396,True,0.0,23.64950899736624,100,1.0,418.68767676767675,418.68767676767675,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57604,ablation_isac_one_slot_delay,singlehop,False,27592,57604,22.30120015485869,20290704,20333532,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30012
0.0,815.56096023333,density,24,20290704,288,15.0,0,8230,0.24792104541716165,0.2058421851289833,3.0335422042019906,856.3390082449965,1.05,1,2713,47.04107641357307,0.04704107641357307,0.5480808080808081,12,23415,0.4059958732855929,0,0.0,0.5480808080808081,2327,True,0.0,30.256380131667434,100,1.0,404.72686868686867,404.72686868686867,0.0,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57673,improved_rl_isac,singlehop,False,27509,57673,21.258016955399928,20290704,20304926,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30164
0.5,815.56096023333,density,24,20290704,288,15.0,1,0,1.0,0.0030303030303030303,0.0,856.3390082449965,1.05,85,15,0.25556274917368044,0.0002555627491736804,0.0030303030303030303,12,48957,0.8341057007530582,0,0.01,0.0030303030303030303,1306,True,0.73,0.0,4,0.04,598.9668686868687,598.9668686868687,0.05,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27248,58694,3912.9333333333334,20290704,20310583,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31446
0.5,815.56096023333,density,24,20290704,288,15.0,1,4269,0.388920698539937,0.2947174313916911,1.5712182554287817,856.3390082449965,1.05,1,2717,47.10144927536232,0.04710144927536232,0.5488888888888889,12,25751,0.44641495041952706,0,0.01,0.5488888888888889,2316,True,0.0,36.83166705293825,100,1.0,409.27050505050505,409.27050505050505,0.05,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57684,ablation_isac_one_slot_delay,singlehop,False,27628,57684,21.23076923076923,20290704,20333532,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30056
0.5,815.56096023333,density,24,20290704,288,15.0,1,6055,0.3227069351230425,0.26215356656065425,2.098786828422877,856.3390082449965,1.05,1,2885,50.07898071481887,0.050078980714818866,0.5828282828282828,12,25769,0.4473085802565571,0,0.01,0.5828282828282828,2391,True,0.0,35.15159107444448,100,1.0,393.8969696969697,393.8969696969697,0.05,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57609,improved_rl_isac,singlehop,False,27484,57609,19.9684575389948,20290704,20304926,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30125
1.0,815.56096023333,density,24,20290704,288,15.0,2,0,1.0,0.0030303030303030303,0.0,856.3390082449965,1.05,85,15,0.25556274917368044,0.0002555627491736804,0.0030303030303030303,12,48957,0.8341057007530582,0,0.05,0.0030303030303030303,1306,True,0.73,0.0,4,0.04,598.9668686868687,598.9668686868687,0.15,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27248,58694,3912.9333333333334,20290704,20310583,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31446
1.0,815.56096023333,density,24,20290704,288,15.0,2,2443,0.4952479338842975,0.32422561882862166,1.0191906549853984,856.3390082449965,1.05,1,2397,41.576327337692746,0.041576327337692745,0.48424242424242425,12,30143,0.5228348915060794,0,0.05,0.48424242424242425,2347,True,0.0,26.44990908371137,100,1.0,437.53939393939396,437.53939393939396,0.15,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57653,ablation_isac_one_slot_delay,singlehop,False,27610,57653,24.05214851898206,20290704,20333532,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,30043
1.0,815.56096023333,density,24,20290704,288,15.0,2,3642,0.41737322028475443,0.30365456238361266,1.395937140666922,856.3390082449965,1.05,1,2609,45.19627204379309,0.04519627204379309,0.527070707070707,12,29930,0.5184838720853688,0,0.05,0.527070707070707,2274,True,0.0,32.08031406157383,100,1.0,414.3276767676768,414.3276767676768,0.15,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,57726,improved_rl_isac,singlehop,False,27729,57726,22.125718666155617,20290704,20304926,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,29997
1.5,815.56096023333,density,24,20290704,288,15.0,3,0,1.0,0.0030303030303030303,0.0,856.3390082449965,1.05,85,15,0.25556274917368044,0.0002555627491736804,0.0030303030303030303,12,48957,0.8341057007530582,0,0.1,0.0030303030303030303,1306,True,0.73,0.0,4,0.04,598.9668686868687,598.9668686868687,0.3,gauss_markov,3.7988231097141214,100,600.0,600.0,600.0,600.0,600.0,600.0,0,improved_rl_no_isac,singlehop,False,27248,58694,3912.9333333333334,20290704,20310583,0,856.3390082449965,1.05,1.0,5.0,600,10.0,10,4950,31446
