evidence_block,evidence_tier,source_csv,n_episodes,protocol,node_count,beamwidth_deg,area_scale,mobility_model,range_mode,communication_range_to_diagonal_ratio,sensing_to_comm_range_ratio,false_alarm_rate,miss_detection_rate,angular_cell_offset_std,slot_duration_ms,discovery_rate_mean,discovery_rate_std,discovery_rate_ci95,empty_scan_ratio_mean,empty_scan_ratio_std,empty_scan_ratio_ci95,lambda2_mean,lambda2_std,lambda2_ci95,collision_count_mean,collision_count_std,collision_count_ci95,mean_discovery_delay_mean,mean_discovery_delay_std,mean_discovery_delay_ci95,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,collision_penalized_discovery_rate_ci95,discovery_per_scan_action_mean,discovery_per_scan_action_std,discovery_per_scan_action_ci95
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,improved_rl_isac,100,10.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.365455,0.00361761,0.00409371,0.49858,0.00660572,0.00747508,12.9222,1.90076,2.15092,1050,20.1163,22.7638,477.986,3.82003,4.32277,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,improved_rl_isac,100,15.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.54404,0.0025713,0.0029097,0.329271,0.00624506,0.00706695,26.8413,3.93158,4.449,8285,346.884,392.536,406.745,0.98341,1.11283,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,improved_rl_isac,100,30.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.456768,0.013613,0.0154046,0.181517,0.00448349,0.00507354,25.9812,1.04659,1.18432,82742.3,2182.06,2469.23,438.663,7.79226,8.81777,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,improved_rl_isac,100,5.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0814141,0.00315996,0.00357584,0.816088,0.0028102,0.00318004,0.842979,0.0639645,0.0723826,13,4.54606,5.14435,576.639,0.967745,1.09511,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,improved_rl_no_isac,100,10.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.000673401,0.000190466,0.000215533,0.901089,0.000265387,0.000300314,0,0,0,0,0,0,599.777,0.093502,0.105807,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,improved_rl_no_isac,100,15.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.00377104,0.000779518,0.000882107,0.834431,0.00232356,0.00262936,-5.14878e-16,3.7021e-16,4.18933e-16,0,0,0,598.741,0.179875,0.203548,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,improved_rl_no_isac,100,30.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.0470707,0.000918396,0.00103926,0.666243,0.00306537,0.00346879,0.192375,0.272059,0.307864,19,3.55903,4.02742,585.692,0.920324,1.04144,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,improved_rl_no_isac,100,5.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0,0,0,0.96663,0.0003317,0.000375354,0,0,0,0,0,0,600,0,0,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,rl_no_isac,100,10.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.000606061,0.000329898,0.000373314,0.901178,0.000993223,0.00112394,0,0,0,0,0,0,599.779,0.0910673,0.103052,,,,,,
main_n100_density_transfer,main,06_analysis/paper_tables/round3_robustness/n100_density_multiseed/aggregate_metrics.csv,3,rl_no_isac,100,15.0,density,gauss_markov,singlehop,1.05,1.0,0.0,0.0,0.0,,0.00356902,0.000343368,0.000388558,0.834257,0.00196339,0.00222179,-6.83565e-16,1.32357e-16,1.49776e-16,0,0,0,598.867,0.0927095,0.104911,,,,,,
