comparison,metric,paired_scenarios,mean_difference,ci95_low,ci95_high,exact_sign_flip_p
idqn:matched_support - idqn:random_uniform,discovery_rate,10,0.02666666666666669,-0.034577123686234584,0.08791045701956796,0.390625
idqn:greedy - idqn:random_uniform,discovery_rate,10,-0.33555555555555555,-0.40400769090988836,-0.26710342020122274,0.001953125
idqn:learned_role_random_beam - idqn:random_uniform,discovery_rate,10,-0.19777777777777777,-0.25651789022129073,-0.13903766533426484,0.001953125
idqn:random_role_learned_beam - idqn:random_uniform,discovery_rate,10,-0.044444444444444425,-0.13373756529985392,0.044848676410965085,0.30859375
idqn:matched_support - MAPPO:matched_support,discovery_rate,10,0.031111111111111124,-0.03343584735258088,0.09565806957480313,0.33203125
idqn_local_reward:matched_support - idqn_local_reward:random_uniform,discovery_rate,10,-0.01111111111111111,-0.0995353706726836,0.07731314845046137,0.826171875
idqn_local_reward:greedy - idqn_local_reward:random_uniform,discovery_rate,10,-0.3511111111111111,-0.44788804377740454,-0.25433417844481765,0.001953125
idqn_local_reward:learned_role_random_beam - idqn_local_reward:random_uniform,discovery_rate,10,-0.17111111111111107,-0.239398993954335,-0.10282322826788716,0.001953125
idqn_local_reward:random_role_learned_beam - idqn_local_reward:random_uniform,discovery_rate,10,-0.031111111111111117,-0.06561291167246311,0.0033906894502408677,0.1015625
idqn_local_reward:matched_support - MAPPO:matched_support,discovery_rate,10,-0.006666666666666677,-0.08738950098414412,0.07405616765081076,0.9140625
shared_idqn:matched_support - shared_idqn:random_uniform,discovery_rate,10,-0.02444444444444443,-0.10495833233473251,0.05606944344584364,0.5625
shared_idqn:greedy - shared_idqn:random_uniform,discovery_rate,10,-0.5066666666666666,-0.5723347650154138,-0.44099856831791934,0.001953125
shared_idqn:learned_role_random_beam - shared_idqn:random_uniform,discovery_rate,10,-0.47555555555555556,-0.5369824368710525,-0.4141286742400586,0.001953125
shared_idqn:random_role_learned_beam - shared_idqn:random_uniform,discovery_rate,10,-0.00444444444444444,-0.06704836638209392,0.05815947749320504,0.9296875
shared_idqn:matched_support - MAPPO:matched_support,discovery_rate,10,-0.019999999999999997,-0.10120828529158832,0.06120828529158833,0.625
vdn:matched_support - vdn:random_uniform,discovery_rate,10,-0.05555555555555556,-0.1142,0.003088888888888884,0.08203125
vdn:greedy - vdn:random_uniform,discovery_rate,10,-0.5355555555555556,-0.5952439151130662,-0.47586719599804495,0.001953125
vdn:learned_role_random_beam - vdn:random_uniform,discovery_rate,10,-0.5355555555555556,-0.5952439151130662,-0.47586719599804495,0.001953125
vdn:random_role_learned_beam - vdn:random_uniform,discovery_rate,10,-0.015555555555555545,-0.08343106818577305,0.05231995707466196,0.6484375
vdn:matched_support - MAPPO:matched_support,discovery_rate,10,-0.05111111111111113,-0.1138270458811046,0.01160482365888233,0.123046875
qmix:matched_support - qmix:random_uniform,discovery_rate,10,-0.01777777777777776,-0.09629682118622598,0.06074126563067047,0.6484375
qmix:greedy - qmix:random_uniform,discovery_rate,10,-0.19333333333333333,-0.2757767965200665,-0.11088987014660018,0.00390625
qmix:learned_role_random_beam - qmix:random_uniform,discovery_rate,10,-0.14444444444444443,-0.1948505473475309,-0.09403834154135796,0.001953125
qmix:random_role_learned_beam - qmix:random_uniform,discovery_rate,10,-0.008888888888888873,-0.06456172793457979,0.04678395015680205,0.7890625
qmix:matched_support - MAPPO:matched_support,discovery_rate,10,-0.013333333333333326,-0.087209943975674,0.060543277309007354,0.74609375
idqn:matched_support - shared_idqn:matched_support,discovery_rate,10,0.05111111111111112,-0.016349510635354822,0.11857173285757706,0.1328125
idqn_local_reward:matched_support - idqn:matched_support,discovery_rate,10,-0.0377777777777778,-0.09959192678335702,0.024036371227801417,0.2265625
vdn:matched_support - shared_idqn:matched_support,discovery_rate,10,-0.031111111111111135,-0.09904863884118145,0.03682641661895919,0.353515625
qmix:matched_support - shared_idqn:matched_support,discovery_rate,10,0.0066666666666666706,-0.07370762183315058,0.08704095516648391,0.900390625
