access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,episode_return_mean_per_agent,episode_return_sum,eval_episode,forbid_sense,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,phase,piggyback_sense_actions,protocol,reward_version,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,train_env_protocol,train_episodes,train_network,train_node_count,train_slots,true_edges_seen,tx_actions
,,,,,,,uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1860,0.93,8.907,8.907,wang2025_isac_tables,0,,,,,0,1.0,0.0,1,0.1,0,200.0,0.9166018279251181,-0.17182891899581856,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.9149591129900685,10,200.0,200.0,200.0,,969,uniform_trx_idle_random,,1,1031,2000,2000.0,21170708,21170708,0,0.8633633633633634,0.00854047163798598,0.13663663663663664,7845,666,200,,,,,,,45,969
,,,,,,,uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1856,0.928,9.057,9.057,wang2025_isac_tables,1,,,,,0,1.0,0.0,1,0.1,0,200.0,0.8108051773045689,-2.80314483618191,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.361316630180093,10,200.0,200.0,200.0,,1019,uniform_trx_idle_random,,1,981,2000,2000.0,21170709,21170709,0,0.7504078303425775,0.009885473176612418,0.2495921696574225,8295,613,200,,,,,,,45,1019
,,,,,,,uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1854,0.927,8.898000000000001,8.898000000000001,wang2025_isac_tables,2,,,,,0,1.0,0.0,1,0.1,0,200.0,0.9236127770007495,1.6444046541659758,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,8.258276149709568,10,200.0,200.0,200.0,,966,uniform_trx_idle_random,,1,1034,2000,2000.0,21170710,21170710,0,0.8820895522388059,0.009600614439324117,0.11791044776119403,7812,670,200,,,,,,,45,966
,,,,,,,uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1845,0.9225,9.09,9.09,wang2025_isac_tables,3,,,,,0,1.0,0.0,1,0.1,0,200.0,0.9421706531592915,2.273415780091864,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.572084276538915,10,200.0,200.0,200.0,,1030,uniform_trx_idle_random,,1,970,2000,2000.0,21170711,21170711,0,0.8688524590163934,0.01162928681618607,0.13114754098360656,8427,671,200,,,,,,,45,1030
,,,,,,,uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1857,0.9285,8.918999999999999,8.918999999999999,wang2025_isac_tables,4,,,,,0,1.0,0.0,1,0.1,0,200.0,0.8368375895516242,-2.4641542508360175,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,6.67624565823902,10,200.0,200.0,200.0,,973,uniform_trx_idle_random,,1,1027,2000,2000.0,21170712,21170712,0,0.7756315007429421,0.0108257804632427,0.22436849925705796,7944,673,200,,,,,,,45,973
,,,,,,,wang2025_isac_tables,0,0,1.0,0.06666666666666667,0.0,7,3,1.5,0.33557046979865773,0.0015,0.06666666666666667,1660,0.83,8.94,2.98,wang2025_isac_tables,0,,,,,0,0.6,0.0,4,0.4,0,190.15555555555557,0.9172053962332161,-0.9294831826294615,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.9149591129900685,10,200.0,200.0,200.0,,980,wang2025_isac_tables,,1,1020,2000,666.6666666666666,21170708,21170708,0,0.8666121112929623,0.007732571972400666,0.13338788870703763,8406,1222,200,,,,,,,45,980
,,,,,,,wang2025_isac_tables,0,0,1.0,0.1111111111111111,0.0,5,5,2.5,0.5574136008918618,0.0025,0.1111111111111111,1607,0.8035,8.97,1.794,wang2025_isac_tables,1,,,,,0,0.3,0.0,5,0.5,0,184.93333333333334,0.7956871948412709,-3.913845821155385,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.361316630180093,10,200.0,200.0,200.0,,990,wang2025_isac_tables,,1,1010,2000,400.0,21170709,21170709,0,0.748020158387329,0.009037191518943343,0.251979841612671,8631,1389,200,,,,,,,45,990
,,,,,,,wang2025_isac_tables,0,0,1.0,0.08888888888888889,0.0,6,4,2.0,0.447878177135819,0.002,0.08888888888888889,1647,0.8235,8.931000000000001,2.2327500000000002,wang2025_isac_tables,2,,,,,0,0.5,0.0,5,0.5,0,190.17777777777778,0.9109623562578938,1.3889274270398722,common_env_action_policy,Wang sensing-table action policy,gauss_markov,8.258276149709568,10,200.0,200.0,200.0,,977,wang2025_isac_tables,,1,1023,2000,500.0,21170710,21170710,0,0.8459616985845129,0.009243009243009243,0.1540383014154871,8547,1201,200,,,,,,,45,977
,,,,,,,wang2025_isac_tables,0,0,1.0,0.1111111111111111,0.0,6,5,2.5,0.5570409982174688,0.0025,0.1111111111111111,1642,0.821,8.976,1.7952000000000001,wang2025_isac_tables,3,,,,,0,0.5,0.0,5,0.5,0,181.53333333333333,0.9155535301358891,0.4667643680825336,common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.572084276538915,10,200.0,200.0,200.0,,992,wang2025_isac_tables,,1,1008,2000,400.0,21170711,21170711,0,0.8563829787234043,0.009513742071881607,0.14361702127659576,8514,1316,200,,,,,,,45,992
,,,,,,,wang2025_isac_tables,0,0,1.0,0.1111111111111111,0.0,5,5,2.5,0.5550005550005551,0.0025,0.1111111111111111,1618,0.809,9.008999999999999,1.8017999999999996,wang2025_isac_tables,4,,,,,0,0.1,0.0,3,0.3,0,180.9111111111111,0.821780452547597,-3.3336241345289075,common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.67624565823902,10,200.0,200.0,200.0,,1003,wang2025_isac_tables,,1,997,2000,400.0,21170712,21170712,0,0.7707692307692308,0.00904977375565611,0.22923076923076924,8619,1300,200,,,,,,,45,1003
0,0.0,0,0.0,2000,1.0,2000,marl_wang_isac_tables_discovery_first,0,2,0.9047619047619048,0.40425531914893614,0.10526315789473684,1,19,10.850942318675044,2.3099601835810466,0.010850942318675044,0.4222222222222222,590,0.336950314106225,8.225249999999999,0.43290789473684205,wang2025_isac_tables,0,5.558004379272461,55.580047607421875,0,1,249,0.0,1.6003096773628551,10,1.0,1,163.51111111111112,0.9148150087282703,0.19417781310742055,trained_marl,"MARL + Wang ISAC tables, discovery-first",gauss_markov,8.103656827616101,10,200.0,200.0,200.0,eval_stochastic,970,marl_wang_isac_tables_discovery_first,discovery_first,1,781,1751,92.15789473684211,2026084001,2026084001,0,0.8588030214991285,0.007182858534209886,0.1411969785008716,8214,1721,200,0.027790023013949394,wang2025_isac_tables,100,contention_shared,10,200,45,970
0,0.0,0,0.0,2000,1.0,2000,marl_wang_isac_tables_discovery_first,0,0,1.0,0.4888888888888889,0.0,1,22,12.835472578763126,2.7560288130285,0.012835472578763127,0.4888888888888889,567,0.3308051341890315,7.9825,0.3628409090909091,wang2025_isac_tables,1,6.586788177490234,65.86788940429688,1,1,286,0.0,1.8239744181182427,10,1.0,1,152.86666666666667,0.8493335885483614,-3.0099638277366303,trained_marl,"MARL + Wang ISAC tables, discovery-first",gauss_markov,7.851100278166674,10,200.0,200.0,200.0,eval_stochastic,923,marl_wang_isac_tables_discovery_first,discovery_first,1,791,1714,77.9090909090909,2026084002,2026084002,0,0.7903525046382189,0.009312412297486925,0.20964749536178107,7839,1617,200,0.03293394297361374,wang2025_isac_tables,100,contention_shared,10,200,45,923
