action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1860,0.93,8.907,8.907,wang2025_isac_tables,0,0,1.0,0.0,1,0.1,0,200.0,0.9166018279251181,-0.17182891899581856,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.9149591129900685,10,200.0,200.0,200.0,969,uniform_trx_idle_random,1,1031,2000,2000.0,21170708,21170708,0,0.8633633633633634,0.00854047163798598,0.13663663663663664,7845,666,200,45,969
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1856,0.928,9.057,9.057,wang2025_isac_tables,1,0,1.0,0.0,1,0.1,0,200.0,0.8108051773045689,-2.80314483618191,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.361316630180093,10,200.0,200.0,200.0,1019,uniform_trx_idle_random,1,981,2000,2000.0,21170709,21170709,0,0.7504078303425775,0.009885473176612418,0.2495921696574225,8295,613,200,45,1019
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1854,0.927,8.898000000000001,8.898000000000001,wang2025_isac_tables,2,0,1.0,0.0,1,0.1,0,200.0,0.9236127770007495,1.6444046541659758,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,8.258276149709568,10,200.0,200.0,200.0,966,uniform_trx_idle_random,1,1034,2000,2000.0,21170710,21170710,0,0.8820895522388059,0.009600614439324117,0.11791044776119403,7812,670,200,45,966
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1845,0.9225,9.09,9.09,wang2025_isac_tables,3,0,1.0,0.0,1,0.1,0,200.0,0.9421706531592915,2.273415780091864,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.572084276538915,10,200.0,200.0,200.0,1030,uniform_trx_idle_random,1,970,2000,2000.0,21170711,21170711,0,0.8688524590163934,0.01162928681618607,0.13114754098360656,8427,671,200,45,1030
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1857,0.9285,8.918999999999999,8.918999999999999,wang2025_isac_tables,4,0,1.0,0.0,1,0.1,0,200.0,0.8368375895516242,-2.4641542508360175,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,6.67624565823902,10,200.0,200.0,200.0,973,uniform_trx_idle_random,1,1027,2000,2000.0,21170712,21170712,0,0.7756315007429421,0.0108257804632427,0.22436849925705796,7944,673,200,45,973
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1866,0.933,9.027,9.027,wang2025_isac_tables,5,0,1.0,0.0,1,0.1,0,200.0,0.8973704839984236,-0.11339061753688977,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.838124877760052,10,200.0,200.0,200.0,1009,uniform_trx_idle_random,1,991,2000,2000.0,21170713,21170713,0,0.8668831168831169,0.010248901903367497,0.1331168831168831,8196,616,200,45,1009
uniform_trx_idle_random,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11170688114387846,0.0005,0.022222222222222223,1844,0.922,8.952,8.952,wang2025_isac_tables,6,0,0.8,0.0,2,0.2,0,197.7111111111111,0.9113520577074704,0.7613108679499647,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,6.435454552255112,10,200.0,200.0,200.0,984,uniform_trx_idle_random,1,1016,2000,2000.0,21170714,21170714,0,0.8270348837209303,0.010447761194029851,0.17296511627906977,8040,688,200,45,984
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1854,0.927,8.993999999999998,8.993999999999998,wang2025_isac_tables,7,0,1.0,0.0,1,0.1,0,200.0,0.8423750511505363,-2.128844860171165,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.853434491073446,10,200.0,200.0,200.0,998,uniform_trx_idle_random,1,1002,2000,2000.0,21170715,21170715,0,0.792341678939617,0.009327442317133039,0.20765832106038293,8148,679,200,45,998
uniform_trx_idle_random,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11368804001819006,0.0005,0.022222222222222223,1855,0.9275,8.796000000000001,8.796000000000001,wang2025_isac_tables,8,0,0.8,0.0,2,0.2,0,196.15555555555557,0.9013374894213186,0.9377526285652406,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.391841657113522,10,200.0,200.0,200.0,932,uniform_trx_idle_random,1,1068,2000,2000.0,21170716,21170716,0,0.8571428571428571,0.009815469179426776,0.14285714285714285,7641,595,200,45,932
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1876,0.938,8.925,8.925,wang2025_isac_tables,9,0,1.0,0.0,1,0.1,0,200.0,0.8761068930952857,-0.5632395039991572,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,8.402009753065775,10,200.0,200.0,200.0,975,uniform_trx_idle_random,1,1025,2000,2000.0,21170717,21170717,0,0.8092868988391376,0.008631632394008631,0.19071310116086235,7878,603,200,45,975
uniform_trx_idle_random,0,0,1.0,0.044444444444444446,0.0,8,2,1.0,0.22067747986317995,0.001,0.044444444444444446,1879,0.9395,9.063,4.5315,wang2025_isac_tables,10,0,0.6,0.0,2,0.2,0,197.42222222222222,0.9372656037797025,3.3809257306000515,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.6344744852038104,10,200.0,200.0,200.0,1021,uniform_trx_idle_random,1,979,2000,1000.0,21170718,21170718,0,0.8644859813084113,0.009216038300418911,0.13551401869158877,8355,642,200,45,1021
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1843,0.9215,8.808000000000002,8.808000000000002,wang2025_isac_tables,11,0,1.0,0.0,1,0.1,0,200.0,0.828914705505811,-3.1575178733300326,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.413251927102448,10,200.0,200.0,200.0,936,uniform_trx_idle_random,1,1064,2000,2000.0,21170719,21170719,0,0.7732115677321156,0.0103359173126615,0.2267884322678843,7740,657,200,45,936
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1846,0.923,8.958,8.958,wang2025_isac_tables,12,0,1.0,0.0,1,0.1,0,200.0,0.7880734184724693,-3.1990703436518184,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.726502235137913,10,200.0,200.0,200.0,986,uniform_trx_idle_random,1,1014,2000,2000.0,21170720,21170720,0,0.7275494672754946,0.01066468253968254,0.2724505327245053,8064,657,200,45,986
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1838,0.919,9.011999999999999,9.011999999999999,wang2025_isac_tables,13,0,1.0,0.0,1,0.1,0,200.0,0.8368282245465821,-1.6807674103616341,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,8.30641981407562,10,200.0,200.0,200.0,1004,uniform_trx_idle_random,1,996,2000,2000.0,21170721,21170721,0,0.7803379416282642,0.010397553516819572,0.2196620583717358,8175,651,200,45,1004
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1842,0.921,8.918999999999999,8.918999999999999,wang2025_isac_tables,14,0,1.0,0.0,1,0.1,0,200.0,0.8315754774972529,-2.8833224136567948,common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.2842813882609025,10,200.0,200.0,200.0,973,uniform_trx_idle_random,1,1027,2000,2000.0,21170722,21170722,0,0.7772435897435898,0.008235145065247688,0.22275641025641027,7893,624,200,45,973
