collision_count_control,collision_count_delta,collision_count_treatment,collision_penalized_discovery_rate_control,collision_penalized_discovery_rate_delta,collision_penalized_discovery_rate_treatment,control,discovery_rate_control,discovery_rate_delta,discovery_rate_treatment,episode,lambda2_control,lambda2_delta,lambda2_treatment,node_count,rf_chains,treatment
137,-73.0,64,0.23076923076923078,0.13620324629498942,0.3669724770642202,wang2025_isac_no_collab,0.9333333333333333,-0.04444444444444451,0.8888888888888888,0,6.999999999999995,8.881784197001252e-16,6.999999999999996,10,1,budgeted_collision_aware_isac
211,-147.0,64,0.16796875,0.1990037270642202,0.3669724770642202,wang2025_comm_tables,0.9555555555555556,-0.06666666666666676,0.8888888888888888,0,6.999999999999998,-2.6645352591003757e-15,6.999999999999996,10,1,budgeted_collision_aware_isac
177,-113.0,64,0.19369369369369369,0.17327878337052652,0.3669724770642202,wang2025_isac_tables,0.9555555555555556,-0.06666666666666676,0.8888888888888888,0,8.0,-1.0000000000000044,6.999999999999996,10,1,budgeted_collision_aware_isac
302,-238.0,64,0.1239193083573487,0.2430531687068715,0.3669724770642202,improved_rl_isac,0.9555555555555556,-0.06666666666666676,0.8888888888888888,0,8.0,-1.0000000000000044,6.999999999999996,10,1,budgeted_collision_aware_isac
0,64.0,64,0.0,0.3669724770642202,0.3669724770642202,uniform_random,0.0,0.8888888888888888,0.8888888888888888,0,0.0,6.999999999999996,6.999999999999996,10,1,budgeted_collision_aware_isac
83,-20.0,63,0.2578125,0.11255787037037035,0.37037037037037035,wang2025_isac_no_collab,0.7333333333333333,0.15555555555555556,0.8888888888888888,1,4.357020172720118,1.9109290197110012,6.267949192431119,10,1,budgeted_collision_aware_isac
197,-134.0,63,0.16942148760330578,0.20094888276706457,0.37037037037037035,wang2025_comm_tables,0.9111111111111111,-0.022222222222222254,0.8888888888888888,1,6.585786437626905,-0.31783724519578627,6.267949192431119,10,1,budgeted_collision_aware_isac
167,-104.0,63,0.21226415094339623,0.15810621942697412,0.37037037037037035,wang2025_isac_tables,1.0,-0.11111111111111116,0.8888888888888888,1,9.999999999999993,-3.732050807568874,6.267949192431119,10,1,budgeted_collision_aware_isac
299,-236.0,63,0.11918604651162791,0.25118432385874245,0.37037037037037035,improved_rl_isac,0.9111111111111111,-0.022222222222222254,0.8888888888888888,1,6.585786437626904,-0.3178372451957854,6.267949192431119,10,1,budgeted_collision_aware_isac
0,63.0,63,0.044444444444444446,0.3259259259259259,0.37037037037037035,uniform_random,0.044444444444444446,0.8444444444444444,0.8888888888888888,1,0.0,6.267949192431119,6.267949192431119,10,1,budgeted_collision_aware_isac
79,-20.0,59,0.28225806451612906,0.1215880893300248,0.40384615384615385,wang2025_isac_no_collab,0.7777777777777778,0.15555555555555556,0.9333333333333333,2,4.72072032671218,2.279279673287819,6.999999999999999,10,1,budgeted_collision_aware_isac
257,-198.0,59,0.1456953642384106,0.2581507896077433,0.40384615384615385,wang2025_comm_tables,0.9777777777777777,-0.0444444444444444,0.9333333333333333,2,8.000000000000005,-1.0000000000000062,6.999999999999999,10,1,budgeted_collision_aware_isac
239,-180.0,59,0.15140845070422534,0.2524377031419285,0.40384615384615385,wang2025_isac_tables,0.9555555555555556,-0.022222222222222254,0.9333333333333333,2,8.0,-1.0000000000000009,6.999999999999999,10,1,budgeted_collision_aware_isac
291,-232.0,59,0.13095238095238096,0.2728937728937729,0.40384615384615385,improved_rl_isac,0.9777777777777777,-0.0444444444444444,0.9333333333333333,2,8.000000000000002,-1.0000000000000027,6.999999999999999,10,1,budgeted_collision_aware_isac
0,59.0,59,0.0,0.40384615384615385,0.40384615384615385,uniform_random,0.0,0.9333333333333333,0.9333333333333333,2,0.0,6.999999999999999,6.999999999999999,10,1,budgeted_collision_aware_isac
123,-49.0,74,0.23214285714285715,0.1292016806722689,0.36134453781512604,wang2025_isac_no_collab,0.8666666666666667,0.0888888888888889,0.9555555555555556,3,4.913869802348506,3.0861301976514994,8.000000000000005,10,1,budgeted_collision_aware_isac
141,-67.0,74,0.22043010752688172,0.14091443028824432,0.36134453781512604,wang2025_comm_tables,0.9111111111111111,0.04444444444444451,0.9555555555555556,3,5.829913513373966,2.1700864866260394,8.000000000000005,10,1,budgeted_collision_aware_isac
207,-133.0,74,0.16666666666666666,0.19467787114845939,0.36134453781512604,wang2025_isac_tables,0.9333333333333333,0.022222222222222254,0.9555555555555556,3,6.00000000000001,1.9999999999999956,8.000000000000005,10,1,budgeted_collision_aware_isac
277,-203.0,74,0.13043478260869565,0.2309097552064304,0.36134453781512604,improved_rl_isac,0.9333333333333333,0.022222222222222254,0.9555555555555556,3,7.000000000000001,1.0000000000000044,8.000000000000005,10,1,budgeted_collision_aware_isac
0,74.0,74,0.0,0.36134453781512604,0.36134453781512604,uniform_random,0.0,0.9555555555555556,0.9555555555555556,3,0.0,8.000000000000005,8.000000000000005,10,1,budgeted_collision_aware_isac
72,-3.0,69,0.3162393162393162,0.0521817363922627,0.3684210526315789,wang2025_isac_no_collab,0.8222222222222222,0.11111111111111116,0.9333333333333333,4,3.8943376861833987,4.105662313816596,7.999999999999995,10,1,budgeted_collision_aware_isac
287,-218.0,69,0.1355421686746988,0.23287888395688014,0.3684210526315789,wang2025_comm_tables,1.0,-0.06666666666666665,0.9333333333333333,4,9.999999999999993,-1.9999999999999982,7.999999999999995,10,1,budgeted_collision_aware_isac
