action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
wang2025_isac_tables,2,2,0.9090909090909091,0.425531914893617,0.1,1,20,5.0,2.2439133849433412,0.005,0.4444444444444444,2385,0.59625,8.913,0.44565,wang2025_isac_tables,0,0,0.0,1.3403100444152203,10,1.0,0,150.75555555555556,0.7476171682696693,-4.601439872490418,rf_probe,Wang sensing-table RF=2,gauss_markov,6.683005473053133,10,200.0,200.0,200.0,971,wang2025_isac_tables_rf2,2,1029,4000,200.0,21212708,21212708,0,0.7113740959894806,0.007984163642362256,0.2886259040105194,15155,3042,200,45,971
wang2025_isac_tables,2,2,0.9230769230769231,0.5106382978723404,0.08333333333333333,1,24,6.0,2.684563758389262,0.006,0.5333333333333333,2521,0.63025,8.94,0.3725,wang2025_isac_tables,1,0,0.0,2.1633257384059577,10,1.0,0,139.2,0.8516851213649269,-1.1491324703503993,rf_probe,Wang sensing-table RF=2,gauss_markov,7.775293456947852,10,200.0,200.0,200.0,980,wang2025_isac_tables_rf2,2,1020,4000,166.66666666666666,21212709,21212709,0,0.8092749836708034,0.007753958428357334,0.1907250163291966,15347,3062,200,45,980
wang2025_isac_tables,2,2,0.9285714285714286,0.5531914893617021,0.07692307692307693,1,26,6.5,2.889852172946538,0.0065,0.5777777777777777,2487,0.62175,8.997,0.3460384615384615,wang2025_isac_tables,2,0,0.0,1.895442019066134,10,1.0,0,123.26666666666667,0.8610500843035082,-1.5532981629533629,rf_probe,Wang sensing-table RF=2,gauss_markov,8.541112516004342,10,200.0,200.0,200.0,999,wang2025_isac_tables_rf2,2,1001,4000,153.84615384615384,21212710,21212710,0,0.8157664233576642,0.008310600773964347,0.18423357664233578,15763,3425,200,45,999
wang2025_isac_tables,2,2,0.92,0.48936170212765956,0.08695652173913043,1,23,5.75,2.582238688671831,0.00575,0.5111111111111111,2536,0.634,8.907,0.3872608695652174,wang2025_isac_tables,3,0,0.0,1.8689660755879018,10,1.0,0,138.73333333333332,0.8150470492648364,-4.139037376788666,rf_probe,Wang sensing-table RF=2,gauss_markov,7.947594497907633,10,200.0,200.0,200.0,969,wang2025_isac_tables_rf2,2,1031,4000,173.91304347826087,21212711,21212711,0,0.756639901173564,0.008929157639025671,0.24336009882643608,15231,3238,200,45,969
wang2025_isac_tables,2,2,0.9354838709677419,0.6170212765957447,0.06896551724137931,1,29,7.25,3.209384683488269,0.00725,0.6444444444444445,2489,0.62225,9.036,0.3115862068965517,wang2025_isac_tables,4,0,0.0,2.9517428236241807,10,1.0,0,115.55555555555556,0.7919358518145254,-2.56080826763143,rf_probe,Wang sensing-table RF=2,gauss_markov,7.418144280286825,10,200.0,200.0,200.0,1012,wang2025_isac_tables_rf2,2,988,4000,137.93103448275863,21212712,21212712,0,0.7492886500158078,0.008848462347627003,0.2507113499841922,16161,3163,200,45,1012
wang2025_isac_tables,2,4,0.8461538461538461,0.4489795918367347,0.18181818181818182,1,22,5.5,2.4154589371980677,0.0055,0.4888888888888889,2477,0.61925,9.108,0.41400000000000003,wang2025_isac_tables,5,0,0.0,1.8407017108606902,10,1.0,0,134.0,0.8428937847459957,-2.303264938937672,rf_probe,Wang sensing-table RF=2,gauss_markov,7.180516254696035,10,200.0,200.0,200.0,1036,wang2025_isac_tables_rf2,2,964,4000,181.8181818181818,21212713,21212713,0,0.7908878504672897,0.009032879682042635,0.2091121495327103,16606,3424,200,45,1036
wang2025_isac_tables,2,6,0.8064516129032258,0.49019607843137253,0.24,1,25,6.25,2.759381898454746,0.00625,0.5555555555555556,2587,0.64675,9.06,0.3624,wang2025_isac_tables,6,0,0.0,2.2844333273337685,10,1.0,0,142.0,0.7479266987122986,-4.83102572055288,rf_probe,Wang sensing-table RF=2,gauss_markov,7.509565142316353,10,200.0,200.0,200.0,1020,wang2025_isac_tables_rf2,2,980,4000,160.0,21212714,21212714,0,0.7098515519568152,0.00967032967032967,0.2901484480431849,15925,2964,200,45,1020
wang2025_isac_tables,2,2,0.9166666666666666,0.46808510638297873,0.09090909090909091,1,22,5.5,2.4330900243309004,0.0055,0.4888888888888889,2451,0.61275,9.042,0.411,wang2025_isac_tables,7,0,0.0,1.7837556116184066,10,1.0,0,130.6,0.8475146791915834,-1.582082762652279,rf_probe,Wang sensing-table RF=2,gauss_markov,7.558041573601945,10,200.0,200.0,200.0,1014,wang2025_isac_tables_rf2,2,986,4000,181.8181818181818,21212715,21212715,0,0.8028169014084507,0.008845698623310284,0.19718309859154928,16053,3195,200,45,1014
wang2025_isac_tables,2,0,1.0,0.6666666666666666,0.0,1,30,7.5,3.3134526176275685,0.0075,0.6666666666666666,2521,0.63025,9.053999999999998,0.30179999999999996,wang2025_isac_tables,8,0,0.0,2.7611869379800082,10,1.0,0,119.15555555555555,0.858196670014689,-1.0555351846496057,rf_probe,Wang sensing-table RF=2,gauss_markov,7.3252717422830385,10,200.0,200.0,200.0,1018,wang2025_isac_tables_rf2,2,982,4000,133.33333333333334,21212716,21212716,0,0.815806246016571,0.008455082374883433,0.18419375398342894,16085,3138,200,45,1018
wang2025_isac_tables,2,2,0.9047619047619048,0.40425531914893614,0.10526315789473684,1,19,4.75,2.087453306965502,0.00475,0.4222222222222222,2650,0.6625,9.102,0.4790526315789474,wang2025_isac_tables,9,0,0.0,0.3992026838896712,10,1.0,0,151.13333333333333,0.8001380309684613,-3.029695652126506,rf_probe,Wang sensing-table RF=2,gauss_markov,7.580359209551259,10,200.0,200.0,200.0,1034,wang2025_isac_tables_rf2,2,966,4000,210.52631578947367,21212717,21212717,0,0.754228512254056,0.007974481658692184,0.24577148774594407,16302,2897,200,45,1034
wang2025_isac_tables,3,81,0.31932773109243695,0.30158730158730157,2.1315789473684212,1,38,6.333333333333333,4.230683589401025,0.006333333333333333,0.8444444444444444,3224,0.5373333333333333,8.982,0.23636842105263156,wang2025_isac_tables,0,0,0.0,4.676595723913523,10,1.0,0,73.44444444444444,0.8994198367269433,-0.24176037647933402,rf_probe,Wang sensing-table RF=3,gauss_markov,7.875879075263455,10,200.0,200.0,200.0,994,wang2025_isac_tables_rf3,3,1006,6000,157.89473684210526,21213708,21213708,0,0.8447696737044146,0.008351240476655596,0.15523032629558542,20476,4168,200,45,994
wang2025_isac_tables,3,40,0.48717948717948717,0.4470588235294118,1.0526315789473684,1,38,6.333333333333333,4.21379463295631,0.006333333333333333,0.8444444444444444,3223,0.5371666666666667,9.018,0.23731578947368423,wang2025_isac_tables,1,0,0.0,5.771671784053363,10,1.0,0,77.37777777777778,0.9168410789812302,-0.0013671193638978582,rf_probe,Wang sensing-table RF=3,gauss_markov,5.716612343993562,10,200.0,200.0,200.0,1006,wang2025_isac_tables_rf3,3,994,6000,157.89473684210526,21213709,21213709,0,0.8573580034423408,0.007726640111340404,0.14264199655765922,20837,4648,200,45,1006
