action_policy_protocol,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,paired_seed,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,true_edges_seen,tx_actions
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1837,0.9185,8.952,8.952,wang2025_isac_tables,0,0,1.0,0.0,1,0.1,0,200.0,0.9047824620647957,0.6148351438413268,paired_common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,8.103656827616101,10,200.0,200.0,200.0,2026084001,984,uniform_trx_idle_random,1,1016,2000,2000.0,2026084001,2026084001,0,0.8355048859934854,0.010315684812329107,0.16449511400651465,8046,614,200,45,984
wang2025_isac_tables,0,0,1.0,0.3111111111111111,0.0,2,14,7.0,1.5519343753464139,0.007,0.3111111111111111,1229,0.6145,9.021,0.644357142857143,wang2025_isac_tables,0,0,0.1,2.697736357904963e-21,9,0.9,0,180.2888888888889,0.8819818564940293,-0.4588740766808619,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,8.103656827616101,10,200.0,200.0,200.0,2026084001,1007,wang2025_isac_tables,1,993,2000,142.85714285714286,2026084001,2026084001,0,0.8457869634340223,0.007208464132077665,0.15421303656597773,8601,1887,200,45,1007
budgeted_collision_aware_isac,0,0,1.0,0.08888888888888889,0.0,6,4,2.0242914979757085,0.5320563979781857,0.0020242914979757085,0.08888888888888889,1563,0.7909919028340081,7.518,1.8795,wang2025_isac_tables,0,24,0.4,0.0,4,0.4,0,193.17777777777778,0.9208807642251963,0.6952932580410093,paired_common_env_action_policy,Budgeted ISAC rule,gauss_markov,8.103656827616101,10,200.0,200.0,200.0,2026084001,528,budgeted_collision_aware_isac,1,1448,1976,494.0,2026084001,2026084001,0,0.8526490066225165,0.009717514124293785,0.14735099337748345,4425,604,200,45,528
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1872,0.936,8.916,8.916,wang2025_isac_tables,0,0,1.0,0.0,1,0.1,0,200.0,0.8718591635542068,-1.4183244617589879,paired_common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,7.851100278166674,10,200.0,200.0,200.0,2026084002,972,uniform_trx_idle_random,1,1028,2000,2000.0,2026084002,2026084002,0,0.8218694885361552,0.009346974864216243,0.1781305114638448,7917,567,200,45,972
wang2025_isac_tables,0,0,1.0,0.2222222222222222,0.0,2,10,5.0,1.1118523460084504,0.005,0.2222222222222222,1246,0.623,8.993999999999998,0.8993999999999998,wang2025_isac_tables,0,0,0.1,3.462533386525429e-16,9,0.9,0,184.35555555555555,0.8536363930198525,-2.2559682196938247,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.851100278166674,10,200.0,200.0,200.0,2026084002,998,wang2025_isac_tables,1,1002,2000,200.0,2026084002,2026084002,0,0.8022598870056498,0.007089725708972571,0.1977401129943503,8604,1947,200,45,998
budgeted_collision_aware_isac,0,0,1.0,0.06666666666666667,0.0,7,3,1.5151515151515151,0.39909538379672743,0.0015151515151515152,0.06666666666666667,1476,0.7454545454545455,7.5169999999999995,2.5056666666666665,wang2025_isac_tables,0,20,0.6,0.0,4,0.4,0,194.35555555555555,0.8628403140853411,-2.2331851299418424,paired_common_env_action_policy,Budgeted ISAC rule,gauss_markov,7.851100278166674,10,200.0,200.0,200.0,2026084002,524,budgeted_collision_aware_isac,1,1456,1980,660.0,2026084002,2026084002,0,0.8018018018018018,0.007078080070780801,0.1981981981981982,4521,888,200,45,524
uniform_trx_idle_random,0,0,1.0,0.022222222222222223,0.0,9,1,0.5,0.11215791834903543,0.0005,0.022222222222222223,1857,0.9285,8.916,8.916,wang2025_isac_tables,0,0,0.8,0.0,2,0.2,0,195.7111111111111,0.9247930273807867,0.9538329425388419,paired_common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,6.8019318790311205,10,200.0,200.0,200.0,2026084003,972,uniform_trx_idle_random,1,1028,2000,2000.0,2026084003,2026084003,0,0.8457792207792207,0.01038500506585613,0.15422077922077923,7896,616,200,45,972
wang2025_isac_tables,0,0,1.0,0.2,0.0,2,9,4.5,1.0121457489878543,0.0045,0.2,1296,0.648,8.892,0.988,wang2025_isac_tables,0,0,0.0,-2.84490314042149e-16,8,0.8,0,184.0222222222222,0.9134446735504436,-0.5868322754739882,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.8019318790311205,10,200.0,200.0,200.0,2026084003,964,wang2025_isac_tables,1,1036,2000,222.22222222222223,2026084003,2026084003,0,0.8495821727019499,0.008587324625060474,0.15041782729805014,8268,1795,200,45,964
budgeted_collision_aware_isac,0,0,1.0,0.08888888888888889,0.0,6,4,2.0253164556962027,0.528663472658186,0.0020253164556962027,0.08888888888888889,1475,0.7468354430379747,7.56625,1.8915625,wang2025_isac_tables,0,25,0.3,0.0,3,0.3,0,193.0,0.9201595843355004,0.28870119805254485,paired_common_env_action_policy,Budgeted ISAC rule,gauss_markov,6.8019318790311205,10,200.0,200.0,200.0,2026084003,545,budgeted_collision_aware_isac,1,1430,1975,493.75,2026084003,2026084003,0,0.846242774566474,0.009816474605207,0.15375722543352602,4686,865,200,45,545
uniform_trx_idle_random,0,0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0,1845,0.9225,9.018,9.018,wang2025_isac_tables,0,0,1.0,0.0,1,0.1,0,200.0,0.8771333156345916,-0.6068675909010889,paired_common_env_action_policy,Uniform TX/RX/IDLE random,gauss_markov,6.496741349304104,10,200.0,200.0,200.0,2026084004,1006,uniform_trx_idle_random,1,994,2000,2000.0,2026084004,2026084004,0,0.8422619047619048,0.009269423100378095,0.15773809523809523,8199,672,200,45,1006
