checkpoint,seed,delta_discovery_rate_full_minus_random_beam,full_discovery_rate,random_beam_discovery_rate,delta_lambda2,full_lambda2,random_beam_lambda2
40,2026084001,-0.022222222222222143,0.8,0.8222222222222222,0.38349194753061777,5.193041644940602,4.8095496974099845
40,2026084002,0.022222222222222143,0.7333333333333333,0.7111111111111111,0.19309703671282197,2.866107731604013,2.673010694891191
40,2026084003,0.11111111111111105,0.7333333333333333,0.6222222222222222,0.4810828007086445,3.8107043561327734,3.329621555424129
40,2026084004,-0.04444444444444451,0.6666666666666666,0.7111111111111111,0.34542979827425224,3.685854863556,3.3404250652817478
40,2026084005,-0.06666666666666676,0.5777777777777777,0.6444444444444445,-0.7030459690494246,2.4298707507214745,3.132916719770899
80,2026084001,0.06666666666666665,0.7111111111111111,0.6444444444444445,0.4447808827988786,3.4791271897852223,3.0343463069863437
80,2026084002,0.11111111111111116,0.6444444444444445,0.5333333333333333,1.7540051664567122,3.419350514095085,1.6653453476383726
80,2026084003,0.11111111111111116,0.6444444444444445,0.5333333333333333,0.9795710303913863,3.146270291607555,2.1666992612161686
80,2026084004,0.0,0.6666666666666666,0.6666666666666666,1.3543363880900285,4.089464845479746,2.7351284573897177
80,2026084005,-0.1555555555555555,0.4222222222222222,0.5777777777777777,-2.314122999013854,1.7761324906000164e-15,2.314122999013856
