access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,action_policy_protocol,candidate_source,case_id,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,env_protocol,episode,episode_return_mean_per_agent,episode_return_sum,eval_episode,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,marl_trained,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,method,method_family,method_label,mobility_model,moved_distance_mean_m,node_count,p90_delay_censored,p95_delay_censored,p99_delay_censored,p_idle,p_rx,p_tx,paired_seed,phase,piggyback_sense_actions,protocol,rf_chains,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,true_edges_seen,tx_actions
,,,,,,,wang2025_isac_tables,,0,0,1.0,0.3111111111111111,0.0,2,14,7.0,1.5519343753464139,0.007,0.3111111111111111,1229,0.6145,9.021,0.644357142857143,wang2025_isac_tables,0,,,,0,0.1,2.697736357904963e-21,9,0.9,0,180.2888888888889,0.8819818564940293,-0.4588740766808619,wang_random_mode_random_beam,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,8.103656827616101,10,200.0,200.0,200.0,,,,2026084001,,1007,wang2025_isac_tables,1,993,2000,142.85714285714286,2026084001,2026084001,0,0.8457869634340223,0.007208464132077665,0.15421303656597773,8601,1887,200,,45,1007
,,,,,,,wang2025_isac_tables,,0,0,1.0,0.2222222222222222,0.0,2,10,5.0,1.1118523460084504,0.005,0.2222222222222222,1246,0.623,8.993999999999998,0.8993999999999998,wang2025_isac_tables,0,,,,0,0.1,3.462533386525429e-16,9,0.9,0,184.35555555555555,0.8536363930198525,-2.2559682196938247,wang_random_mode_random_beam,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,7.851100278166674,10,200.0,200.0,200.0,,,,2026084002,,998,wang2025_isac_tables,1,1002,2000,200.0,2026084002,2026084002,0,0.8022598870056498,0.007089725708972571,0.1977401129943503,8604,1947,200,,45,998
,,,,,,,wang2025_isac_tables,,0,0,1.0,0.2,0.0,2,9,4.5,1.0121457489878543,0.0045,0.2,1296,0.648,8.892,0.988,wang2025_isac_tables,0,,,,0,0.0,-2.84490314042149e-16,8,0.8,0,184.0222222222222,0.9134446735504436,-0.5868322754739882,wang_random_mode_random_beam,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.8019318790311205,10,200.0,200.0,200.0,,,,2026084003,,964,wang2025_isac_tables,1,1036,2000,222.22222222222223,2026084003,2026084003,0,0.8495821727019499,0.008587324625060474,0.15041782729805014,8268,1795,200,,45,964
,,,,,,,wang2025_isac_tables,,0,0,1.0,0.24444444444444444,0.0,2,11,5.5,1.2379023182534323,0.0055,0.24444444444444444,1333,0.6665,8.886000000000001,0.8078181818181819,wang2025_isac_tables,0,,,,0,0.1,2.220446049250313e-16,9,0.9,0,180.0,0.8697033049519187,-1.452962420886402,wang_random_mode_random_beam,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.496741349304104,10,200.0,200.0,200.0,,,,2026084004,,962,wang2025_isac_tables,1,1038,2000,181.8181818181818,2026084004,2026084004,0,0.8048635824436536,0.007603186097031137,0.1951364175563464,8286,1686,200,,45,962
,,,,,,,wang2025_isac_tables,,0,0,1.0,0.26666666666666666,0.0,2,12,6.0,1.3284623048820987,0.006,0.26666666666666666,1306,0.653,9.033000000000001,0.7527500000000001,wang2025_isac_tables,0,,,,0,0.1,4.63158490513698e-17,9,0.9,0,179.86666666666667,0.7272912362618696,-4.012669409464036,wang_random_mode_random_beam,paired_common_env_action_policy,Wang sensing-table action policy,gauss_markov,6.678913882903602,10,200.0,200.0,200.0,,,,2026084005,,1011,wang2025_isac_tables,1,989,2000,166.66666666666666,2026084005,2026084005,0,0.679431747992588,0.009432849899775969,0.32056825200741196,8481,1619,200,,45,1011
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,2,0.9333333333333333,0.5957446808510638,0.07142857142857142,1,28,16.231884057971016,3.4517829075107094,0.016231884057971015,0.6222222222222222,664,0.3849275362318841,8.11175,0.28970535714285717,wang2025_isac_tables,0,8.640491485595703,86.4049072265625,0,275,0.0,2.4556028071626628,10,1.0,,148.4,0.909536609476641,-0.1633794535307064,old_marl_mode_wang_random_beam,,,gauss_markov,8.103656827616101,,200.0,200.0,200.0,,,,,eval_stochastic,956,wang2025_isac_tables,,769,1725,61.607142857142854,2026084001,2026084001,0,0.8611435239206534,0.007402014318650649,0.13885647607934656,8241,1714,200,0.04320245236158371,45,956
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,0,1.0,0.6666666666666666,0.0,1,30,17.636684303350968,3.758103410478845,0.01763668430335097,0.6666666666666666,704,0.4138741916519694,7.98275,0.26609166666666667,wang2025_isac_tables,1,9.057960510253906,90.57959747314453,1,299,0.0,3.2933929360243352,10,1.0,,146.0222222222222,0.8473290498801478,-2.652307717617865,old_marl_mode_wang_random_beam,,,gauss_markov,7.851100278166674,,200.0,200.0,200.0,,,,,eval_stochastic,935,wang2025_isac_tables,,766,1701,56.7,2026084002,2026084002,0,0.8024296675191815,0.009097801364670205,0.19757033248081843,7914,1564,200,0.04528979957103729,45,935
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,0,1.0,0.5555555555555556,0.0,1,25,14.359563469270535,3.065322012077368,0.014359563469270534,0.5555555555555556,612,0.35152211372774267,8.155750000000001,0.32623,wang2025_isac_tables,2,7.755429267883301,77.55429077148438,2,259,0.0,2.5228088214227107,10,1.0,,153.93333333333334,0.911664250501865,-0.619282741084302,old_marl_mode_wang_random_beam,,,gauss_markov,6.8019318790311205,,200.0,200.0,200.0,,,,,eval_stochastic,956,wang2025_isac_tables,,785,1741,69.64,2026084003,2026084003,0,0.8390688259109311,0.008662762323084432,0.16093117408906882,8196,1976,200,0.038777146488428116,45,956
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,0,1.0,0.6,0.0,1,27,15.32349602724177,3.2765002123657543,0.01532349602724177,0.6,650,0.3688989784335982,8.2405,0.30520370370370375,wang2025_isac_tables,3,8.077140808105469,80.77140808105469,3,238,0.0,2.721701156111134,10,1.0,,149.0222222222222,0.8715491242468416,-1.5248713071769338,old_marl_mode_wang_random_beam,,,gauss_markov,6.496741349304104,,200.0,200.0,200.0,,,,,eval_stochastic,965,wang2025_isac_tables,,797,1762,65.25925925925925,2026084004,2026084004,0,0.8232445520581114,0.007907091672844082,0.17675544794188863,8094,1652,200,0.04038570448756218,45,965
0,0.0,0,0.0,2000,1.0,2000,,wang_table,,0,1.0,0.6222222222222222,0.0,1,28,16.241299303944317,3.5260042815766273,0.016241299303944315,0.6222222222222222,698,0.4048723897911833,7.941000000000001,0.2836071428571429,wang2025_isac_tables,4,8.421711921691895,84.21710205078125,4,276,0.0,3.0677203245412303,10,1.0,,142.37777777777777,0.7131061289081271,-4.601573853478982,old_marl_mode_wang_random_beam,,,gauss_markov,6.678913882903602,,200.0,200.0,200.0,,,,,eval_stochastic,900,wang2025_isac_tables,,824,1724,61.57142857142857,2026084005,2026084005,0,0.6931012250161186,0.01016904384574749,0.30689877498388135,7572,1551,200,0.042108550667762756,45,900
