access_gate_aggressive_count,access_gate_aggressive_ratio,access_gate_backoff_count,access_gate_backoff_ratio,access_gate_normal_count,access_gate_normal_ratio,access_gate_total,algorithm,approx_kl,clip_fraction,collision_count,collision_normalized_efficiency,collision_penalized_discovery_rate,collisions_per_discovery_censored,connected_components,discovered_edges,discoveries_per_1000_scan_actions,discoveries_per_joule,discovery_per_scan_action,discovery_rate,empty_scan_count,empty_scan_ratio,energy_j,energy_per_discovery_censored_j,entropy,episode,episode_return_mean_per_agent,episode_return_sum,expert_bc_loss,idle_actions,isolated_node_ratio,lambda2,largest_component_size,lcc_ratio,mean_delay_censored,mean_sensing_pd,mean_sensing_snr_db,mobility_model,moved_distance_mean_m,n_beams,n_nodes,p90_delay_censored,p95_delay_censored,p99_delay_censored,piggyback_sense_actions,policy_loss,protocol,rx_actions,scan_actions,scan_actions_per_discovery_censored,scenario_seed,seed,sense_actions,sensing_detection_rate,sensing_false_alarm_ratio,sensing_miss_ratio,sensing_observations,sensing_target_observations,slots,step_reward_mean,step_reward_sum_mean,training_step,true_edges_seen,tx_actions,value_loss
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0020736680626869,0.0,0,1.0,0.5777777777777777,0.0,1,26,14.076881429344883,3.152948309837805,0.0140768814293448,0.5777777777777777,687,0.3719545208446129,8.24625,0.3171634615384615,3.0478992462158203,0,9.414045333862305,94.14044189453124,0.0,153,0.0,1.7164488380149312,10,1.0,146.53333333333333,0.8537562057571383,-1.4637726483249591,gauss_markov,7.856343767466629,105,10,200.0,200.0,200.0,889,-0.0012319577960298,wang2025_isac_tables,958,1847,71.03846153846153,2026091201,2026091201,0,0.79375,0.0087857330186205,0.20625,7626,1760,200,0.0470702201128006,0.4707022905349731,200,45,889,6.01685094833374
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0001360785462893,0.0,2,0.9310344827586208,0.574468085106383,0.074074074074074,1,27,14.484978540772532,3.417721518987342,0.0144849785407725,0.6,769,0.4125536480686695,7.899999999999999,0.2925925925925925,3.304762363433838,1,9.06966495513916,90.69664001464844,0.0,136,0.0,3.042175173104925,10,1.0,155.35555555555555,0.8745965374276489,-1.4154150084379074,gauss_markov,7.747709612620144,105,10,200.0,200.0,200.0,758,-0.0002223850439762,wang2025_isac_tables,1106,1864,69.03703703703704,2026091202,2026091202,0,0.8446054750402576,0.0081338964492413,0.1553945249597423,6393,1242,200,0.0453483201563358,0.4534832239151001,400,45,758,5.941422939300537
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0004156668065115,0.0,0,1.0,0.6,0.0,1,27,14.65002712967987,3.470771603946396,0.0146500271296798,0.6,821,0.4454693434617471,7.779249999999999,0.2881203703703703,3.3342612981796265,2,9.312582015991213,93.12580871582033,0.0,157,0.0,1.9458741533363948,10,1.0,144.04444444444445,0.9350289298362712,2.389862689788328,gauss_markov,7.749743442030041,105,10,200.0,200.0,200.0,737,-0.0004134583794517,wang2025_isac_tables,1106,1843,68.25925925925925,2026091203,2026091203,0,0.88759367194005,0.007478122513922,0.11240632805995,6285,1201,200,0.0465629026293754,0.4656290709972381,600,45,737,6.215800285339356
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,7.447017502271169e-05,0.0,0,1.0,0.4666666666666667,0.0,1,21,11.272141706924316,2.7500409232280245,0.0112721417069243,0.4666666666666667,819,0.4396135265700483,7.636249999999999,0.3636309523809523,3.3132768869400024,3,6.949448585510254,69.49449157714844,0.0,137,0.0,1.8300594634539225,10,1.0,163.0,0.8727501291828333,-0.9182886422465196,gauss_markov,6.716621966194246,105,10,200.0,200.0,200.0,671,-0.0002436621537196,wang2025_isac_tables,1192,1863,88.71428571428571,2026091204,2026091204,0,0.8258317025440313,0.0083422080227192,0.1741682974559686,5634,1022,200,0.0347472466528415,0.3474724590778351,800,45,671,3.624336838722229
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.000524070941843,0.0,0,1.0,0.6,0.0,1,27,14.52393760086068,3.574620196604111,0.0145239376008606,0.6,819,0.4405594405594406,7.553249999999999,0.27975,3.298223853111267,4,8.674915313720703,86.74915313720703,0.0,141,0.0,2.727544728105041,10,1.0,160.9111111111111,0.883115318596617,-1.5892383500018616,gauss_markov,7.016801134585431,105,10,200.0,200.0,200.0,647,-0.0006385844326572,wang2025_isac_tables,1212,1859,68.85185185185185,2026091205,2026091205,0,0.8208955223880597,0.0101947933733843,0.1791044776119403,5493,1072,200,0.0433745756745338,0.4337457716464996,1000,45,647,4.765722274780273
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.000122723663342,0.0,0,1.0,0.5555555555555556,0.0,1,25,13.572204125950057,3.440445881786279,0.01357220412595,0.5555555555555556,835,0.4533116178067318,7.266500000000001,0.29066,3.238141655921936,5,7.991771697998047,79.917724609375,0.0,158,0.0,1.7557468300037775,10,1.0,160.86666666666667,0.7547458171840419,-4.286228169145685,gauss_markov,8.173700670241956,105,10,200.0,200.0,200.0,567,0.0001423001956428,wang2025_isac_tables,1275,1842,73.68,2026091206,2026091206,0,0.706286836935167,0.0066959614982213,0.293713163064833,4779,1018,200,0.0399588607251644,0.3995886743068695,1200,45,567,3.5653440952301025
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,4.593828239007891e-05,0.0,2,0.9090909090909092,0.425531914893617,0.1,1,20,10.735373054213635,2.752072654718085,0.0107353730542136,0.4444444444444444,923,0.4954374664519592,7.267249999999999,0.3633624999999999,3.406257390975952,6,6.219856262207031,62.19857025146485,0.0,137,0.0,1.822496054649497,10,1.0,171.46666666666667,0.8336759652830987,-1.6541382821474988,gauss_markov,6.553201550726028,105,10,200.0,200.0,200.0,548,-0.0001189567147523,wang2025_isac_tables,1315,1863,93.15,2026091207,2026091207,0,0.7967097532314924,0.0076153176675369,0.2032902467685076,4596,851,200,0.0310992859303951,0.3109928369522095,1400,45,548,2.7520480155944824
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0002842180524021,0.0,0,1.0,0.3333333333333333,0.0,1,15,8.051529790660224,2.067468384962613,0.0080515297906602,0.3333333333333333,836,0.4487385936661299,7.25525,0.4836833333333333,3.48281991481781,7,4.381941795349121,43.81941986083984,0.0,137,0.0,0.5512746254820264,10,1.0,177.48888888888888,0.9234394190156688,1.1479997730221547,gauss_markov,7.359607896336914,105,10,200.0,200.0,200.0,544,-0.0005052770888411,wang2025_isac_tables,1319,1863,124.2,2026091208,2026091208,0,0.8573059360730594,0.0069671238841715,0.1426940639269406,4593,876,200,0.0219097100198268,0.2190971225500106,1600,45,544,0.566725879907608
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,0.0001356461846735,0.0,0,1.0,0.3555555555555555,0.0,2,16,8.634646519158123,2.266369205708417,0.0086346465191581,0.3555555555555555,876,0.4727468969239072,7.059749999999999,0.4412343749999999,3.425642728805542,8,4.597625732421875,45.97624969482422,0.0,147,0.1,1.1763336977030213e-15,9,0.9,174.4,0.8211321231513882,-3.089299820155784,gauss_markov,6.943981813172866,105,10,200.0,200.0,200.0,488,-0.0001910331288819,wang2025_isac_tables,1365,1853,115.8125,2026091209,2026091209,0,0.7748502994011977,0.0058565153733528,0.2251497005988024,4098,835,200,0.0229881256818771,0.2298812270164489,1800,45,488,1.0566431879997251
0,0.0,0,0.0,2000,1.0,2000,isac_mappo,-0.0001108685550861,0.0,0,1.0,0.2888888888888888,0.0,1,13,6.966773847802787,1.8485602559544965,0.0069667738478027,0.2888888888888888,899,0.4817792068595927,7.0325000000000015,0.5409615384615386,3.393714904785156,9,3.524065494537353,35.24065399169922,0.0,134,0.0,0.5144768172208821,10,1.0,179.46666666666667,0.8761504916250307,-1.9745856982880812,gauss_markov,7.890295449056706,105,10,200.0,200.0,200.0,467,-0.0001334386765954,wang2025_isac_tables,1399,1866,143.53846153846155,2026091210,2026091210,0,0.7945205479452054,0.0070093457943925,0.2054794520547945,3852,657,200,0.0176203269511461,0.1762032359838485,2000,45,467,0.3805364817380905
